regime,model,features,r2_oos,dir_acc,n_test
pooled,ols,deviation only,0.016146691894737497,0.5261283291691032,18811
pooled,ols,five features,0.10974643325359812,0.600446547233002,18811
pooled,rf,deviation only,-0.06286933530886141,0.4908829939928765,18811
pooled,rf,five features,0.07434859822691697,0.5763117324969432,18811
outside band,ols,deviation only,0.018390392780426867,0.5472497393117831,15344
outside band,ols,five features,0.1078517571986648,0.5959332638164755,15344
outside band,rf,deviation only,-0.026163744306894277,0.49524244004171014,15344
outside band,rf,five features,0.07801443457614554,0.5731882168925965,15344
inside band,ols,deviation only,-0.1384879442158753,0.3769829824055379,3467
inside band,ols,five features,0.027143107818299983,0.5898471300836458,3467
inside band,rf,deviation only,-0.20091577830916862,0.48947216613787137,3467
inside band,rf,five features,0.016508807018937866,0.6065762907412748,3467
