year,month,month_num,created,completed,tc_estimated
2020,August,8,22563,13467,25142719.701042768
2020,September,9,73602,44406,82905443.75469704
2020,October,10,49233,29115,54357338.983876154
2020,November,11,39555,22825,42613988.05794172
2020,December,12,38443,20801,38835205.50244231
2021,January,1,39569,25992,58460287.14995451
2021,February,2,34473,21507,48372783.76939334
2021,March,3,45239,28371,63811049.81268696
2021,April,4,40744,25467,57279475.71744735
2021,May,5,39485,24288,54627710.61473127
2021,June,6,33331,20621,46380023.904247925
2021,July,7,33070,19771,44468233.96590299
2021,August,8,32531,18758,42189830.19232251
2021,September,9,33055,19752,44425499.8378694
2021,October,10,31946,18647,41940172.91802099
2021,November,11,24531,14055,31612008.9216917
2021,December,12,25311,14494,32599392.19573102
2022,January,1,26756,18640,51028875.71243763
2022,February,2,24238,16306,44639315.845869526
2022,March,3,25061,16892,46243549.81408242
2022,April,4,27155,18971,51935021.52042136
2022,May,5,28003,19643,53774689.14267234
2022,June,6,27085,18839,51573658.23747921
2022,July,7,28763,20039,54858778.9914988
2022,August,8,30837,20827,57016008.28663833
2022,September,9,29097,19727,54004647.5954537
2022,October,10,27993,19792,54182591.636296436
2022,November,11,25048,16950,46402330.6505267
2022,December,12,25296,15225,41679969.566623546
2023,January,1,30310,21215,60479813.8026779
2023,February,2,30217,19449,55445293.36074864
2023,March,3,31284,20363,58050928.51585812
2023,April,4,30132,19311,55051882.36358769
2023,May,5,28604,18027,51391449.60739451
2023,June,6,24885,15965,45513091.08459829
2023,July,7,24620,16113,45935010.12503177
2023,August,8,25789,16921,48238460.021452405
2023,September,9,21785,13825,39412369.82427631
2023,October,10,28247,18100,51599558.323284
2023,November,11,27394,5632,16055729.971090358
2023,December,12,25790,0,0.0
2024,January,1,25649,9883,30452588.72327191
2024,February,2,25219,10422,32113414.921981163
2024,March,3,25386,12351,38057262.30103525
2024,April,4,23500,13478,41529898.89833642
2024,May,5,23247,14775,45526358.22992436
2024,June,6,20631,13184,40623993.69904046
2024,July,7,20412,13392,41264906.220991336
2024,August,8,19431,13057,40232667.30342622
2024,September,9,19076,13092,40340513.16048526
2024,October,10,21714,14866,45806757.45827787
2024,November,11,21664,15318,47199509.66944036
2024,December,12,21212,14695,45279853.41378941
2025,January,1,21638,15378,51468053.07918845
2025,February,2,21521,15594,52190975.40101864
2025,March,3,23360,16893,56538549.919803
2025,April,4,22608,15971,53452742.60162041
2025,May,5,21762,15134,50651418.60452842
2025,June,6,20004,13917,46578286.819031455
2025,July,7,19242,13601,45520678.23709469
2025,August,8,19266,13840,46320578.398749396
2025,September,9,19902,14040,46989950.91896254
2025,October,10,20467,14650,49031537.10561261
2025,November,11,20853,14983,50146042.351767495
2025,December,12,23909,14472,48435795.56262292
