feature,hits,rounds,hit_rate,p,confirmed
vol_x_breadth,20.0,20,1.0,1.0,False
log_boss_kills,20.0,20,1.0,0.000371522102404618,False
mom14,20.0,20,1.0,1.036615615882052e-43,True
mix_boss_heavy,20.0,20,1.0,0.008779198543331715,False
log_races_hunted,20.0,20,1.0,0.008779198543331715,False
log_players_killed,20.0,20,1.0,1.036615615882052e-43,True
log_monsters_killed,20.0,20,1.0,1.0,False
log_kills_pp,20.0,20,1.0,1.036615615882052e-43,True
log_age,20.0,20,1.0,1.0,False
mom7,20.0,20,1.0,0.13268179872541525,False
vol_ew14,20.0,20,1.0,1.036615615882052e-43,True
vol_ew3,20.0,20,1.0,1.036615615882052e-43,True
vol_ew7,20.0,20,1.0,1.0,False
ret_ew3,20.0,20,1.0,1.0,False
w_engagement,20.0,20,1.0,1.036615615882052e-43,True
w_log_ach_points,20.0,20,1.0,1.036615615882052e-43,True
mom30,20.0,20,1.0,1.0,False
turnover_7,20.0,20,1.0,1.0,False
huntmix_pc2,20.0,20,1.0,1.0,False
premium_x_disp,20.0,20,1.0,1.0,False
rel_premium_z,20.0,20,1.0,1.0,False
rel_premium,20.0,20,1.0,7.474295625186426e-13,True
rel_kills,20.0,20,1.0,1.0,False
ret_ew7,20.0,20,1.0,0.13268179872541525,False
ret_lag1,20.0,20,1.0,1.0,False
px_z30,20.0,20,1.0,1.0,False
ret_mean14,20.0,20,1.0,0.13268179872541525,False
ret_skew30,20.0,20,1.0,1.0,False
ret_mean30,20.0,20,1.0,7.106456242948715e-15,True
ret_mean7,20.0,20,1.0,3.863260113884847e-37,True
ret_sd14,20.0,20,1.0,1.0,False
ret_sd30,20.0,20,1.0,1.0,False
ret_sd7,20.0,20,1.0,3.6166502351592785e-19,True
ob_anon_buy,20.0,20,1.0,1.036615615882052e-43,True
idx_activity,20.0,20,1.0,2.9035603400856276e-40,True
ret_ew14,20.0,20,1.0,1.0,False
w_premium_share,20.0,20,1.0,1.0,False
dist_ma30,20.0,20,1.0,1.0,False
xw_disp,20.0,20,1.0,3.2465627650914845e-34,True
w_pct_lvl100,20.0,20,1.0,2.5455344429139713e-07,True
doy_cos,20.0,20,1.0,1.036615615882052e-43,True
dist_ma90,20.0,20,1.0,6.452911256473227e-11,True
w_mean_level,20.0,20,1.0,1.036615615882052e-43,True
world_age,20.0,20,1.0,1.0,False
days_to_update,20.0,20,1.0,0.13268179872541525,False
g7_players_online_avg,20.0,20,1.0,1.1193112079171035e-05,True
days_since_merge,20.0,20,1.0,1.0,False
boss_share,20.0,20,1.0,1.0,False
xw_med_logp,20.0,20,1.0,1.0,False
doy_sin,20.0,20,1.0,1.0,False
g7_races_hunted,19.0,20,0.95,1.0,False
ob_log_ask_depth,19.0,20,0.95,1.036615615882052e-43,True
xw_ret,19.0,20,0.95,1.036615615882052e-43,True
g7_boss_kills,18.0,20,0.9,2.5455344429139713e-07,True
log_players_online_avg,18.0,20,0.9,3.2465627650914845e-34,True
