world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Antica,RandomWalk,65,0.017178937562356944,0.0,
Antica,SARIMA,65,0.017443065216277438,-0.030986566630197165,-0.645453339058059
Antica,SARIMAX,65,0.017803698676058077,-0.07405833128503025,-1.5481734199131056
Antica,MarkovSwitch,65,0.01855155795103015,-0.1661869365283828,-1.9067812341063268
Astera,RandomWalk,65,0.014144403016214677,0.0,
Astera,SARIMA,65,0.014696200907710372,-0.07954541327780751,-2.2638321836299147
Astera,SARIMAX,65,0.015327347118049619,-0.1742612822554772,-1.6703044737825938
Astera,MarkovSwitch,65,0.019723183168553163,-0.9443962358560225,-3.2105741564895816
Belobra,RandomWalk,65,0.020186694826878727,0.0,
Belobra,SARIMA,65,0.020950045321187768,-0.07705901072747179,-1.1483040529234914
Belobra,SARIMAX,65,0.020514967612245163,-0.03278812582546986,-0.3456028969055461
Belobra,MarkovSwitch,65,0.020522583636185164,-0.03355509746174068,-1.2693023340468694
Blumera,RandomWalk,65,0.029571501195093167,0.0,
Blumera,SARIMA,65,0.029800132985086724,-0.015522757588259939,-0.4625767538147562
Blumera,SARIMAX,65,0.029665114617688816,-0.006341348467604924,-0.3370138448497744
Blumera,MarkovSwitch,65,0.03028463234970837,-0.048812530850004476,-0.7746353164711516
Bona,RandomWalk,64,0.018506403773288323,0.0,
Bona,SARIMA,64,0.018072285029629074,0.046365249852942214,2.0343892520515445
Bona,SARIMAX,64,0.018020465527387078,0.05182621179965152,0.8076622838112031
Bona,MarkovSwitch,64,0.0199194355947646,-0.1585372200009023,-1.6236187761764815
Calmera,RandomWalk,64,0.018221629784035395,0.0,
Calmera,SARIMA,64,0.01813498347132357,0.00948765903727522,0.5895584152428018
Calmera,SARIMAX,64,0.01804496632212936,0.01929652449071073,0.42789705892198737
Calmera,MarkovSwitch,64,0.019022551287616943,-0.0898408694197168,-1.3596348976740196
Celebra,RandomWalk,64,0.01969141378068911,0.0,
Celebra,SARIMA,64,0.02060148750644804,-0.09456954939000917,-0.9758213637426495
Celebra,SARIMAX,64,0.020083950746700687,-0.0402662266235807,-0.36808626583554666
Celebra,MarkovSwitch,64,0.01957546613803658,0.011741795743276384,1.3895647595967189
Celesta,RandomWalk,65,0.016236379236088956,0.0,
Celesta,SARIMA,65,0.016310812388493037,-0.009189704787971209,-0.4419897633742793
Celesta,SARIMAX,65,0.019457543335700878,-0.4361428468882371,-3.8093700945068125
Celesta,MarkovSwitch,65,0.017290491037034447,-0.13406064854515454,-2.487964128185826
Citra,RandomWalk,63,0.02938490714639722,0.0,
Citra,SARIMA,63,0.030533942321084796,-0.07973484308512258,-2.079148697556154
Citra,SARIMAX,63,0.029882351389903316,-0.034143701665863,-0.8921450684477674
Citra,MarkovSwitch,63,0.02876993608402357,0.041418267082496185,0.8972226349117544
Collabra,RandomWalk,64,0.019586999196521584,0.0,
Collabra,SARIMA,64,0.019940805200630136,-0.036452899597583244,-1.554892396145869
Collabra,SARIMAX,64,0.019980879827639828,-0.04062296188246628,-1.8153145222574596
Collabra,MarkovSwitch,64,0.020409469834427124,-0.08574449448216814,-1.2118658996228662
Descubra,RandomWalk,64,0.016231452562146666,0.0,
Descubra,SARIMA,64,0.017476790647731926,-0.15933405730619943,-1.3234090220118981
Descubra,SARIMAX,64,0.017352539474326387,-0.14290809405602523,-1.4738531322701107
Descubra,MarkovSwitch,64,0.019322161272523175,-0.4170873838913267,-3.0381787860449996
Eclipta,RandomWalk,63,0.02642497395436126,0.0,
Eclipta,SARIMA,63,0.02700096812484448,-0.04406980625129653,-2.366581928931198
Eclipta,SARIMAX,63,0.029005916004895084,-0.20488066214770084,-2.7843877598391007
Eclipta,MarkovSwitch,63,0.026832617768433646,-0.03109089646467189,-0.5789575518769529
Epoca,RandomWalk,63,0.044623383653191157,0.0,
Epoca,SARIMA,63,0.04896280374032583,-0.20394753147853306,-1.4202707410331141
Epoca,SARIMAX,63,0.04327972943161959,0.05931530665649276,0.7441973733199142
Epoca,MarkovSwitch,63,0.0446007663080105,0.0010134423494173594,0.01666560774618807
Ferobra,RandomWalk,64,0.021547256311503806,0.0,
Ferobra,SARIMA,64,0.02198459838186551,-0.04100572283371151,-0.38801008847082213
Ferobra,SARIMAX,64,0.021475895322379132,0.006612704664745284,0.08981142179119862
Ferobra,MarkovSwitch,64,0.022577436236151938,-0.09790634077730531,-1.4976305785842117
Firmera,RandomWalk,63,0.05698274772127878,0.0,
Firmera,SARIMA,63,0.05784433211840375,-0.030468801508680032,-1.4829395652116513
Firmera,SARIMAX,63,0.05718240999616317,-0.007020092289337532,-0.3436941080564877
Firmera,MarkovSwitch,63,0.05748445394129875,-0.01768657649902905,-0.5128406065511837
Gentebra,RandomWalk,64,0.016583432411692474,0.0,
Gentebra,SARIMA,64,0.016772042196686113,-0.022876126759330706,-0.5508076356977847
Gentebra,SARIMAX,64,0.01644409589206528,0.01673370782053296,0.20868275177187154
Gentebra,MarkovSwitch,64,0.017899382899800587,-0.16500359840877854,-1.5859533802323051
Gladera,RandomWalk,63,0.02505305594926494,0.0,
Gladera,SARIMA,63,0.027400837058081332,-0.1962067360733324,-2.7694087679720947
Gladera,SARIMAX,63,0.02464999552227611,0.03191771530929244,0.35000159678507037
Gladera,MarkovSwitch,63,0.025361485117378416,-0.02477364123715109,-0.16555420819891764
Gladibra,RandomWalk,64,0.04553916088685425,0.0,
Gladibra,SARIMA,64,0.04305266834981237,0.10622109673610014,1.9469216862153425
Gladibra,SARIMAX,64,0.04545548762779281,0.003671406638742214,0.3043832230509424
Gladibra,MarkovSwitch,64,0.046192674998032625,-0.0289071321005836,-0.4485475106636166
Harmonia,RandomWalk,65,0.02297313489815397,0.0,
Harmonia,SARIMA,65,0.022486059826616146,0.041954361473839685,0.5623117559537428
Harmonia,SARIMAX,65,0.0227409787864222,0.020108973409092123,0.5114094055027316
