unit,ref,title,destination,status,reason,detail
chapter,1,Executive summary,overview,covered,,"front matter, no chapter() call"
chapter,2,Market overview,overview + worlds,covered,,chapter() opener
chapter,3,Data and measurement,worlds + emission + creatures,covered,,chapter() opener
chapter,4,Price dynamics,worlds + forecasts + library,covered,,chapter() opener
chapter,5,"Market structure, arbitrage and liquidity",worlds + strategy + library,covered,,chapter() opener
chapter,6,"Valuation, models and forecasts",forecasts + models + library,covered,,chapter() opener
chapter,7,"Risk, robustness and implications",models + strategy + library,covered,,chapter() opener
chapter,8,Reference,library,covered,,chapter() opener
section,2.1,Scope,overview + worlds,covered,,inherits chapter 2
section,2.2,Game-economy context,overview + worlds,covered,,inherits chapter 2
section,2.3,Theoretical framework,overview + worlds,covered,,inherits chapter 2
section,3.1,Data sources,worlds + emission + creatures,covered,,inherits chapter 3
section,3.2,Data inventory,worlds + emission + creatures,covered,,inherits chapter 3
section,3.3,Validation and cleaning,worlds + emission + creatures,covered,,inherits chapter 3
section,3.4,Field definitions,worlds + emission + creatures,covered,,inherits chapter 3
section,3.5,Price construction,worlds + emission + creatures,covered,,inherits chapter 3
section,3.6,World metadata,worlds + emission + creatures,covered,,inherits chapter 3
section,3.7,Population and activity,worlds + emission + creatures,covered,,inherits chapter 3
section,3.9,Kill statistics,worlds + emission + creatures,covered,,inherits chapter 3
section,3.8,Event calendar,worlds + emission + creatures,covered,,inherits chapter 3
section,4.1,Descriptive statistics,worlds + forecasts + library,covered,,inherits chapter 4
section,4.2,Market indices,worlds + forecasts + library,covered,,inherits chapter 4
section,4.3,Trend,worlds + forecasts + library,covered,,inherits chapter 4
section,4.4,Time-series properties,worlds + forecasts + library,covered,,inherits chapter 4
section,4.5,Seasonality,worlds + forecasts + library,covered,,inherits chapter 4
section,4.6,Event studies,worlds + forecasts + library,covered,,inherits chapter 4
section,5.1,Cross-world integration,worlds + strategy + library,covered,,inherits chapter 5
section,5.2,Arbitrage,worlds + strategy + library,covered,,inherits chapter 5
section,5.3,World type and region,worlds + strategy + library,covered,,inherits chapter 5
section,5.4,Young worlds,worlds + strategy + library,covered,,inherits chapter 5
section,5.5,Merges and transfers,worlds + strategy + library,covered,,inherits chapter 5
section,5.6,Liquidity and microstructure,worlds + strategy + library,covered,,inherits chapter 5
