fold,model,n_train,n_test,rmse,r2_oos,dir_acc,dm_t_vs_rw
0,LSTM,5763,2824,0.01815910078585148,-0.21607255935668945,0.48973087818696887,-10.985352794288522
0,Transformer,5763,2824,0.017082858830690384,-0.07619738578796387,0.4840651558073654,-7.032148678589355
0,RandomWalk,5763,2824,0.016467003151774406,0.0,0.0,
1,LSTM,8581,3903,0.018125535920262337,0.03302735090255737,0.5608506277222649,8.341990257912274
1,Transformer,8581,3903,0.01872466318309307,-0.031954288482666016,0.49679733538303866,-5.833600467403072
1,RandomWalk,8581,3903,0.018432479351758957,0.0,0.0,
2,LSTM,12344,3485,0.01871275156736374,0.05327564477920532,0.5916786226685796,3.5181070169833935
2,Transformer,12344,3485,0.019206568598747253,0.0026494264602661133,0.509038737446198,0.7109099835343731
2,RandomWalk,12344,3485,0.019232062622904778,0.0,0.0,
3,LSTM,15781,5271,0.019538793712854385,0.056549072265625,0.600265604249668,4.891340405330075
3,Transformer,15781,5271,0.019910816103219986,0.020280003547668457,0.5602352494782774,3.750445031745079
3,RandomWalk,15781,5271,0.020115835592150688,0.0,0.0,
