region,hour_utc,instant_over_dailyavg,bias_factor
Europe,0,0.5303057367500513,1.8857046618587296
Europe,1,0.41447989860948015,2.4126622385183327
Europe,2,0.34704388268948855,2.8814799795642343
Europe,3,0.32694000514644983,3.0586651503601066
Europe,4,0.35462986394730744,2.8198414788569095
Europe,5,0.43875264460634633,2.279188541181811
Europe,6,0.6116270427380283,1.6349832988472346
Europe,7,0.7355210696354623,1.3595803591263786
Europe,8,0.7490557915277369,1.335014042092178
Europe,9,1.0384844444869783,0.9629417227274983
Europe,10,1.060260938082058,0.9431640496054999
Europe,11,1.0562445437123833,0.9467504527742217
Europe,12,1.0554677949399882,0.9474471933621225
Europe,13,1.085345613082972,0.9213654968019412
Europe,14,1.1892166135818922,0.8408896987976174
Europe,15,1.325281647634104,0.7545565893749471
Europe,16,1.4247161709042822,0.7018941880650443
Europe,17,1.5863550601057776,0.6303759007982238
Europe,18,1.7457551925726535,0.5728180012034435
Europe,19,1.857836873127456,0.5382603900613806
Europe,20,1.7614724962780697,0.5677068487376132
Europe,21,1.4792812452053,0.6760039737144213
Europe,22,1.0750382567275003,0.9301994545236719
Europe,23,0.740790531269822,1.3499092628598472
North America,0,1.4780105930074643,0.6765851372994522
North America,1,1.5326046203425499,0.6524840045024083
North America,2,1.5253439643897007,0.6555898363554388
North America,3,1.4440809841363524,0.692481939022319
North America,4,1.2859861330367575,0.7776133616919934
North America,5,1.0776278680070894,0.9279641235052222
North America,6,0.8386641054113105,1.1923724808868081
North America,7,0.6087516138956465,1.6427061171971236
North America,8,0.34998518284157404,2.857263818659045
North America,9,0.3812560606721367,2.6229091236924775
North America,10,0.4152938605384524,2.407933502083181
North America,11,0.4793193167931434,2.0862918830195265
North America,12,0.5870077184618671,1.703555112733942
North America,13,0.7189344015191809,1.3909474882366168
North America,14,0.8420095021598244,1.1876350533276843
North America,15,0.9424886537425639,1.06102073062531
North America,16,1.0170012200973946,0.9832829894778627
North America,17,1.0743256610948602,0.9308164518577041
North America,18,1.1276568295483844,0.8867946114426409
North America,19,1.1683140670063108,0.8559342288520081
North America,20,1.1853354705643382,0.8436430232901915
North America,21,1.2048861861402198,0.8299539089276471
North America,22,1.3084020026404244,0.7642910955363468
North America,23,1.3862346443066034,0.7213785949637708
Oceania,0,0.843295867785193,1.185823431847674
Oceania,1,0.898296685506194,1.1132179558655455
Oceania,2,0.9092860394831929,1.099763942893444
Oceania,3,0.909449232417615,1.0995665996019055
Oceania,4,0.9324468339660464,1.072447204036958
Oceania,5,0.9710276190316536,1.0298368248240342
Oceania,6,1.066688675923486,0.9374806563257548
Oceania,7,1.1418170506828251,0.8757970459470577
Oceania,8,1.0522415009162347,0.950352175930387
Oceania,9,1.4642889329730506,0.6829253281110501
Oceania,10,1.5625650382444367,0.6399733614438947
Oceania,11,1.647025683090527,0.6071550736984082
Oceania,12,1.6049611558109818,0.623068038986092
Oceania,13,1.4172744936207993,0.7055796209563031
Oceania,14,1.2384751173223534,0.8074445630866216
Oceania,15,0.9783410212841337,1.022138475485202
Oceania,16,0.781378999319489,1.2797886824075262
Oceania,17,0.6890660874205202,1.4512396100400808
Oceania,18,0.6309354408885299,1.5849482137058684
Oceania,19,0.6172247035933193,1.6201555028148809
Oceania,20,0.5638974350507541,1.7733721379846215
Oceania,21,0.6197417922333327,1.6135752220232715
Oceania,22,0.6698900755213557,1.4927822288182573
Oceania,23,0.7705367733738054,1.297796593952923
South America,0,1.7473884762031686,0.5722825883416952
South America,1,1.6552402301997433,0.6041419135150713
South America,2,1.3830103084005139,0.7230604095471458
South America,3,1.0104193428100585,0.9896881004068256
South America,4,0.6794282781775137,1.4718256983391715
South America,5,0.4486890832021933,2.22871479926194
South America,6,0.31506756727534363,3.1739223705183233
South America,7,0.2474644635410304,4.040984251600217
South America,8,0.20588376854182902,4.857109460753007
South America,9,0.3685148928530466,2.713594536866579
South America,10,0.5316077851057315,1.8810860713808206
South America,11,0.7209279358698554,1.3871011931219208
South America,12,0.9173527047424606,1.0900932594740014
South America,13,1.0769526039141961,0.9285459697720113
South America,14,1.1403428022884794,0.8769292865208299
South America,15,1.1043424356711873,0.9055162309254458
South America,16,1.0984896074052755,0.9103408837540883
South America,17,1.1614730299643563,0.8609756526423075
South America,18,1.1937809170600338,0.8376746400526616
South America,19,1.2066374374297828,0.8287493566667928
South America,20,1.226327381766376,0.815442935441612
South America,21,1.358988337487826,0.735841487682346
South America,22,1.5272257813139085,0.6547820317305515
South America,23,1.659306084755302,0.6026615638834772
