scheme,target,horizon,fold,model,rmse,r2_oos,dir_acc,dm_t_vs_rw
expanding,ret,1,0,OLS,0.015938021611319655,-0.25640086810303697,0.5394252026529108,-6.167659228989102
expanding,ret,1,0,CatBoost,0.014028191151696585,0.026664070402100726,0.5460574797347089,2.3649533779826672
expanding,ret,1,0,RandomForest,0.014018578818532572,0.027997503014590475,0.5519528371407516,2.7857283307396377
expanding,ret,1,1,OLS,0.058523897621140804,-24.190873592878123,0.5054223744292238,-28.669644176367157
expanding,ret,1,1,CatBoost,0.011728515214216933,-0.011725778695158118,0.5473744292237442,-1.2858634796941715
expanding,ret,1,1,RandomForest,0.011460565652106564,0.033973919455601576,0.5779109589041096,4.593186756738154
expanding,ret,1,2,OLS,0.011243117176442963,-0.02701476044625095,0.5494327390599676,-2.186397917793108
expanding,ret,1,2,CatBoost,0.012328870067176765,-0.23495110418028808,0.529443544030254,-11.395320414166962
expanding,ret,1,2,RandomForest,0.011071915710964992,0.0040242752714612084,0.561858454889249,0.36024716692418846
expanding,ret,1,3,OLS,0.01224793022171824,-0.0389336707468364,0.5273548602978083,-3.2512728298107314
expanding,ret,1,3,CatBoost,0.011811326695329357,0.033816139272418444,0.5638280073615526,6.196991897790138
expanding,ret,1,3,RandomForest,0.011803940040759691,0.035024239761202614,0.573866488204785,6.462640745276211
expanding,ret,1,4,OLS,0.012556911524088043,0.0011011765198390977,0.5468070175438596,0.12417125287100836
expanding,ret,1,4,CatBoost,0.012426413112908142,0.021755514939029386,0.5498947368421052,3.5651642927315588
expanding,ret,1,4,RandomForest,0.012439984261748915,0.019617625133614536,0.5491929824561403,2.918264180712935
expanding,ret,1,5,OLS,0.012784016206455954,-0.011205858575461969,0.514682933749468,-1.5051237411964624
expanding,ret,1,5,CatBoost,0.012621321108747996,0.0143684784816136,0.5297205277344305,2.460903688234705
expanding,ret,1,5,RandomForest,0.012702976648533473,0.0015738400557240295,0.5149666619378636,0.26660747657148515
expanding,rel,1,0,OLS,0.013585327265913646,-0.06335152757256379,0.5283714075165807,-2.5251139024869866
expanding,rel,1,0,CatBoost,0.013028391452093386,0.022046405259545043,0.5600589535740604,2.1838474622726265
expanding,rel,1,0,RandomForest,0.013019631335159695,0.02336108907340828,0.5497420781134856,2.4216592796241936
expanding,rel,1,1,OLS,0.04161683541788415,-12.290580773544391,0.528824200913242,-24.25169482490913
expanding,rel,1,1,CatBoost,0.011442597464612734,-0.004743242213845811,0.5639269406392694,-0.5474293674650837
expanding,rel,1,1,RandomForest,0.011264761308057617,0.026244685823521463,0.586472602739726,3.282147455320714
expanding,rel,1,2,OLS,0.01074693486410981,-0.02342427422984472,0.5497028633171259,-2.006993320557769
expanding,rel,1,2,CatBoost,0.010607354577160298,0.002987385413292576,0.5707725553754727,0.29933163566415755
expanding,rel,1,2,RandomForest,0.010415664279156621,0.03869671466401692,0.5840086439762291,4.485435210650552
expanding,rel,1,3,OLS,0.011678763023520998,0.004908911044148145,0.5591433829680442,0.5229031898215064
expanding,rel,1,3,CatBoost,0.011575917476011752,0.022357689013121407,0.5720261000501924,4.1433926835357555
expanding,rel,1,3,RandomForest,0.011576154715001329,0.022317616638527493,0.5683453237410072,3.9701152742132053
expanding,rel,1,4,OLS,0.012092860742404744,0.018678587095797616,0.5503157894736842,2.357036414382447
expanding,rel,1,4,CatBoost,0.012058761596597866,0.02420499555880773,0.5619649122807018,4.405545574182259
expanding,rel,1,4,RandomForest,0.012064979555729372,0.0231984215892721,0.5584561403508772,4.02548308629529
expanding,rel,1,5,OLS,0.012293000493018126,0.011386702735875609,0.5439069371542062,1.6351795583894257
expanding,rel,1,5,CatBoost,0.012210053089878358,0.02468308992557855,0.5551142005958292,4.410398697997857
expanding,rel,1,5,RandomForest,0.012205990226910877,0.025332050197493627,0.5504326854873032,4.706736485838645
expanding,ret,7,0,OLS,0.028372641265911908,-0.05067105214663359,0.6256448047162859,-0.7913316365659873
expanding,ret,7,0,CatBoost,0.024686929087175555,0.20457108919838674,0.6691230655858511,6.985249622488907
expanding,ret,7,0,RandomForest,0.02539125282077096,0.15853609325113627,0.6374355195283714,5.3675363969352805
expanding,ret,7,1,OLS,0.29640193238796303,-226.40581228551721,0.5536529680365296,-44.260505866375546
expanding,ret,7,1,CatBoost,0.018476559807018456,0.11634706651318039,0.6070205479452054,8.829294570261789
expanding,ret,7,1,RandomForest,0.018857183876156525,0.07956490148203665,0.5941780821917808,6.878574965065658
expanding,ret,7,2,OLS,0.022435615142402644,-0.09644466556429476,0.5594273365748245,-4.503667698226244
expanding,ret,7,2,CatBoost,0.021586972431052127,-0.015065879438367125,0.591301998919503,-0.7158429405924274
expanding,ret,7,2,RandomForest,0.020908859925306035,0.047705091972177205,0.5810372771474879,2.45049263656385
expanding,ret,7,3,OLS,0.025951941609244758,-0.22906220220510565,0.5188221515810607,-10.511886191203105
expanding,ret,7,3,CatBoost,0.021720709117048025,0.1390416324401993,0.6110088673247449,8.734793834149654
expanding,ret,7,3,RandomForest,0.021520373072308113,0.15485010106901287,0.6593608833863142,8.954535719154713
expanding,ret,7,4,OLS,0.024364869103969452,-0.06696896890512893,0.5901754385964912,-3.945290281161434
expanding,ret,7,4,CatBoost,0.022340068290802956,0.10299964179908183,0.615578947368421,10.006689094445619
expanding,ret,7,4,RandomForest,0.02276886618374394,0.0682349138603181,0.5903157894736842,6.771401910375669
expanding,ret,7,5,OLS,0.025779101896672266,-0.2184828440568256,0.5090528205895556,-9.728372258821116
expanding,ret,7,5,CatBoost,0.023735959983356463,-0.032993181258530235,0.544964836151429,-1.860180773000254
expanding,ret,7,5,RandomForest,0.025263926611450854,-0.17026860610159922,0.5398773006134969,-7.17927346416531
expanding,rel,7,0,OLS,0.020461419328543073,-0.011305859177734412,0.5615327929255711,-0.49026835428979765
expanding,rel,7,0,CatBoost,0.020094395473546748,0.024649069831846226,0.5563743551952837,1.567891274986545
expanding,rel,7,0,RandomForest,0.020061671809625113,0.02782319544020495,0.5460574797347089,1.8357651525231495
expanding,rel,7,1,OLS,0.12746501519329356,-47.460228448486504,0.5316780821917808,-22.691461479516118
expanding,rel,7,1,CatBoost,0.017689624239909333,0.06665830252305649,0.6013127853881278,8.091276776036889
expanding,rel,7,1,RandomForest,0.017472939902471372,0.08938370119474626,0.6087328767123288,11.407698540285296
expanding,rel,7,2,OLS,0.01898658134932127,-0.048713771897838765,0.5486223662884927,-3.1085432049376682
expanding,rel,7,2,CatBoost,0.01812134297209397,0.044690310618441864,0.5796866558616964,3.449860427426676
expanding,rel,7,2,RandomForest,0.01804122011734373,0.05311936860461863,0.5856293895191789,4.352193645091753
expanding,rel,7,3,OLS,0.0205571175914461,-0.0575735284014951,0.5566337627572361,-3.862320558599324
expanding,rel,7,3,CatBoost,0.019395440180509562,0.05857568260775503,0.5740337962188389,6.778202856533383
expanding,rel,7,3,RandomForest,0.01950584218585866,0.04782769860656666,0.5686799397691149,6.461798131749313
expanding,rel,7,4,OLS,0.020330740232741333,0.021486448606777175,0.5730526315789474,1.8855219249342245
expanding,rel,7,4,CatBoost,0.019925408329630488,0.060114559700552905,0.5814736842105264,4.916399557088266
expanding,rel,7,4,RandomForest,0.019988545678681455,0.05414872030661122,0.5820350877192982,5.840084824544227
expanding,rel,7,5,OLS,0.019678963371975198,0.002363754836448795,0.5648660781086339,0.2124291576442674
expanding,rel,7,5,CatBoost,0.018953789616973235,0.07453521960093423,0.5909022893909921,7.515539016935601
expanding,rel,7,5,RandomForest,0.019013299261816143,0.06871469081138759,0.5871614544366303,8.13137112726364
expanding,ret,30,0,OLS,0.06158658664453509,-0.23536090395386577,0.7030213706705969,-1.18280866022758
expanding,ret,30,0,CatBoost,0.0550330253144439,0.013565258457236218,0.7192336035372144,0.12179812053160136
