scheme,target,horizon,model,r2_oos,dir_acc,dm_z,dm_p,folds,folds_better
expanding,rel,1,RandomForest,0.01766055009427679,0.5496748751419532,2.6319656339247857,0.008489244942682106,6,5
rolling,rel,1,RandomForest,0.015203128362675492,0.5559341670789051,2.1653259135492267,0.03036273522996069,6,4
rolling,rel,1,CatBoost,0.013816265711252718,0.5548701322640097,1.9478386465179323,0.05143427292405445,6,4
expanding,rel,1,CatBoost,0.01212754526518591,0.5502377315360127,1.533392624349151,0.12517914494090343,6,4
expanding,rel,1,OLS,-0.013388873903314558,0.5459549438129089,-1.7447257154581723,0.08103262481000861,6,2
rolling,rel,1,OLS,-0.021545396778724524,0.5437711556616401,-2.5398003508557867,0.011091576402044723,6,2
expanding,rel,7,RandomForest,0.04955490336230759,0.5831845308928002,5.4044047353202815,6.502397065233367e-08,6,5
rolling,rel,7,RandomForest,0.04216650039642115,0.5850348569314121,4.650437965857326,3.3123086793374057e-06,6,5
expanding,rel,7,CatBoost,0.02818475935464071,0.5812362559314989,2.7935390049833,0.005213474123886064,6,5
rolling,rel,7,CatBoost,0.01084268357876759,0.5725538929239727,1.4827986429905935,0.1381279167251912,6,4
rolling,rel,7,OLS,-37.75497902711723,0.573208969924565,-101.35401056412968,0.0,6,4
expanding,rel,7,OLS,-37.77167950187824,0.5688341657845214,-102.35821575843968,0.0,6,3
expanding,rel,30,RandomForest,0.07893854219998282,0.6009013320933964,5.605622328679761,2.0750799967217404e-08,5,4
rolling,rel,30,RandomForest,0.07863490112086646,0.5984714543126877,5.8083616358495185,6.3087135515615955e-09,5,4
expanding,rel,30,CatBoost,0.01986998196481371,0.5916605372202935,3.1322137229890425,0.0017349353070827966,5,3
rolling,rel,30,CatBoost,0.013753286331243309,0.593691610501156,3.502529733042309,0.0004608623434048109,5,3
rolling,rel,30,OLS,-458.3513521680123,0.5519712527630715,-112.12942417277239,0.0,5,1
expanding,rel,30,OLS,-459.13877495829155,0.530588040398912,-117.5109350639911,0.0,5,0
rolling,ret,1,CatBoost,-0.014617229008148528,0.5243509171706717,-2.5615270441140003,0.010421312730410026,6,2
rolling,ret,1,RandomForest,-0.01759842758064012,0.5205588017819222,-2.514229784709164,0.011929267991353631,6,2
expanding,ret,1,CatBoost,-0.02194773605684121,0.5050574669362706,-3.9664186685191907,7.296065645112648e-05,6,2
expanding,ret,1,RandomForest,-0.025231791371194207,0.5095262522478196,-3.9309926833774504,8.459584674502807e-05,6,2
expanding,ret,1,OLS,-0.13052745181152248,0.5136748771549267,-10.101743964630087,0.0,6,0
rolling,ret,1,OLS,-0.15884415384721237,0.49730417880661143,-12.07300739901148,0.0,6,0
rolling,ret,7,RandomForest,-0.2355848957739489,0.47488032918671824,-13.025618249304836,0.0,6,1
rolling,ret,7,CatBoost,-0.25957258111335285,0.47235050239462995,-13.794999044058837,0.0,6,1
expanding,ret,7,CatBoost,-0.2851844447955675,0.4615512099265488,-16.32741906421271,0.0,6,1
expanding,ret,7,RandomForest,-0.3674107229401953,0.46114251369018877,-20.12039372977609,0.0,6,2
expanding,ret,7,OLS,-0.7599323720734922,0.4730469388939708,-20.65426008638716,0.0,6,0
rolling,ret,7,OLS,-0.7680302994326071,0.4728177950908974,-19.0651055824454,0.0,6,1
rolling,ret,30,CatBoost,-0.4589866073707444,0.46225179390226023,-17.672837837677054,0.0,5,0
rolling,ret,30,RandomForest,-0.49143798406761385,0.4624751499138603,-16.325358106068613,0.0,5,0
expanding,ret,30,CatBoost,-0.5566839385147925,0.458354898059189,-20.787474016850307,0.0,5,0
expanding,ret,30,RandomForest,-0.582925193386667,0.45557675288153965,-22.206929223214654,0.0,5,0
rolling,ret,30,OLS,-4178.491498297393,0.5314150656675647,-158.16789853640728,0.0,5,1
expanding,ret,30,OLS,-4178.636835375799,0.5244697217457104,-161.48956855659753,0.0,5,0
