feature,perm_importance,perm_sd,gain
doy_sin,8.60431414436322e-06,4.466997770098892e-07,0.4083733476581983
ret_ew3,2.8866957951041168e-06,1.654816673212309e-07,0.9047034656396136
xw_disp,1.1660457130316977e-06,1.798657104533493e-07,0.25981616068747826
premium_x_disp,1.0587899599533727e-06,1.5637334312406827e-07,0.16040548164164647
xw_ret,8.127167686271524e-07,7.787417693488378e-08,0.19812442435068078
dow_sin,6.463311424385909e-07,1.5435369295927474e-07,0.1093659017351456
days_to_update,5.286140915860513e-07,6.904154731209178e-08,0.15137949521886185
xw_med_logp,4.760608403379002e-07,5.312072739403368e-08,0.19412931145052426
vol_x_breadth,3.7387219706698366e-07,8.115318020832021e-08,0.18668911402346566
top10_share,3.671863672644835e-07,8.302016411993122e-08,0.1335935871466063
xw_kills,3.567998627893867e-07,5.000165064853064e-08,0.15903457265812904
rel_premium,3.3847767975986775e-07,3.0060776116185585e-08,0.07618130597984418
turnover_7,3.2851496731899455e-07,2.2712897432206443e-08,0.03915836082887836
g30_boss_kills,2.5302517352453515e-07,6.730845732896985e-08,0.1318751079379581
ev_xp_skill,2.2963133778127334e-07,4.122824912410077e-08,0.031243679695762694
idx_premium_demand,2.1057899657592508e-07,4.303843911977017e-08,0.10782806627685204
w_mean_level,1.9293638933195447e-07,1.6535644126693245e-08,0.023758630792144686
g30_monsters_killed,1.6048948517359984e-07,3.8845896972735895e-08,0.11441893797018565
breadth_up,1.5257674566879859e-07,2.789099477864713e-08,0.10110661436920054
turnover_imb,1.3742177338671815e-07,2.699080410529719e-08,0.10659787303302437
w_pct_lvl100,1.3307668961124397e-07,2.107125181555617e-08,0.021225773787591606
g7_players_online_avg,1.3144195967134212e-07,3.619327914709138e-08,0.09134048462146893
ret_lag5,1.3086937602403312e-07,6.065470636758351e-08,0.23523539421148598
ret_sd14,1.2856139098815474e-07,2.7090770988283497e-08,0.13941011729184538
dist_ma90,1.1994665230472306e-07,7.590649695180959e-08,0.15722649230156094
rel_kills,1.1530143343226766e-07,1.5747234361575615e-08,0.05329113488551229
pvp_optional,9.908858095337991e-08,5.996003354977456e-08,0.012715065007796511
log_players_online_avg,9.58570477355066e-08,1.761321399401102e-08,0.03463646216550842
