feature,boruta,rfe,lasso,mutual_info,votes
log_age,1,1,0,1,3
premium_x_disp,1,1,0,1,3
turnover_7,1,0,0,1,2
log_day_sold,1,0,0,1,2
log_kills_pp,1,1,0,0,2
log_players_online_avg,1,1,0,0,2
mom14,1,1,0,0,2
idx_premium_demand,1,0,0,1,2
idx_activity,1,0,0,1,2
has_day_bought,1,0,0,1,2
px_z30,0,1,1,0,2
rel_premium_z,0,1,0,1,2
ret_ew3,0,1,1,0,2
ret_mean7,1,1,0,0,2
ret_sd7,1,1,0,0,2
ret_lag1,1,1,0,0,2
w_pct_lvl100,1,0,0,1,2
w_log_premium_accounts,1,0,0,1,2
breadth_up,1,0,0,1,2
days_since_battleye,0,1,0,1,2
world_age,0,1,0,1,2
beta_gap,0,0,0,1,1
w_premium_share,0,0,0,1,1
n_events,1,0,0,0,1
mom7,0,1,0,0,1
xw_disp,0,0,0,1,1
mom30,1,0,0,0,1
pvp_optional,1,0,0,0,1
xw_kills,1,0,0,0,1
log_players_killed,1,0,0,0,1
xw_med_logp,0,1,0,0,1
log_day_bought,0,0,0,1,1
w_premium_only,1,0,0,0,1
vol_ew3,1,0,0,0,1
turnover_imb,0,0,0,1,1
region_north,1,0,0,0,1
region_south,1,0,0,0,1
rel_kills,0,0,0,1,1
rel_premium,0,1,0,0,1
w_log_record_online,0,0,0,1,1
ret_ew7,0,1,0,0,1
log_boss_kills,0,1,0,0,1
ret_lag14,1,0,0,0,1
ret_lag7,1,0,0,0,1
ret_mean30,1,0,0,0,1
w_log_population,0,0,0,1,1
w_log_people_in_guilds,0,0,0,1,1
w_log_guilds,0,0,0,1,1
battleye,1,0,0,0,1
never_merged,1,0,0,0,1
log_active_traders,1,0,0,0,1
g7_players_killed,1,0,0,0,1
g30_kills_pp,1,0,0,0,1
g30_boss_kills,1,0,0,0,1
kills_x_pvp,1,0,0,0,1
event_soon,1,0,0,0,1
ev_xp_skill,1,0,0,0,1
ev_rapid_respawn,1,0,0,0,1
ev_loot,1,0,0,0,1
ev_exaltation,1,0,0,0,1
ev_double_reward,1,0,0,0,1
ev_any,1,0,0,0,1
doy_sin,0,1,0,0,1
doy_cos,0,1,0,0,1
dist_ma90,0,1,0,0,1
dist_ma30,0,1,0,0,1
deaths_pp,1,0,0,0,1
death_ratio,1,0,0,0,1
days_to_update,0,1,0,0,1
days_to_event,1,0,0,0,1
boss_share,0,1,0,0,1
g30_monsters_killed,1,0,0,0,1
xw_ret,0,1,0,0,1
is_weekend,1,0,0,0,1
hunt_hhi,1,0,0,0,1
has_day_sold,0,0,0,1,1
idx_premium_demand_7,0,0,0,1,1
is_merge_dest,1,0,0,0,1
idx_inflation_pressure,1,0,0,0,1
has_active_traders,1,0,0,0,1
kills_x_event,1,0,0,0,1
vol_ew7,0,0,0,0,0
vol_x_breadth,0,0,0,0,0
month,0,0,0,0,0
w_engagement,0,0,0,0,0
w_log_ach_points,0,0,0,0,0
w_log_active_chars,0,0,0,0,0
vol_ew14,0,0,0,0,0
w_log_activity_year,0,0,0,0,0
pvp_open,0,0,0,0,0
dow_cos,0,0,0,0,0
dow_sin,0,0,0,0,0
w_mean_level,0,0,0,0,0
merged_recently,0,0,0,0,0
log_races_hunted,0,0,0,0,0
xfer_blocked,0,0,0,0,0
xfer_locked,0,0,0,0,0
xfer_regular,0,0,0,0,0
log_monsters_killed,0,0,0,0,0
days_since_merge,0,0,0,0,0
update_release,0,0,0,0,0
never_battleye,0,0,0,0,0
g7_players_online_avg,0,0,0,0,0
pre_update_7,0,0,0,0,0
pvp_retro,0,0,0,0,0
pvp_hardcore,0,0,0,0,0
region_europe,0,0,0,0,0
g7_monsters_killed,0,0,0,0,0
g7_kills_pp,0,0,0,0,0
g7_boss_kills,0,0,0,0,0
g30_races_hunted,0,0,0,0,0
g30_players_online_avg,0,0,0,0,0
ret_ew14,0,0,0,0,0
g30_players_killed,0,0,0,0,0
g7_races_hunted,0,0,0,0,0
pre_update_30,0,0,0,0,0
top10_share,0,0,0,0,0
ret_lag2,0,0,0,0,0
pre_update_14,0,0,0,0,0
ret_lag3,0,0,0,0,0
ret_lag5,0,0,0,0,0
post_update_30,0,0,0,0,0
ret_mean14,0,0,0,0,0
post_update_14,0,0,0,0,0
optional_pvp,0,0,0,0,0
ret_sd14,0,0,0,0,0
ret_sd30,0,0,0,0,0
ret_skew30,0,0,0,0,0
ret_lag21,0,0,0,0,0
