world,origin,h,actual,model,rw,snaive,is_sa,in80,in90
Antica,2026-01-11,2w,38204.0,37727.37387857682,37664.5,37980.0,False,True,True
Antica,2026-01-11,1m,38113.0,37732.903364025966,37664.5,37980.0,False,True,True
Antica,2026-01-11,3m,37665.0,37952.58885104445,37664.5,37980.0,False,True,True
Antica,2026-01-11,6m,37412.5,38259.74969007048,37664.5,37980.0,False,True,True
Antica,2025-12-02,2w,39793.5,39842.23215033499,39821.5,39534.0,False,True,True
Antica,2025-12-02,1m,38581.5,39842.98474832059,39821.5,39534.0,False,True,True
Antica,2025-12-02,3m,38025.0,39929.8871101868,39821.5,39534.0,False,True,True
Antica,2025-12-02,6m,36660.0,40001.94646130558,39821.5,39534.0,False,True,True
Antica,2025-10-23,2w,39141.0,39507.25646930022,39513.0,39258.0,False,True,True
Antica,2025-10-23,1m,40101.5,39528.30316359914,39513.0,39258.0,False,True,True
Antica,2025-10-23,3m,38388.5,39567.000893759876,39513.0,39258.0,False,True,True
Antica,2025-10-23,6m,37060.5,39729.188943812565,39513.0,39258.0,False,True,True
Antica,2025-09-13,2w,37633.0,36280.5031401288,36391.0,35664.0,False,True,True
Antica,2025-09-13,1m,39238.5,36194.13979155068,36391.0,35664.0,False,False,False
Antica,2025-09-13,3m,39775.5,35949.4292112575,36391.0,35664.0,False,False,True
Antica,2025-09-13,6m,37230.5,35596.50777633649,36391.0,35664.0,False,True,True
Antica,2025-08-04,2w,36061.5,34086.714434749636,34161.5,33564.0,False,False,False
Antica,2025-08-04,1m,35458.0,34037.577897385025,34161.5,33564.0,False,True,True
Antica,2025-08-04,3m,39638.5,34051.36233700987,34161.5,33564.0,False,False,False
Antica,2025-08-04,6m,37990.0,33895.97795989705,34161.5,33564.0,False,True,True
Antica,2025-06-25,2w,32602.5,32559.4235015866,32553.0,32719.5,False,True,True
Antica,2025-06-25,1m,33379.5,32586.6772465267,32553.0,32719.5,False,True,True
Antica,2025-06-25,3m,36664.0,32899.07985563464,32553.0,32719.5,False,True,True
