world,last_price,launch_phase,gap_to_mean_pct,sigma_daily_pct,mu_daily_pct,2w_p50,2w_p10,2w_p90,2w_w80,1m_p50,1m_p10,1m_p90,1m_w80,3m_p50,3m_p10,3m_p90,3m_w80,6m_p50,6m_p10,6m_p90,6m_w80
Belobra,42843.5,False,-6.667621055186601,1.3491198670926101,0.0010107882096751111,42840.15920901799,41417.93212941248,44146.312319823955,6.368247669801658,42872.414980001326,40908.884480744404,44789.92679018044,9.05864905863442,42890.35095173706,39507.35195782761,46248.55972076766,15.734493593987539,42878.46836889609,38263.95726821446,47776.56854220052,22.20316097887909
Cantabra,40534.5,True,-1.351052132822339,2.767627205483865,0.029771914490996868,40603.59128557556,35999.40617971696,45891.064745487274,24.40306051825065,40738.79041285926,34466.856959234734,49204.36130239589,36.35792804440946,41687.72094175346,30745.093438949603,58372.96727068562,68.15891112937379,43164.96491622208,27609.13045570757,68294.16959667226,100.37138521744365
Celebra,43811.5,False,-8.729767816164413,1.5088159595838317,0.00023371380761369145,43858.91370741906,42123.21302141497,45368.447765995,7.407266915262034,43850.7012382269,41523.905209092714,45930.16382689915,10.057310564135987,43777.50632470876,39912.912608912084,47898.25369676539,18.226586827324567,43661.63036366733,38281.86168646505,49671.03370312577,25.995850442602347
Collabra,40040.0,False,-0.13272284410308366,0.9376046587623923,0.00032286454990600156,39956.47380000146,38695.65579710574,41397.88225940016,6.748817338397653,39876.174599430225,38063.932003670736,41958.757533700234,9.727336488585161,39621.19413320691,36458.087637726734,43304.91446721171,17.09996710660584,39135.922978365794,34841.051921380116,44055.76682631629,23.013773488851587
Descubra,40221.5,False,-0.5833751271804188,1.2276465946116264,0.0019520449612113338,40197.95511815263,38696.199104964035,41721.24615584324,7.520970254414196,40140.42736176563,38197.98440715793,42151.707598389155,9.82987504501629,39984.71389775981,36471.99616741878,43551.84198962828,17.602142690375793,39582.674888496884,34883.75923640298,44803.97107110757,24.663952947315714
Dracobra,38570.0,True,3.6734710220926337,3.168538424728605,0.04,38102.68896945531,31820.136329822297,47676.6969536043,41.11112425144414,38402.599070694145,28286.2227485131,52647.18733087563,63.160395598554665,37979.14812949134,21923.68492577369,65223.12276691368,112.26195966072075,37323.408234865274,17326.837964220224,81155.78827462907,165.48859297487385
Etebra,39591.5,True,0.9985925595674017,1.0166116049471987,6.297522161529109e-05,39521.337705480226,38092.03786942646,41096.866872546416,7.589581104833002,39515.20687207572,37488.22023701012,41745.83066210069,10.75384975333233,39325.791910395565,35853.10097488037,43286.8973348394,18.776243284439918,39165.37986978046,34340.7058159705,44719.86855582038,26.215634011971968
Ferobra,39365.5,False,1.5784323156599722,1.582511889270199,0.002005532334799938,39318.00625567374,37824.75133802554,41052.46026126406,8.199334247598832,39251.247622984214,37279.51191504194,41648.06900983803,11.097425651385318,39325.45100508146,35693.18220462061,43631.135421708284,20.164746331401044,39374.17950449344,34402.974193248025,45463.32838968951,28.096567289737163
Floribra,13232.0,True,202.19813915674973,9.168102110285949,0.04,10659.572136615901,8687.537539040206,34590.15012345647,195.75735024498388,8985.37786036692,5766.386797408455,32476.70026619247,201.8614984037486,8481.440837773156,2078.5144392641423,55653.372621500144,404.88858964809555,6598.933535695956,804.1315116384056,89383.6864775461,669.4343634061947
Gentebra,42954.5,False,-6.90880402933074,1.1580216783786517,0.0011037872836914524,42992.64242653476,41719.267834785795,44263.37149182141,5.9227872680059495,43104.72627645625,41297.37194112246,44751.59198487594,8.041578981837706,43248.607029479244,39778.60254619571,46334.39152932646,15.262170396886814,43206.88968797629,38575.00899990877,47979.0079933969,21.892930876830437
Gladibra,36948.5,False,8.223223603721742,1.31740295658854,0.0006194741937773223,37038.54134742776,34661.74388834655,38992.656804663064,11.72148508414824,37019.13102561741,33603.687396894165,39934.870964874215,17.135157226897032,36689.03814925403,31464.076175658018,42489.828008287994,29.840864534771306,36583.763956821014,29181.58793723529,44597.44287337148,41.72254607395751
Honbra,39958.0,False,0.07222026433035822,1.0360438531723895,0.01770792822102996,39902.35263022428,38796.38999793876,41393.357864175494,6.4992438716570815,39923.49754069178,38341.64415662604,41927.50241174392,8.974068409624799,40157.67870796028,37103.68464688849,43803.77675727615,16.767836504298668,40366.063481035,36184.12395371803,45342.6639818415,22.920416507641697
Ignibra,22502.0,True,77.70357200791543,4.092749171459721,0.04,22657.694403024598,17483.768330009407,29817.238445022867,54.81055068444343,23391.91614395051,16071.554397183536,34630.50426548405,82.47689035774826,25864.450063572513,13435.794459822515,50252.31792496453,163.61444967177147,30197.51846938555,12169.53763182662,76751.30454558256,287.0045636554793
Inabra,39690.5,False,0.746671806152932,1.046455478370161,0.01824580875869693,39755.281561512194,38388.44931356452,41115.036554319166,6.86962180056852,39766.14203299447,37990.89985139221,41675.89078397955,9.284314716587943,40005.47250893741,36842.506179918986,43400.50611156758,16.522845344978247,40172.40335796518,35859.04163178398,45292.286919354134,23.767010462378042
Issobra,39182.0,False,2.054151838142837,1.341514332096404,-2.3390580500282285e-06,39138.87705982976,37648.630840613,40808.403585254186,8.064347773572528,39091.26078677569,37102.80280629405,41332.78157326521,10.795719378722778,39014.686447906715,35570.88823861591,42923.33308747469,18.764853373637848,39022.778929400745,34050.50149698945,44604.53830255916,26.935931819635826
Jadebra,39545.5,False,1.1160758448398145,1.0614403636953909,0.004996322597373143,39488.31863676168,38271.45837593475,40917.080517900344,6.690071289945992,39432.078636422026,37645.31433985337,41434.85140931498,9.582726402401303,39321.67709221602,36354.226744361105,42803.634065251754,16.30882735302537,39287.26474595188,34891.12770632797,44083.802788482586,23.24581831600211
Kalibra,43513.0,False,-8.103652303400988,1.5478634844128611,0.0008184909689638699,43497.510956720245,41933.18797965085,45064.369242416025,7.195967326466055,43492.27787387401,41341.22403388592,45696.40377410835,10.00891627840515,43352.53430681006,39455.37859819227,47662.23120434772,18.860691301807396,43231.95983730114,37810.56595065538,49380.78480140731,26.59025774079455
Lutabra,38006.0,False,5.211960672580984,2.056717710634479,3.45694600715163e-05,38005.81930739693,35784.04737314712,40256.35508894754,11.767372824818228,37967.7036710617,34834.9840564244,41251.31216820692,16.882408334953737,37759.19373188268,32500.84609765405,43789.900722135455,29.703348483085318,37550.8801258209,30548.823090550766,46193.64281023904,41.164078618345194
Luzibra,39649.5,True,0.8508500062324398,3.623783244173929,0.04,39923.54815871052,32656.21832688451,48407.09727956338,39.72529023740241,40238.503149790195,29915.177766097393,53902.36962476109,60.498094197061,40568.296170499365,24743.99741886746,68560.05863728514,110.50848363388613,42498.81429526552,20832.62933371365,88980.27114783827,171.87516063033488
Ombra,39259.0,False,1.85398959021148,0.8714922088044017,0.0037591729737181836,39255.50611004495,38071.23512613636,40506.16505984266,6.202220977880992,39215.01949520827,37582.52303718383,41019.21143837264,8.753886755110429,39136.95019097092,36380.795662058474,42274.258644787384,15.011750127942408,39212.488331733926,35243.85445325635,43758.11799136386,21.68741826869639
Ourobra,39606.5,False,0.9603417954657134,0.7898146548983189,0.01958339678978687,39638.21795624323,38495.55793144135,40919.108667285305,6.1190732224356035,39669.64576356797,38056.10972525388,41515.79090161255,8.735134829784673,40006.85731242871,37124.12235201759,43136.79486866066,15.181024621319908,40343.04259228628,36306.69753010742,44803.18739213177,21.452261275357195
Penumbra,22258.0,True,79.65162086989454,6.081940496901527,0.04,21080.42138902256,16917.89136554929,28309.497398330575,51.179827625039465,20160.341066509653,14113.575933426173,34026.781708808834,89.46538671660824,17861.492045635787,9195.97393931456,42102.06532401924,147.83938981357124,15463.867952610237,5667.813242421829,49139.22172303322,195.30689406330933
Quelibra,40004.5,False,-0.04410060562904938,0.8924845402265309,0.009518302554766565,39987.24691908827,38757.25822619707,41410.00138187325,6.631111889102927,40003.51785395899,38214.36661704019,41917.42842150843,9.256613142192109,40062.9053628992,37031.770336575944,43458.173435730896,16.06420052532828,40062.530251931865,36005.93269702896,44927.549090247056,22.301532060688405
Rasteibra,40048.0,False,-0.15267236011504703,1.4183784976404303,0.010904143677873302,40005.10005691972,38698.68584891984,41459.923345518735,6.894819957548175,40001.94108948547,38185.04307216494,42053.84528921541,9.660413046969811,40073.409245483126,36646.28883723218,43935.04892138914,18.200060138226522,39958.583827929244,35352.11977097729,45409.311467108,25.11284382773349
Serdebra,39380.0,False,1.5410304043197653,1.0020363734045392,0.01356392320457429,39456.72895886975,38196.372813323,40806.95234955108,6.629201463250577,39491.7655504783,37680.56559305372,41495.2115395892,9.68675964077066,39833.17824763936,36704.48907382125,43347.870820494914,16.869938412071267,40326.57982144866,35733.946550152636,45600.91041573142,25.05577416348092
Sombra,41976.5,False,-4.739895481469092,2.0564615351021818,1.4929580373123416e-05,41908.27806718131,38309.558656237736,46218.957550350846,18.84244492540614,41605.5026383201,36759.47145589559,47694.627061859945,26.05066074104405,41142.59746924449,33086.78389689111,51802.68108328699,44.58660723594363,40492.25931555538,29942.976111578057,55980.12257386385,62.02791195617976
Terribra,37459.0,False,6.748332238503774,2.3490444611665584,-0.0007783836658917018,37472.999730895186,35295.321217410274,39791.056120732,12.001748320354855,37561.93020667057,34771.009741012174,40444.76127943126,15.146564346136001,37607.38083765542,32772.34661865255,42900.10359467029,27.036912293488196,37892.30929604132,31203.380065355035,45700.911430572436,38.70239826268026
Tornabra,40357.0,True,-0.9171698262479211,0.9701553837367868,0.005349744445582081,40351.37518301896,38794.56379434283,41859.434122817845,7.594395838330439,40312.99916165869,38122.76130380008,42533.55202774352,10.929431632538202,40109.775476324656,36358.26399160949,44078.03128272582,19.128694628233823,39886.962428185165,34642.85505131459,45577.44021000613,27.094643206114277
Unebra,40526.5,True,-1.3315786627981052,1.6028519895942956,0.03125172074713857,40382.32253900651,38254.39894178368,43388.94415001723,12.669599418241283,40382.78337373088,37330.81999428002,45436.84913027432,20.00179915856119,40759.21187199925,34914.605586322265,49438.36108083773,35.837675334695724,41778.36280475212,33169.46481205989,54832.05646536634,53.452905267680286
