world,alpha,beta,persistence,nu,half_life,aic,n
Antica,0.10668400978798648,0.8300513285679736,0.93673533835596,5.132697939681192,10.605960636024701,3506.14093154054,1255
Astera,0.8538084242586583,0.052168546247262075,0.9059769705059204,2.571320299806649,7.0198238611863,2416.2070167217216,786
Belobra,0.3032180613693808,0.5012264719997518,0.8044445333691326,4.929716179195135,3.1853713004841717,2900.3439347120625,861
Bona,0.963248400591466,0.036751599408534015,1.0,2.437656219751027,,1317.1847823461867,566
Calmera,0.43429284507037486,0.5657071549209244,0.9999999999912992,2.725230000189779,79664600843.9224,2206.985199674239,842
Celesta,0.5922764159768013,0.35711435816655845,0.9493907741433597,2.4808917669836266,13.346490361967952,1365.3865167972415,575
Descubra,0.30061407596336065,0.0,0.30061407596336065,5.797045464367875,0.5766961033378079,1776.3623834018363,572
Gentebra,0.3109797125194991,0.1966730104560525,0.5076527229755516,6.0549164550728,1.0224047895788144,1587.6721998066823,572
Gladera,0.7358532111884063,0.2641467888115934,0.9999999999999998,2.620044983059459,3121657384082679.0,2814.4456582950443,856
Harmonia,0.8122871919575708,0.18771280804240204,0.9999999999999729,2.507910548629874,25587355607234.73,1902.0218906824016,790
Honbra,0.34220647096474854,0.3183321791981473,0.6605386501628958,3.213381776386416,1.6714438917998509,1559.5791432684348,574
Inabra,0.2022841596850754,0.7649375793749249,0.9672217390600003,3.1561896148759274,20.79805279734684,3052.6442235081477,878
Karmeya,0.6284506200863522,0.37154937991364784,1.0,2.5240752064317773,,1260.8979714627621,570
Lobera,0.16210217125099957,0.8378978287490004,1.0,2.789719926612694,,2464.058625302844,900
Monza,0.6681796691444906,0.3318203308555095,1.0,2.4230369968481056,,1284.786544884198,571
Nefera,0.10181323717835361,0.8981867628279822,1.0000000000063358,2.720332700305915,,2274.4872809142216,928
Nevia,0.3461237395266576,0.6538762604733424,1.0,2.5760578058748083,,1414.698578410432,573
Ourobra,0.3955053855166402,0.24509711300905115,0.6406024985256914,2.912836991110257,1.5564234556668404,1318.5145480199312,557
Pacera,0.16590381134842383,0.14803574714917173,0.3139395584975956,3.1552079830535127,0.5982860545592646,1716.2722002948476,567
Peloria,0.06117666713093171,0.9388233328690683,1.0,2.737638620912946,,2448.48721575569,872
Quidera,0.8346802143653881,0.16531978563461192,1.0,2.3845669865531334,,1499.9628596949656,573
Rasteibra,0.4655859223028628,0.19564432937627177,0.6612302516791345,2.875409210475231,1.6756723875356754,1668.0272476979667,574
Refugia,0.6786235195777172,0.3213764804222829,1.0,2.3394904301363475,,1251.03474508278,575
Secura,0.10310031311920884,0.8631038730130063,0.9662041861322151,3.7636859569541934,20.161293757699656,1967.9483332258133,907
Serdebra,0.60042188534972,0.3730570177854966,0.9734789031352166,3.08658320138696,25.787564373788104,1398.1032979726733,575
Solidera,0.6897403892229923,0.31025961077700764,1.0,2.348669936632551,,1296.484867537001,575
Talera,0.5264503331644077,0.4735496668355921,0.9999999999999998,2.3535666199373355,3121657384082679.0,1371.5883058701097,573
Thyria,0.7989227664770513,0.20107723352294876,1.0,2.33282122496086,,1413.4786771900822,572
Ustebra,0.10034194488554522,0.7584336127278704,0.8587755576134156,3.1449741511881535,4.552760381714538,1498.0091579474915,553
Vunira,0.2559113838097007,0.7440886161902993,1.0,2.469377146673137,,2624.0552285413,982
Wintera,0.902529225810951,0.09747077418904924,1.0000000000000002,2.5255326483602465,,1350.0658679876126,559
Xyla,0.8152880392746843,0.18471196072531515,0.9999999999999994,2.473590641259086,1248662953633071.2,1410.0577905978953,574
