world,garch_rmse,mean_rmse,n
Antica,0.10762896829252357,0.110349021693096,69
Astera,0.07561736896326468,0.07599630043197626,69
Belobra,0.21165454801020842,0.07175621457090793,69
Blumera,0.21309043151002652,0.23024629978540143,69
Bona,0.29778629504000226,0.09354788322216474,69
Calmera,0.12497084889328962,0.08597773961572189,68
Celebra,0.27313762340189346,0.15450599130855608,68
Celesta,0.2605877163361197,0.04707426344633365,69
Citra,0.09187085665924451,0.09143119645416362,67
Collabra,0.04094617262513887,0.04073275943537323,68
Descubra,0.09540079628295993,0.09446149768407526,69
Eclipta,0.181397958661086,0.09501558292610747,67
Epoca,0.1910574310071477,0.2013823401178313,67
Ferobra,0.1613580336465034,0.1349481690601861,69
Firmera,0.2581089329257251,0.26160479139430404,67
Gentebra,0.07773512461152157,0.07663054313096368,68
Gladera,0.5051793230447205,0.21542350221597792,67
Gladibra,0.30772036289806654,0.1373634446975991,68
Harmonia,0.14378112949834912,0.09667591146626724,69
Havera,0.19923882827568162,0.05832184184965544,66
Honbra,0.13774382632827184,0.15514124071895252,69
Inabra,0.08534561633002585,0.054740271942559565,69
Issobra,0.19107113552347332,0.18300439281984274,68
Jadebra,0.15068339428926042,0.15584299454768877,69
Kalanta,0.10889699519014116,0.10245210363283777,69
Kalibra,0.17897190352653197,0.07299152475069152,69
Karmeya,0.09920649103788741,0.06012787100024817,68
Lobera,0.06557543662706208,0.05898832458544474,69
Luminera,0.4734592499772517,0.5259497586914568,69
Lutabra,0.2610949785813154,0.26102756557887147,63
Menera,0.14791882165368753,0.12211144245450127,69
Monstera,0.32938021267157475,0.09473497578706347,67
Monza,0.7144733523196067,0.05990268607863166,68
Nefera,0.053863212317537594,0.05229456295902308,69
Nevia,0.4743175006249856,0.07365644407903632,69
Ombra,0.13706353999128784,0.047288686101907666,68
Ourobra,0.07002899346369088,0.06810334641921717,69
Pacera,0.18374499357800936,0.11593911285494495,69
Peloria,0.1502062217598621,0.19318776593073436,67
Quelibra,0.08942822368566455,0.07692214865177559,69
Quidera,0.3283048654439611,0.34994565357551116,69
Quintera,0.07044763672260822,0.06982057184352122,69
Rasteibra,0.058751784619978584,0.05697701334037984,69
Refugia,0.19828443494921366,0.0746012231945169,69
Retalia,0.2870361381026948,0.2800505017306303,66
Secura,0.06487345673324296,0.053458817733372854,69
Serdebra,0.21129157204332197,0.21070034308843213,69
Solidera,0.09359365659221139,0.08841168355711253,69
Sombra,0.7066048280191606,0.17978037205625957,67
Talera,0.10227293708567894,0.10283044081644747,69
Tempestera,0.2001115963378322,0.1610159635942913,67
Terribra,0.38889449225619965,0.238461425744568,68
Thyria,0.14574384299099258,0.08604523293131602,68
Ustebra,0.0607468752842109,0.05845195387429869,67
Venebra,0.08798835613728861,0.08890906817521173,68
Vunira,0.18912551560221116,0.04328045930559324,68
Wintera,0.14871003980889685,0.07403192567016564,69
Xyla,0.3037643473389505,0.32957438403270617,69
Xymera,0.13128139533402913,0.08940385686998878,69
Yonabra,0.06566963301301539,0.0854382963077665,69
Yovera,0.14004378926622282,0.13532460791643575,69
