model_type,series,horizon_days,lag_or_window_days,coefficient,std_error_two_way,t_stat,p_value,r2_within,cluster_variance_floor_applied,n,n_worlds,n_dates,date_start,date_end
shock_lag,kill_count,1,1,-0.0006906215614791965,0.001557761752834465,-0.44334222497282294,0.6575182183507062,0.014613878451739115,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,direct_coin,1,1,0.0007177744825264665,0.000992747545745801,0.7230181385009005,0.46966874050165097,0.014638585469463727,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,potential_max,1,1,0.0002229953138032704,0.0012773849360940984,0.17457174223858507,0.8614161540111899,0.014603590951369205,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,potential_conservative,1,1,0.0002962057398910036,0.001278942983793526,0.23160198980287258,0.8168471618915114,0.014605440698207905,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,realized_25,1,1,0.0005802673843418615,0.0011568253843681796,0.5016032602524405,0.6159466256071073,0.014620008620118363,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,realized_50,1,1,0.00043738793100933643,0.0012300351312575595,0.355589787555223,0.722147792774904,0.014610755433879463,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,realized_75,1,1,0.00031801438125859634,0.0012629162068969733,0.25180956545008487,0.8011882633590725,0.014606036448407411,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,realized_100,1,1,0.0002229953138032704,0.0012773849360940984,0.17457174223858507,0.8614161540111899,0.014603590951369205,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,realized_category,1,1,0.0003230720495709153,0.0012505062133916502,0.2583530142522621,0.7961344750945873,0.014606413021665543,False,30497,61,1243,2023-01-13,2026-07-29
shock_lag,kill_count,7,1,0.0005701251108458769,0.0025451568754058006,0.22400391754043683,0.8227542549334158,0.021197972294528467,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,direct_coin,7,1,0.0005087274311881437,0.001457013826552772,0.34915758650813183,0.7269710058476392,0.02120179437006997,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,potential_max,7,1,0.000862805290082055,0.0019112999460493341,0.45142327967176343,0.6516845081062402,0.021207208573135072,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,potential_conservative,7,1,0.0005472882151595041,0.001894589856341589,0.28886896724777444,0.7726816523530388,0.021199976600499992,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,realized_25,7,1,0.0006926573858490998,0.0016754147125012146,0.4134244379500742,0.6792956730137619,0.02120474613814982,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,realized_50,7,1,0.0007868686499198825,0.0017959428196546784,0.43813680553102496,0.6612871152565272,0.021206174162065494,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,realized_75,7,1,0.0008361333265187905,0.0018668943285656714,0.44787394429613425,0.6542441737940725,0.021206867725459877,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,realized_100,7,1,0.000862805290082055,0.0019112999460493341,0.45142327967176343,0.6516845081062402,0.021207208573135072,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,realized_category,7,1,0.0006144732974407965,0.0018253752331094117,0.3366284839934417,0.7363969810548898,0.021201610796213854,True,30131,61,1237,2023-01-13,2026-07-23
shock_lag,kill_count,30,1,-0.0015444491472034198,0.0032590322857325464,-0.4738980813306879,0.6355725874935252,0.020352209184708148,True,28728,61,1214,2023-01-13,2026-06-30
shock_lag,direct_coin,30,1,-0.0011603996277224774,0.002009960986707102,-0.57732445325894,0.5637202977234541,0.02036074957971512,True,28728,61,1214,2023-01-13,2026-06-30
shock_lag,potential_max,30,1,-0.001085450535121823,0.002490132265110154,-0.4359007552853048,0.6629087371186568,0.020349804287891793,True,28728,61,1214,2023-01-13,2026-06-30
shock_lag,potential_conservative,30,1,-0.001389430118516542,0.0024993949038107704,-0.5559065981922703,0.5782747073730222,0.020358779739554467,True,28728,61,1214,2023-01-13,2026-06-30
