series,horizon_days,cutoff_date,train_n,test_n,random_walk_rmse,model_rmse,rmse_improvement_pct,model_mae,direction_accuracy
kill_count,1,2026-05-20,7974,4153,0.012778723864515087,0.01275751230017564,0.001659912567509858,0.007853886949055866,0.49987960510474355
direct_coin,1,2026-05-20,7974,4153,0.012778723864515087,0.012792111883066769,-0.0010476804017074404,0.007884224026782637,0.49410065013243437
potential_max,1,2026-05-20,7974,4153,0.012778723864515087,0.012793752665230767,-0.0011760799337259265,0.007881880035094888,0.49361907055140863
realized_25,1,2026-05-20,7974,4153,0.012778723864515087,0.01280094455105285,-0.0017388815012637782,0.007891539416833702,0.4953045990849988
realized_50,1,2026-05-20,7974,4153,0.012778723864515087,0.012799187269896106,-0.0016013653317796805,0.007888142991837684,0.49699012761858896
realized_75,1,2026-05-20,7974,4153,0.012778723864515087,0.012796284899056827,-0.0013742400828071766,0.007884596715214529,0.49602696845653743
realized_100,1,2026-05-20,7974,4153,0.012778723864515087,0.012793752665230767,-0.0011760799337259265,0.007881880035094888,0.49361907055140863
kill_count,7,2026-05-20,7974,3787,0.025351248907418977,0.025710213794712104,-0.01415965298609323,0.018932817548217764,0.44837602323739106
direct_coin,7,2026-05-20,7974,3787,0.025351248907418977,0.025734472799883588,-0.015116568570807676,0.01894898781127708,0.44335885925534724
potential_max,7,2026-05-20,7974,3787,0.025351248907418977,0.025707403866093045,-0.014048813136375404,0.018924838391797597,0.4510166358595194
realized_25,7,2026-05-20,7974,3787,0.025351248907418977,0.025719606760961345,-0.014530165945180196,0.018935818408441267,0.4491682070240296
realized_50,7,2026-05-20,7974,3787,0.025351248907418977,0.02571276402592756,-0.014260248866981406,0.018929554437874602,0.4520728809083707
realized_75,7,2026-05-20,7974,3787,0.025351248907418977,0.025709340263194946,-0.014125195846709238,0.01892651487638979,0.4515447583839451
realized_100,7,2026-05-20,7974,3787,0.025351248907418977,0.025707403866093045,-0.014048813136375404,0.018924838391797597,0.4510166358595194
kill_count,30,2026-05-20,7974,2384,0.03459636440911691,0.04111536306036547,-0.1884301649201805,0.033938147979171614,0.21518456375838926
direct_coin,30,2026-05-20,7974,2384,0.03459636440911691,0.04117820349855245,-0.19024655341244712,0.033967965302471245,0.2160234899328859
potential_max,30,2026-05-20,7974,2384,0.03459636440911691,0.04117958356507041,-0.19028644391948535,0.03396882391878134,0.21686241610738255
realized_25,30,2026-05-20,7974,2384,0.03459636440911691,0.04119498056346447,-0.19073149063630157,0.03397690900801317,0.2177013422818792
realized_50,30,2026-05-20,7974,2384,0.03459636440911691,0.04119127240169297,-0.19062430706846634,0.03397489521463144,0.2181208053691275
realized_75,30,2026-05-20,7974,2384,0.03459636440911691,0.04118506892433366,-0.19044499697432027,0.03397166966110342,0.2177013422818792
realized_100,30,2026-05-20,7974,2384,0.03459636440911691,0.04117958356507041,-0.19028644391948535,0.03396882391878134,0.21686241610738255
