coverage_threshold,series,bosses_included,coefficient,std_error_two_way,t_stat,p_value,r2_within,cluster_variance_floor_applied,n,n_worlds,n_dates,date_start,date_end
0.8,kill_count,False,0.0014724645742417324,0.002411633237166395,0.6105673746526397,0.5414860269902344,0.021284028223632068,True,29765,61,1233,2023-01-19,2026-07-23
0.8,direct_coin,False,0.0003960568605347711,0.0015848296223424795,0.249905008684387,0.8026608097325508,0.021265492155452148,True,29765,61,1233,2023-01-19,2026-07-23
0.8,realized_25,False,0.000485632803385191,0.0018116369926022735,0.26806297584353134,0.7886508441588276,0.02126617185155144,True,29765,61,1233,2023-01-19,2026-07-23
0.8,realized_50,False,0.0005189074988767568,0.0019204563840629467,0.2702000957600236,0.7870063190280787,0.021266238211524846,True,29765,61,1233,2023-01-19,2026-07-23
0.8,realized_75,False,0.0005302187997996794,0.0019759991870395275,0.2683294625207116,0.788445729673318,0.021266145251698343,True,29765,61,1233,2023-01-19,2026-07-23
0.8,realized_100,False,0.0005325297909850601,0.0020059946156475656,0.2654692025746796,0.7906480317567429,0.021266017284840455,True,29765,61,1233,2023-01-19,2026-07-23
0.8,realized_category,False,0.0005229639702830447,0.0019291183174842959,0.2710896296734282,0.7863220973686,0.021266234753077318,True,29765,61,1233,2023-01-19,2026-07-23
0.8,potential_conservative,False,0.0006577710138462688,0.001970719305778923,0.333772045525421,0.7385515793382582,0.021268891126427047,True,29765,61,1233,2023-01-19,2026-07-23
0.8,potential_max,False,0.0005325297909850601,0.0020059946156475656,0.2654692025746796,0.7906480317567429,0.021266017284840455,True,29765,61,1233,2023-01-19,2026-07-23
0.8,potential_with_bosses,True,0.0005181487602751784,0.002047317741583202,0.25308663611467125,0.8002012656159363,0.021265593149805695,True,29765,61,1233,2023-01-19,2026-07-23
0.9,kill_count,False,0.0014724645742417324,0.002411633237166395,0.6105673746526397,0.5414860269902344,0.021284028223632068,True,29765,61,1233,2023-01-19,2026-07-23
0.9,direct_coin,False,0.0003960568605347711,0.0015848296223424795,0.249905008684387,0.8026608097325508,0.021265492155452148,True,29765,61,1233,2023-01-19,2026-07-23
0.9,realized_25,False,0.000485632803385191,0.0018116369926022735,0.26806297584353134,0.7886508441588276,0.02126617185155144,True,29765,61,1233,2023-01-19,2026-07-23
0.9,realized_50,False,0.0005189074988767568,0.0019204563840629467,0.2702000957600236,0.7870063190280787,0.021266238211524846,True,29765,61,1233,2023-01-19,2026-07-23
0.9,realized_75,False,0.0005302187997996794,0.0019759991870395275,0.2683294625207116,0.788445729673318,0.021266145251698343,True,29765,61,1233,2023-01-19,2026-07-23
0.9,realized_100,False,0.0005325297909850601,0.0020059946156475656,0.2654692025746796,0.7906480317567429,0.021266017284840455,True,29765,61,1233,2023-01-19,2026-07-23
0.9,realized_category,False,0.0005229639702830447,0.0019291183174842959,0.2710896296734282,0.7863220973686,0.021266234753077318,True,29765,61,1233,2023-01-19,2026-07-23
0.9,potential_conservative,False,0.0006577710138462688,0.001970719305778923,0.333772045525421,0.7385515793382582,0.021268891126427047,True,29765,61,1233,2023-01-19,2026-07-23
0.9,potential_max,False,0.0005325297909850601,0.0020059946156475656,0.2654692025746796,0.7906480317567429,0.021266017284840455,True,29765,61,1233,2023-01-19,2026-07-23
0.9,potential_with_bosses,True,0.0005181487602751784,0.002047317741583202,0.25308663611467125,0.8002012656159363,0.021265593149805695,True,29765,61,1233,2023-01-19,2026-07-23
0.95,kill_count,False,0.0019805019502996206,0.0024180364410711047,0.8190538060800805,0.41275571573825287,0.02127683499516031,True,29750,61,1233,2023-01-19,2026-07-23
0.95,direct_coin,False,0.0005622513520986291,0.0015921451590002952,0.3531407603887484,0.7239829165395877,0.021244265698192155,True,29750,61,1233,2023-01-19,2026-07-23
0.95,realized_25,False,0.0006768689613342651,0.0018210222682659035,0.3716972456239231,0.7101182759893193,0.021245275574056532,True,29750,61,1233,2023-01-19,2026-07-23
0.95,realized_50,False,0.0007162329211840027,0.0019301527896206693,0.37107576407190185,0.7105811018594934,0.02124521983764105,True,29750,61,1233,2023-01-19,2026-07-23
0.95,realized_75,False,0.0007268318261921109,0.0019853598822526736,0.36609575558030144,0.7142936245624745,0.021244917037245847,True,29750,61,1233,2023-01-19,2026-07-23
0.95,realized_100,False,0.0007261636488058287,0.0020148301678958695,0.36040935875214586,0.7185410289706486,0.021244583408574935,True,29750,61,1233,2023-01-19,2026-07-23
0.95,realized_category,False,0.0007339549606011756,0.0019388873915944676,0.37854439808265444,0.7050262182509814,0.02124554606598472,True,29750,61,1233,2023-01-19,2026-07-23
0.95,potential_conservative,False,0.0008803360549458315,0.0019810657107786956,0.44437498976235307,0.6567714924930327,0.021249388302358452,True,29750,61,1233,2023-01-19,2026-07-23
0.95,potential_max,False,0.0007261636488058287,0.0020148301678958695,0.36040935875214586,0.7185410289706486,0.021244583408574935,True,29750,61,1233,2023-01-19,2026-07-23
0.95,potential_with_bosses,True,0.0007258082544746603,0.0020566983236702274,0.35289971607476106,0.7241636236946165,0.021244253218063114,True,29750,61,1233,2023-01-19,2026-07-23
