world,slope,adf_like_t,corr
Antica,-0.02031965086187464,-3.5512802860922625,-0.7635824128567863
Astera,-0.012108817285770289,-4.330136279079001,-0.5128354216267575
Belobra,-0.01959988387204283,-4.809851323791237,-0.6236720302506936
Blumera,-0.03593448245141631,-4.715963437770363,-0.8443264932822806
Bona,-0.01807674638768028,-3.519332434998446,-0.6275912009641517
Calmera,-0.022253526238698355,-3.2965152956929846,-0.7407039040761086
Celebra,-0.015939705856580045,-4.805902467891763,-0.5627783624281228
Celesta,-0.01561760871071513,-3.128389290734912,-0.607596776605668
Citra,-0.03925464170901411,-2.944034699506697,-0.7136557718720403
Collabra,-0.04485286417881675,-3.2489107851265704,-0.916245712854661
Descubra,-0.037639531623759055,-4.02934317920886,-0.8486282142875093
Eclipta,-0.009213135587917358,-3.527052391827613,-0.3398480076896879
Epoca,-0.023732062471671554,-4.374557216803341,-0.48771930756049087
Ferobra,-0.019024794672789353,-6.390150066797662,-0.6541709234785958
Firmera,-0.03472896330455236,-3.6568017802888835,-0.6604917021495897
Gentebra,-0.016431173466551173,-4.283132337408706,-0.5761168258472497
Gladera,-0.015139433511724141,-5.244095918685731,-0.3995026518886463
Gladibra,-0.05280827538817376,-3.8285025773693304,-0.8072936591789083
Harmonia,-0.014609692974961223,-3.7395280802777515,-0.5479848391044921
Havera,-0.02315394583647529,-2.797698246276329,-0.7686506880412536
Honbra,-0.024271431007559907,-3.9462476451900574,-0.7605568481304656
Inabra,-0.019414573034155457,-3.7810376334703197,-0.6905267701387263
Issobra,-0.04134487948714261,-6.035930324616734,-0.8861931040193685
Jadebra,-0.021214210970200004,-4.457877609528028,-0.7343065053764471
Kalanta,-0.02097858946189695,-4.7623599373109435,-0.6583659007249633
Kalibra,-0.017693770445751596,-4.282059059140219,-0.5776910172391844
Karmeya,-0.03750820218002625,-4.690511946149649,-0.9094640310225613
Lobera,-0.020185309083501888,-2.493155483855668,-0.7119370065997965
Luminera,-0.015442788250215434,-6.356160694192918,-0.5471219534651435
Lutabra,-0.02529674399865269,-5.025701054312694,-0.4747447026153399
Menera,-0.012679216747997242,-3.9613664490027087,-0.435345932482573
Monstera,-0.025482356082336052,-4.766985198532101,-0.8169049558384143
Monza,-0.017372193952096767,-2.6348609479276712,-0.6045616304537744
Nefera,-0.012505334888062785,-2.066465599921795,-0.4906947882514794
Nevia,-0.03699742666605198,-3.3655695144521234,-0.8781660449055136
Ombra,-0.022537871054322582,-3.7667804070397968,-0.7661646802420836
Ourobra,-0.02183676345098214,-2.438636901403863,-0.7387851237148083
Pacera,-0.02061255848300685,-3.707790475509158,-0.5812330265770912
Peloria,-0.02437299913896967,-4.374020824098406,-0.7842412640145142
Quelibra,-0.02015414389415607,-3.242610697479784,-0.7281503565164318
Quidera,-0.02537888362000959,-5.177950227542443,-0.736543034697457
Quintera,-0.019280551697507704,-2.520356522804423,-0.6870736848114831
Rasteibra,-0.02057780151890134,-2.724599633934734,-0.7023362720707615
Refugia,-0.014663223181832363,-2.5055787564506935,-0.5562600468377522
Retalia,-0.02210265863508996,-6.073639814005932,-0.5375404337107627
Secura,-0.017989254045657557,-1.9087980334471795,-0.6245102074096569
Serdebra,-0.021985605061857285,-4.240988574812036,-0.7634353041514865
Solidera,-0.01678006382979083,-0.9380272995045003,-0.7071495033449346
Sombra,-0.0003011233346682152,-3.492505232256363,-0.005458764432160614
Talera,-0.0235185129036481,-3.529881015031966,-0.7548252406910857
Tempestera,-0.0025473459184227566,-4.806515112120272,-0.06623455252409936
Terribra,-0.019576843374953103,-8.966129231311818,-0.597349689053823
Thyria,-0.023907984197194455,-2.923600411131635,-0.7493796257404993
Ustebra,-0.03932280664408433,-4.220303719006544,-0.8967703990817039
Venebra,-0.041780970142336095,-5.808039387005735,-0.9073088067697884
Vunira,-0.024014939049521813,-3.4374699670494704,-0.8088507800971764
Wintera,-0.019368135356504605,-2.499157285696813,-0.7060574599659912
Xyla,-0.021501749433981605,-4.558593492662019,-0.685226533076461
Xymera,-0.020169482321178638,-2.9993035245724404,-0.6115925431986566
Yonabra,-0.017656178309886177,-4.642707419081634,-0.5951698717120109
Yovera,-0.03818506415941297,-3.0226865870423327,-0.8546605078487914
