horizon,fold,scope,n_test,rmse,r2_oos,dir_acc,dm_t_vs_rw,dm_t_vs_global
1,0,global,1357,0.013019631335159695,0.023361089073408392,0.5497420781134856,2.4216592796241927,
1,0,regional,1357,0.013127056414115325,0.0071780899151527855,0.5534266764922623,0.7056373047473246,-2.8715110895359692
1,0,per_world,1357,0.013365193108053602,-0.029170017802023995,0.5327929255711128,-1.9562648446311874,-4.401863517923372
1,0,hierarchical,1357,0.013565878149422401,-0.060309062210672115,0.5453205600589536,-3.218576233513614,-5.419245621620183
1,0,multi_task,1357,0.013039802942814748,0.020332487488175954,0.5490051584377302,2.158078626653362,-1.5107634786629063
1,1,global,3504,0.011264761308057617,0.026244685823521463,0.586472602739726,3.2821474553207146,
1,1,regional,3504,0.011286745620174352,0.022440214614048992,0.5585045662100456,3.0661610685742455,-0.9357495719451995
1,1,per_world,3504,0.011357303573754054,0.010179778483742408,0.5642123287671232,1.196074744332726,-3.717736338081237
1,1,hierarchical,3504,0.01164342656606395,-0.040321251307358974,0.5639269406392694,-3.6231834291889875,-8.253123878609628
1,1,multi_task,3504,0.011273912473632946,0.024661942011456328,0.5736301369863014,3.1593671271099386,-1.0671723452663717
1,2,global,3702,0.010415664279156621,0.03869671466401692,0.5840086439762291,4.485435210650553,
1,2,regional,3702,0.01044012950493033,0.034175423953855755,0.5780659103187467,4.2555555863480246,-1.4169215012667635
1,2,per_world,3702,0.010651900050112864,-0.005404085397010094,0.5526742301458671,-0.5309990920380432,-5.710427756924198
1,2,hierarchical,3702,0.010629786949094996,-0.0012340265694221753,0.5648298217179902,-0.11054879126931433,-6.181061359246981
1,2,multi_task,3702,0.010413312227642638,0.03913082611291341,0.5799567801188547,4.457062771944468,0.32110695388767935
1,3,global,5977,0.011576154715001329,0.022317616638527493,0.5683453237410072,3.9701152742132044,
1,3,regional,5977,0.011602830598012797,0.017806517523364263,0.5606491550945291,3.5211221042196748,-1.8981230662165522
1,3,per_world,5977,0.011794968648553165,-0.01499225080349098,0.5469298979421114,-2.3065888203786633,-9.880220563357996
1,3,hierarchical,5977,0.011620067115071044,0.014886166424165848,0.5547933746026434,2.4723714779329895,-3.643861515605017
1,3,multi_task,5977,0.011586258929885244,0.020610137007036844,0.5653337794880374,3.634400728389408,-1.6967342162689958
1,4,global,7125,0.012064979555729372,0.0231984215892721,0.5584561403508772,4.0254830862952895,
1,4,regional,7125,0.012084179443907567,0.020087035667276654,0.5504561403508772,3.36612941908552,-1.3106903323822765
1,4,per_world,7125,0.012214607640504143,-0.0011801125133481527,0.543438596491228,-0.18824749932823692,-4.66355649257346
1,4,hierarchical,7125,0.0125091093039795,-0.05004025027041381,0.5411929824561403,-6.240085929173652,-13.378865737419675
1,4,multi_task,7125,0.012065631911024867,0.023092787111117064,0.5541052631578948,3.943801448318183,-0.1170360076139749
1,5,global,7049,0.012205990226910877,0.025332050197493627,0.5504326854873032,4.706736485838645,
1,5,regional,7049,0.012225119536578089,0.02227464399666934,0.5515675982408852,4.319499979576686,-1.5423803396088727
1,5,per_world,7049,0.01237438817748425,-0.001747161389149765,0.5331252659951766,-0.26278807941093896,-5.158292038512453
1,5,hierarchical,7049,0.012354710785601523,0.0014362039032532747,0.544616257625195,0.19121943750530676,-5.619096731793514
1,5,multi_task,7049,0.012208797743414462,0.024883629216508885,0.5498652291105122,4.6370981755624685,-0.5098267897674709
7,0,global,1357,0.020061671809625113,0.02782319544020495,0.5460574797347089,1.8357651525231498,
7,0,regional,1357,0.020057471779930225,0.028230214762275607,0.5504789977892409,1.631874978714255,0.047495337305323224
7,0,per_world,1357,0.020586918453603165,-0.023749494798239068,0.5534266764922623,-1.259514848844559,-2.8893399015936496
7,0,hierarchical,1357,0.02134323107566638,-0.10035125892689423,0.5372144436256449,-3.5021486450496018,-5.35402731667054
7,0,multi_task,1357,0.020025300171058403,0.03134509633767202,0.552689756816507,2.0246341342166425,1.5950357991084905
7,1,global,3504,0.017472939902471372,0.08938370119474626,0.6087328767123288,11.407698540285296,
7,1,regional,3504,0.017618914410473543,0.07410498756967421,0.583904109589041,8.643477867571406,-2.8745028940462714
7,1,per_world,3504,0.017552255093361016,0.08109778782108501,0.6027397260273972,8.952368388997767,-1.486142267481002
7,1,hierarchical,3504,0.022251145781913867,-0.4767541879689472,0.5910388127853882,-16.120240424625475,-19.900339514264427
7,1,multi_task,3504,0.017477733453549544,0.08888399312876416,0.6061643835616438,11.60052919973109,-0.36327895175579716
7,2,global,3702,0.01804122011734373,0.05311936860461863,0.5856293895191789,4.352193645091753,
7,2,regional,3702,0.017997321773295466,0.05772170937209742,0.5783360345759049,5.021637878730164,1.1594672682945062
7,2,per_world,3702,0.018936937243853477,-0.043236809780554,0.5588870880605078,-2.7678463177063257,-8.339820727858347
7,2,hierarchical,3702,0.01899021196879213,-0.04911488093409089,0.575634792004322,-2.861039639551736,-9.398993181469676
7,2,multi_task,3702,0.018036786140338597,0.053584739682000504,0.5850891410048622,4.351127350745111,0.3441011768292514
7,3,global,5977,0.01950584218585866,0.04782769860656666,0.5686799397691149,6.461798131749314,
7,3,regional,5977,0.019614313386821198,0.037208269911865544,0.5658357035301991,5.263990228634272,-3.56680268119109
7,3,per_world,5977,0.020184990551688414,-0.01963147274643462,0.5486029780826501,-2.1834323230550354,-12.963518381168466
7,3,hierarchical,5977,0.019834730881724324,0.015447779456667865,0.5656683955161452,1.807864135851706,-8.023244349390392
7,3,multi_task,5977,0.019516366712538875,0.04679991767895886,0.5700184038815459,6.4217685738487,-1.1124783925213375
7,4,global,7125,0.019988545678681455,0.05414872030661122,0.5820350877192982,5.840084824544226,
7,4,regional,7125,0.02010350508155896,0.04323775354799786,0.5797894736842105,5.354313122844234,-2.3066776099922843
7,4,per_world,7125,0.020886745120033273,-0.03276615226627033,0.5447017543859649,-2.8074595428317655,-11.006706628497682
7,4,hierarchical,7125,0.02406599107020708,-0.3710963169289081,0.5548070175438596,-16.799814837326643,-22.013144495364653
7,4,multi_task,7125,0.0200091733713967,0.05219552199346866,0.5800701754385965,5.497189492399339,-1.8583585220351497
7,5,global,6683,0.019013299261816143,0.06871469081138759,0.5871614544366303,8.131371127263643,
7,5,regional,6683,0.01922584286391628,0.047777232413031556,0.5808768517133024,5.240867048044472,-4.858672871326949
7,5,per_world,6683,0.020026702120796457,-0.03320538403242601,0.5457130031423013,-2.1069715530359994,-7.7918728151046155
7,5,hierarchical,6683,0.021054659945304494,-0.14199511814181465,0.5620230435433189,-7.230430198313797,-12.92155263137931
7,5,multi_task,6683,0.01902456000540189,0.06761124522708128,0.5920993565763879,7.721263812805489,-0.9342667330458262
30,0,global,1357,0.02555726666885486,0.05878773193156428,0.5666912306558585,2.653444037789553,
30,0,regional,1357,0.02634915201903543,-0.00044232423131895793,0.522476050110538,-0.02622626892608739,-4.178326957382442
30,0,per_world,1357,0.027782331551180726,-0.11223395650819312,0.5755342667649226,-2.099470501353707,-4.344406379800583
30,0,hierarchical,1357,0.027054208001668172,-0.054698721840602094,0.582903463522476,-0.9401401418258565,-2.743410609619854
30,0,multi_task,1357,0.025484328764934276,0.06415231889221462,0.5740604274134119,2.8332656956752356,2.409318227957591
30,1,global,3504,0.02179753281816583,0.03216961416721298,0.5579337899543378,4.604192753775903,
30,1,regional,3504,0.023754203964124098,-0.1493850262240568,0.5031392694063926,-10.961514019295855,-14.737691773961343
30,1,per_world,3504,0.022768240715708245,-0.05595040534333262,0.5248287671232876,-5.500074771221659,-10.602069482968279
30,1,hierarchical,3504,0.024830664517061715,-0.2559179199242745,0.5348173515981736,-12.058105622729126,-14.436985105094871
30,1,multi_task,3504,0.021676195918257066,0.04291456316858422,0.567351598173516,6.290952435621338,5.979056137687721
30,2,global,3702,0.022314114732447238,0.16663882495453086,0.6612641815235009,9.846654115351988,
30,2,regional,3702,0.02370258683286629,0.05970217290087487,0.5726634251755808,4.082579209710474,-14.314488921248543
30,2,per_world,3702,0.02259262687110145,0.14570591466011262,0.6353322528363047,7.601472938076117,-3.6056374787046543
30,2,hierarchical,3702,0.023218409322312533,0.09772512014246693,0.6366828741220961,5.724814031890859,-8.148622584399199
30,2,multi_task,3702,0.022563556789600876,0.1479029519091114,0.6482982171799028,9.569704834120502,-7.136588520611425
30,3,global,5977,0.025433731781628142,0.0155647815428972,0.5350510289442865,1.2718149119279256,
30,3,regional,5977,0.025254261421947734,0.029408883811739894,0.5472645139702191,2.7070261982730934,2.740989875675119
30,3,per_world,5977,0.026431910141739862,-0.06322227507187028,0.5275221683118622,-4.193533711233589,-8.817225704873549
30,3,hierarchical,5977,0.026850416286461586,-0.09715759798430446,0.535552952986448,-7.110373799837505,-16.075437362011943
30,3,multi_task,5977,0.025341352918575286,0.022703006621074828,0.5378952651832023,1.9180123001593294,4.6495428507114624
30,4,global,7125,0.025127246684714395,0.07321519786460284,0.5747368421052632,9.40953924158513,
30,4,regional,7125,0.025685130473755466,0.03160475371794458,0.5709473684210526,3.7266184081427753,-6.372521662743695
30,4,per_world,7125,0.026130815352702143,-0.002293741993959042,0.5553684210526316,-0.28366605982360943,-15.583608535503311
30,4,hierarchical,7125,0.026113504877005166,-0.0009662338871361253,0.5696842105263158,-0.11306653581473054,-19.782982679117413
30,4,multi_task,7125,0.025297681381239646,0.0606000485417888,0.5723508771929825,7.331020924754673,-6.381258546036836
30,5,global,5280,0.023283747170350002,0.03387782386823457,0.5876893939393939,2.174463981879577,
30,5,regional,5280,0.02408908024146003,-0.034110000085248116,0.5732954545454545,-1.9608474246026917,-5.032750628230986
30,5,per_world,5280,0.025858594370008557,-0.19161545874361519,0.5479166666666667,-10.099221667202098,-12.00850291309356
30,5,hierarchical,5280,0.02549013964036583,-0.15789913792033095,0.5742424242424242,-6.556114042406317,-9.928788796647495
30,5,multi_task,5280,0.023317470913325988,0.03107717062690396,0.5827651515151515,2.0647672603395226,-1.0875052302305117
