horizon,scope,rmse,r2_oos,dir_acc,dm_z_vs_rw,dm_p_vs_rw,dm_z_vs_global,dm_p_vs_global,folds,folds_better_than_global
1,multi_task,0.011756949737138917,0.02556555332062782,0.5655031721698592,9.0466340477931,0.0,0.9640824012023208,0.3350046151964865,6,4
1,global,0.011759571912013841,0.02510535510670538,0.5635539572120664,8.926500516589488,0.0,,,6,0
1,regional,0.011784032306214965,0.02119285792854192,0.55904680871175,7.940210423598319,1.9984014443252818e-15,-2.4717691097270063,0.013444631833047005,6,0
1,per_world,0.011945423339860614,-0.005828506222826084,0.5449535433365756,-1.318442070131281,0.18735570538831015,-13.055840149090352,0.0,6,0
1,hierarchical,0.01204771015405303,-0.022745681271507518,0.5504854995408973,-4.303306782038631,1.6826759763333143e-05,-16.789085574684258,0.0,6,0
7,multi_task,0.019002952091139457,0.056471273983738524,0.5814533620363989,14.971708814497918,0.0,0.09562191603176236,0.9238208584816776,6,3
7,global,0.019004165251602798,0.05634542220012623,0.5826141583880151,15.296567820969612,0.0,,,6,0
7,regional,0.019075868276511247,0.04930134791339419,0.5731983192264091,12.889847489512642,0.0,-4.131924688336679,3.597382963294038e-05,6,2
7,per_world,0.01970385659079172,-0.014273465857375989,0.5592183213823541,-1.1498510929885188,0.2502052072342642,-18.35614388941867,0.0,6,0
7,hierarchical,0.021201705793681126,-0.1827645447773433,0.5652456849594313,-18.04476675178372,0.0,-31.562629683190337,0.0,6,0
30,multi_task,0.023870668255670777,0.06402667508377048,0.5815202701786762,12.685888590261849,0.0,1.3923238890342953,0.16382434063749107,6,4
30,global,0.023882941535207355,0.06274928475518754,0.581062821478099,11.947657669373179,0.0,,,6,0
30,regional,0.024706409986208423,-0.006382711880557261,0.5480028569737472,-0.2203914510299095,0.8255663028334563,-16.388860084195183,0.0,6,1
30,per_world,0.025289370136402468,-0.053596694994941595,0.5631883999080435,-6.702897658071522,2.0432766589806306e-11,-23.57740014518671,0.0,6,0
30,hierarchical,0.025461183985280713,-0.07071307119755556,0.5733777597365529,-8.140547812724709,4.440892098500626e-16,-28.2531621304648,0.0,6,0
