a,b,r2_with,gain,gain_second_split,replicates
ret_ew14,is_merge_dest,0.013737342017879461,0.02333057876533684,-0.0015677242112434042,False
rel_premium,is_merge_dest,0.007537716078894752,0.01713095282635213,-0.0003038362372346226,False
ret_ew7,ret_lag1,0.006508027264701455,0.016101264012158834,-0.0034693022935334827,False
ret_ew3,ret_lag1,0.005454475526778468,0.015047712274235847,-0.005931000546402609,False
ret_sd30,ret_lag1,0.005361580986723902,0.01495481773418128,-0.004468327051792231,False
dist_ma90,ret_ew7,0.004893511250799509,0.014486747998256888,-0.0030823216262106934,False
ret_ew14,ret_lag1,0.004865826415806129,0.014459063163263508,-0.003683174464241712,False
idx_activity,turnover_7,0.004533252750391514,0.014126489497848893,-0.0034210883551851756,False
ret_ew7,idx_activity,0.004422395747516794,0.014015632494974173,-0.0014204170640294,False
is_merge_dest,idx_activity,0.004370313436311446,0.013963550183768825,-0.00327952320130509,False
ret_lag1,is_merge_dest,0.0034522474320537455,0.013045484179511124,,False
ret_ew7,is_merge_dest,0.002817449454367682,0.01241068620182506,,False
ret_mean30,ret_lag1,0.0027551591850345503,0.012348395932491929,,False
ret_sd30,ret_ew7,0.0026261455257218236,0.012219382273179202,,False
ret_ew3,log_age,0.0024918152484055822,0.012085051995862961,,False
ret_ew3,w_log_guilds,0.00225256403652363,0.011845800783981009,,False
rel_premium,idx_activity,0.0021572333861574755,0.011750470133614854,,False
premium_x_disp,idx_activity,0.001578399792959484,0.011171636540416863,,False
rel_premium,ret_ew14,0.0013986466855987478,0.010991883433056127,,False
is_merge_dest,log_age,0.0013256815471268668,0.010918918294584246,,False
ret_ew3,ret_sd30,0.0007596556968518797,0.010352892444309258,,False
ret_sd30,idx_activity,0.0004981506414349912,0.01009138738889237,,False
is_merge_dest,premium_x_disp,0.00027237329956786294,0.009865610047025242,,False
ret_lag1,idx_activity,-7.54058142056202e-05,0.009517830933251759,,False
ret_ew14,ret_ew7,-0.0002634619549104489,0.00932977479254693,,False
ret_ew14,premium_x_disp,-0.00027248616655994873,0.00932075058089743,,False
is_merge_dest,w_log_guilds,-0.00029178565195886463,0.009301451095498514,,False
ret_ew14,idx_activity,-0.00047859162526320276,0.009114645122194176,,False
rel_premium,log_age,-0.0006779820373603584,0.00891525471009702,,False
ret_mean30,premium_x_disp,-0.0007671133742368497,0.008826123373220529,,False
premium_x_disp,log_age,-0.0008591571400844433,0.008734079607372935,,False
w_log_guilds,turnover_7,-0.0008602222442970486,0.00873301450316033,,False
ret_ew3,ret_ew14,-0.0008954203652484782,0.0086978163822089,,False
ret_sd30,turnover_7,-0.000962846779740012,0.008630389967717367,,False
ret_sd30,ret_mean30,-0.001212697509231253,0.008380539238226126,,False
ret_ew3,premium_x_disp,-0.0018362077007583189,0.00775702904669906,,False
ret_lag1,turnover_7,-0.0019399013421610434,0.007653335405296335,,False
