bucket,median,size
0,1485.75,36
10,4114.5,78
20,6849.5,79
30,9096.0,76
40,10040.5,80
50,10207.25,80
60,12042.5,77
70,11179.5,55
80,11361.0,72
90,11836.0,96
100,13138.0,139
110,13112.5,139
120,15250.5,139
130,15289.5,139
140,18172.0,139
150,19933.5,139
160,18664.0,114
170,18313.0,110
180,19301.5,109
190,19316.0,119
200,18652.0,139
210,18491.0,137
220,19004.0,137
230,20119.5,139
240,20748.5,139
250,22752.5,149
260,23357.0,148
270,21633.75,118
280,20912.75,120
290,20647.0,117
300,21374.5,119
310,21979.0,120
320,24581.0,140
330,22477.5,135
340,27697.75,118
350,27154.0,117
360,29220.0,118
370,28494.0,119
380,26502.0,118
390,25957.25,120
400,28157.25,12
