feature,best_lag,best_p,p_lag_adjusted,bh_threshold,survives_bh,survives_bh_uncorrected_lags
turnover_7,7,2.1801556232488237e-13,1.3082868122182845e-12,0.004545454545454546,True,True
deaths_pp,5,9.374050765203969e-09,5.624430321482521e-08,0.009090909090909092,True,True
log_players_online_avg,5,5.285089729090144e-05,0.00031706348843763,0.013636363636363636,True,True
g30_monsters_killed,2,9.922833428355337e-05,0.0005952223313056004,0.018181818181818184,True,True
log_monsters_killed,2,0.0005475221470724386,0.0032806394562930885,0.022727272727272728,True,True
boss_share,14,0.0010460912885078527,0.006260156003233708,0.02727272727272727,True,True
log_kills_pp,3,0.006501190789230158,0.038378631303456756,0.03181818181818182,False,True
log_boss_kills,5,0.013861914987538677,0.0803419209266657,0.03636363636363637,False,True
log_players_killed,5,0.025592817954608858,0.14406091512739905,0.040909090909090916,False,True
g7_monsters_killed,1,0.0655053629837378,0.33402047083281483,0.045454545454545456,False,False
xw_disp,14,0.09390921969989809,0.4466113236007333,0.05,False,False
