world,side,amount,price,value,fee_uncapped,fee_actual,eff_rate_pct,dec
Aethera,buyers,25,38000,950000,19000.0,19000.0,2.0,0
Aethera,buyers,175,37500,6562500,131250.0,131250.0,2.0,3
Aethera,buyers,350,36300,12705000,254100.0,254100.0,2.0,5
Aethera,buyers,5925,36001,213305925,4266118.5,1000000.0,0.46881023112695996,7
Aethera,buyers,375,35504,13314000,266280.0,266280.0,2.0,5
Aethera,buyers,175,35010,6126750,122535.0,122535.0,2.0,3
Aethera,buyers,50,33034,1651700,33034.0,33034.0,2.0,0
Aethera,buyers,25,33001,825025,16500.5,16500.5,2.0,0
Aethera,buyers,25,33000,825000,16500.0,16500.0,2.0,0
Aethera,buyers,25,32503,812575,16251.5,16251.5,2.0,0
Aethera,buyers,200,31000,6200000,124000.0,124000.0,2.0,3
Aethera,buyers,100,30515,3051500,61030.0,61030.0,2.0,2
Aethera,buyers,4600,29029,133533400,2670668.0,1000000.0,0.7488763110952017,7
Aethera,buyers,500,29000,14500000,290000.0,290000.0,2.0,5
Antica,sellers,75,41990,3149250,62985.0,62985.0,2.0,1
Antica,sellers,925,41994,38844450,776889.0,776889.0,2.0,5
Antica,sellers,38550,41995,1618907250,32378145.0,1000000.0,0.0617700612558255,8
Antica,sellers,25,56000,1400000,28000.0,28000.0,2.0,0
Antica,buyers,50,39309,1965450,39309.0,39309.0,2.0,0
Antica,buyers,31525,39308,1239184700,24783694.0,1000000.0,0.080698220370216,8
Antica,buyers,49175,39307,1932921725,38658434.5,1000000.0,0.051735152389577495,8
Antica,buyers,50875,39305,1999641875,39992837.5,1000000.0,0.05000895472845607,8
Antica,buyers,22850,39150,894577500,17891550.0,1000000.0,0.1117846134068876,8
Antica,buyers,24875,38812,965448500,19308970.0,1000000.0,0.10357880301227874,8
Antica,buyers,2000,38520,77040000,1540800.0,1000000.0,1.2980269989615785,6
Antica,buyers,125,38517,4814625,96292.5,96292.5,2.0,3
Antica,buyers,50,37400,1870000,37400.0,37400.0,2.0,0
Antica,buyers,64000,37201,2380864000,47617280.0,1000000.0,0.04200155909787371,8
Antica,buyers,20000,37200,744000000,14880000.0,1000000.0,0.13440860215053765,8
Antica,buyers,125,37153,4644125,92882.5,92882.5,2.0,3
Antica,buyers,62350,37134,2315304900,46306098.0,1000000.0,0.04319085577022706,8
Antica,buyers,25,36601,915025,18300.5,18300.5,2.0,0
