horizon,target,fold,model,n_test,rmse,mae,r2_oos,dir_acc,dm_t_vs_rw,dm_p_vs_rw
1,ret,0,RandomWalk,1357,0.014219041035356664,0.008808769831635161,0.0,0.002210759027266028,,
1,ret,0,Naive,1357,0.02155593841296915,0.012850090533495577,-1.2982287493410203,0.5173176123802505,-4.716397753465032,2.4005691869888324e-06
1,ret,0,MovingAvg,1357,0.014230310279801529,0.008824662783487158,-0.0015857201782139008,0.46204863669859986,-2.2197291291938788,0.026437160267557047
1,ret,0,Ridge,1357,0.015402737777289907,0.010735718264987187,-0.1734247079521667,0.5327929255711128,-5.019979275452557,5.167705459108163e-07
1,ret,0,ElasticNet,1357,0.014842121275820672,0.010080165069792363,-0.08956046582217381,0.5305821665438467,-3.5139260207799503,0.00044153576315486553
1,ret,0,RandomForest,1357,0.014006439855765747,0.008719194668413014,0.029680171400605082,0.5556374355195284,2.950883640728139,0.0031686626373554905
1,ret,0,XGBoost,1357,0.014138188324337893,0.008981053801070515,0.011340123055933682,0.5490051584377302,0.7638622418790785,0.44494934051787505
1,ret,0,LightGBM,1357,0.014217818641366666,0.00920699650464392,0.00017193022273165326,0.5512159174649963,0.007298730062078497,0.9941765076743694
1,ret,1,RandomWalk,3504,0.011660350980760039,0.007048688325500529,0.0,0.0025684931506849314,,
1,ret,1,Naive,3504,,,,0.5211187214611872,-8.29676263076582,0.0
1,ret,1,MovingAvg,3504,0.011668580043740617,0.007059267829379271,-0.0014119586526510908,0.4834474885844749,-2.45871217355513,0.013943635668717258
1,ret,1,Ridge,3504,0.08085655658434471,0.049064684659354645,-47.084736262242515,0.5154109589041096,-36.92238997370987,0.0
1,ret,1,ElasticNet,3504,0.011694505514130244,0.0074901662737299505,-0.005866813913302682,0.550513698630137,-0.4882269985059129,0.625389063046373
1,ret,1,RandomForest,3504,0.011495601699168384,0.007010464611000072,0.028058402233672508,0.5759132420091324,3.7607988591692285,0.0001693715840405119
1,ret,1,XGBoost,3504,0.012300048420847781,0.007962697943714533,-0.1127315348076483,0.5493721461187214,-6.881231681581031,5.933697977411612e-12
1,ret,1,LightGBM,3504,0.011777790928518569,0.007471870978762302,-0.0202449068440822,0.5570776255707762,-1.6180126937193953,0.10565986208485101
1,ret,2,RandomWalk,3702,0.011094261341411917,0.007522009692422813,0.0,0.0018908698001080498,,
1,ret,2,Naive,3702,0.0161802755282654,0.011084232549201276,-1.1270369844140444,0.5180983252296056,-15.23771678129761,0.0
1,ret,2,MovingAvg,3702,0.011093746130640512,0.007523585810928151,9.287663099200039e-05,0.4921663965424095,0.41020520802487714,0.6816554207970764
1,ret,2,Ridge,3702,0.011208690400320822,0.007922026038731168,-0.02073489720689059,0.5491626148028093,-1.7265490646210513,0.08424868036246935
1,ret,2,ElasticNet,3702,0.010950693343238697,0.007598337393087181,0.025714025551304975,0.55537547271745,2.588657404437704,0.009635090066318908
1,ret,2,RandomForest,3702,0.011008190694386896,0.0077358212338595736,0.015456058054160726,0.5648298217179902,1.4531760789608035,0.14617487202785018
1,ret,2,XGBoost,3702,0.014084414177034201,0.01065882754089903,-0.6116873283963908,0.5229605618584549,-17.823808697011778,0.0
1,ret,2,LightGBM,3702,0.012200598352916564,0.009205599913204562,-0.2093875022909759,0.5167477039438142,-10.93481315750708,0.0
1,ret,3,RandomWalk,5977,0.01201624551195958,0.007549023339887043,0.0,0.006023088505939435,,
1,ret,3,Naive,5977,,,,0.4984105738664882,-12.89790712355326,0.0
1,ret,3,MovingAvg,5977,0.012024413993397995,0.007559513769371098,-0.0013600351028064672,0.4505604818470805,-6.308777157455349,2.8124880202540226e-10
1,ret,3,Ridge,5977,0.012316648122035884,0.008088436539290651,-0.05062439816222408,0.5285260163961853,-4.136583619905529,3.5251493059718086e-05
1,ret,3,ElasticNet,5977,0.011957573009752368,0.00766204114331061,0.00974168847179735,0.5486029780826501,1.0356645181462092,0.3003586810627339
1,ret,3,RandomForest,5977,0.011808575587170658,0.007458276763531034,0.03426617808201782,0.5735318721766772,6.345852424554795,2.211972827126374e-10
1,ret,3,XGBoost,5977,0.011893299568395856,0.007626261964051721,0.02035860101111675,0.5566337627572361,2.852898672200558,0.004332243296606864
1,ret,3,LightGBM,5977,0.011907759473247093,0.007661981719471769,0.017975051757140537,0.5591433829680442,2.4040531068591546,0.01621441757412989
1,ret,4,RandomWalk,7125,0.01256383099448136,0.007803906914051536,0.0,0.0035087719298245615,,
1,ret,4,Naive,7125,0.019070256634345736,0.01190700596547043,-1.3039280037933163,0.49571929824561406,-17.58329696238002,0.0
1,ret,4,MovingAvg,7125,0.012581200727016307,0.007818291299738427,-0.002766948955849946,0.4870175438596491,-5.268044330272484,1.3788481401100228e-07
1,ret,4,Ridge,7125,0.01256628045191513,0.007998947841094199,-0.0003899600701757766,0.543438596491228,-0.043742402195829255,0.965109739481159
1,ret,4,ElasticNet,7125,0.012487080756777635,0.007912852722422281,0.012180331122540133,0.5396491228070175,1.681901742515484,0.0925878947459664
1,ret,4,RandomForest,7125,0.012434149054448129,0.007920984002990428,0.02053715328141248,0.5479298245614035,3.0715975070511257,0.00212916610533731
1,ret,4,XGBoost,7125,0.01252650716625452,0.007982716289151185,0.005932647234490829,0.5451228070175439,0.6968830295861005,0.4858759989713324
1,ret,4,LightGBM,7125,0.012466135078456696,0.00792202833754292,0.015491465307431729,0.543578947368421,2.0893728203738244,0.03667417590090394
1,ret,5,RandomWalk,6897,0.012678527081558769,0.007603309877177883,0.0,0.0037697549659272147,,
1,ret,5,Naive,6897,0.019518703027410544,0.011731510703067993,-1.3700871059003377,0.49079309844860086,-13.815193862881397,0.0
1,ret,5,MovingAvg,6897,0.012678443263055686,0.007603146779268827,1.3222076267860317e-05,0.526750761200522,2.258307404954975,0.023926500952737406
1,ret,5,Ridge,6897,0.012747524239637991,0.008015704769821273,-0.010913712700410416,0.5138465999710019,-1.4381194866932958,0.15040015445784527
1,ret,5,ElasticNet,6897,0.012584206112119871,0.007718328525751553,0.014823507790459045,0.5331303465274757,2.2880936088344357,0.02213207036296705
1,ret,5,RandomForest,6897,0.012667035097818295,0.007887277386211988,0.0018120047264098549,0.5164564303320284,0.29850072797402655,0.7653210205845711
1,ret,5,XGBoost,6897,0.012704928228796031,0.007995664713268595,-0.004169038769057165,0.5184862983906046,-0.5229423834267454,0.6010143489623088
1,ret,5,LightGBM,6897,0.012795155009299439,0.00811590383157156,-0.018482328217530375,0.5213861099028563,-2.2659028276547692,0.023457333459189877
1,rel,0,RandomWalk,1357,0.013174424752523475,0.00871957593965687,0.0,0.0,,
1,rel,0,Naive,1357,0.02099742818490596,0.01323954343860595,-1.5402057020825106,0.4885777450257922,-5.381975356508811,7.367285292936288e-08
1,rel,0,MovingAvg,1357,0.013174424752523475,0.00871957593965687,0.0,0.505526897568165,1.1221973144069046,0.2617785542682778
1,rel,0,Ridge,1357,0.013297474463183965,0.009065648651432988,-0.018767325003760993,0.5327929255711128,-1.0562934847904049,0.2908341516407287
1,rel,0,ElasticNet,1357,0.013169919680002353,0.008888929206195934,0.000683794903781676,0.5408990420044215,0.04956193832716103,0.9604714781502297
1,rel,0,RandomForest,1357,0.013037068811364202,0.008621496656030151,0.020743206688942695,0.552689756816507,2.2070175954295124,0.02731283009263863
1,rel,0,XGBoost,1357,0.0130981116873516,0.008802218184561254,0.011551478607774945,0.5401621223286662,0.8235888685461686,0.4101732029946308
1,rel,0,LightGBM,1357,0.013200822815565857,0.008919343724878289,-0.004011486028005828,0.5232129697862933,-0.2074413315083455,0.8356652066580692
1,rel,1,RandomWalk,3504,0.011415556211220288,0.007061061285132231,0.0,0.0,,
1,rel,1,Naive,3504,,,,0.509417808219178,-8.463881134025705,0.0
