id,name,npc_buy_max,npc_sell_max
281,giant shimmering pearl,3000.0,
282,giant shimmering pearl,3000.0,
283,empty potion flask,5.0,
284,empty potion flask,5.0,
285,empty potion flask,5.0,
645,blue legs,15000.0,
647,seeds,150.0,
651,spellwand,299.0,299.0
675,small enchanted sapphire,250.0,
676,small enchanted ruby,250.0,
677,small enchanted emerald,250.0,
678,small enchanted amethyst,200.0,
811,terra mantle,11000.0,
812,terra legs,11000.0,
813,terra boots,2500.0,
814,terra amulet,1500.0,
815,glacier amulet,1500.0,
816,lightning pendant,1500.0,
817,magma amulet,1500.0,
818,magma boots,2500.0,
819,glacier shoes,2500.0,
820,lightning boots,2500.0,
821,magma legs,11000.0,
822,lightning legs,11000.0,
823,glacier kilt,11000.0,
824,glacier robe,11000.0,
825,lightning robe,11000.0,
826,magma coat,11000.0,
827,magma monocle,2500.0,
828,lightning headband,2500.0,
829,glacier mask,2500.0,
830,terra hood,2500.0,
836,walnut,80.0,
901,marlin,800.0,
902,marlin trophy,5000.0,
940,natural soil,2000.0,
941,glimmering soil,2000.0,
942,flawless ice crystal,5000.0,
944,iced soil,2000.0,
945,energy soil,2000.0,
946,eternal flames,5000.0,
947,mother soil,5000.0,
948,pure energy,5000.0,
953,nail,10.0,
954,neutral matter,5000.0,
2848,purple tome,2000.0,
2852,red tome,2000.0,
2874,vial,5.0,50.0
2903,golden mug,250.0,
2906,watch,6.0,20.0
2933,small oil lamp,150.0,
2953,panpipes,150.0,
2958,war horn,8000.0,
2991,doll,200.0,
2994,model ship,1000.0,
3002,voodoo doll,400.0,
3003,rope,15.0,100.0
3004,wedding ring,100.0,990.0
3006,ring of the sky,30000.0,
3007,crystal ring,250.0,
3008,crystal necklace,400.0,
3010,emerald bangle,800.0,
3012,wolf tooth chain,100.0,
3013,golden amulet,2000.0,6600.0
3014,star amulet,500.0,
3016,ruby necklace,2000.0,3560.0
3017,silver brooch,150.0,
3018,scarab amulet,200.0,
3019,demonbone amulet,32000.0,
3025,ancient amulet,200.0,
3026,white pearl,160.0,320.0
3027,black pearl,280.0,560.0
3028,small diamond,300.0,600.0
3029,small sapphire,250.0,500.0
3030,small ruby,250.0,500.0
3032,small emerald,250.0,500.0
3033,small amethyst,200.0,400.0
3034,talon,320.0,
3036,violet gem,10000.0,
3037,yellow gem,1000.0,
3038,green gem,5000.0,
3039,red gem,1000.0,
3040,gold nugget,850.0,
3041,blue gem,5000.0,
3042,scarab coin,100.0,
3044,tusk,100.0,
3045,strange talisman,30.0,100.0
3046,magic light wand,35.0,120.0
3048,might ring,250.0,25000.0
3049,stealth ring,200.0,5000.0
3050,power ring,50.0,100.0
3051,energy ring,100.0,2000.0
3052,life ring,50.0,1000.0
3053,time ring,100.0,2000.0
3054,silver amulet,50.0,100.0
3055,platinum amulet,2500.0,
3056,bronze amulet,50.0,100.0
3057,amulet of loss,45000.0,50000.0
3058,strange symbol,200.0,
3059,spellbook,30.0,150.0
3060,orb,750.0,
3061,life crystal,85.0,
3062,mind stone,170.0,
3063,gold ring,8000.0,
3065,terra rod,2000.0,10000.0
3066,snakebite rod,100.0,500.0
3067,hailstorm rod,3000.0,15000.0
3068,crystal wand,10000.0,
3069,necrotic rod,1000.0,5000.0
3070,moonlight rod,200.0,1000.0
3071,wand of inferno,3000.0,15000.0
3072,wand of decay,1000.0,5000.0
3073,wand of cosmic energy,2000.0,10000.0
3074,wand of vortex,100.0,500.0
3075,wand of dragonbreath,200.0,1000.0
3076,crystal ball,190.0,650.0
3077,ankh,100.0,
3078,mysterious fetish,50.0,
3079,boots of haste,30000.0,
3080,broken amulet,50000.0,
3081,stone skin amulet,500.0,25000.0
3082,elven amulet,100.0,500.0
3083,garlic necklace,50.0,100.0
3084,protection amulet,100.0,700.0
3085,dragon necklace,100.0,1000.0
3091,sword ring,100.0,500.0
3092,axe ring,100.0,500.0
3093,club ring,100.0,500.0
3097,dwarven ring,100.0,2000.0
3098,ring of healing,100.0,2000.0
3249,frozen starlight,20000.0,
3264,sword,25.0,85.0
3265,two handed sword,450.0,950.0
3266,battle axe,80.0,235.0
3267,dagger,2.0,5.0
3268,hand axe,5.0,8.0
3269,halberd,400.0,
3270,club,1.0,5.0
3271,spike sword,1000.0,8000.0
3272,rapier,5.0,15.0
3273,sabre,12.0,35.0
3274,axe,7.0,20.0
3275,double axe,260.0,
3276,hatchet,25.0,
3277,spear,3.0,10.0
3278,magic longsword,460.0,
3279,war hammer,1200.0,10000.0
3280,fire sword,4000.0,
3281,giant sword,17000.0,
3282,morning star,100.0,430.0
3283,carlin sword,118.0,473.0
3284,ice rapier,1000.0,5000.0
3285,longsword,51.0,160.0
3286,mace,30.0,90.0
3287,throwing star,2.0,42.0
3288,magic sword,350.0,
3289,staff,1.0,335.0
3290,silver dagger,500.0,
3291,knife,1.0,
3292,combat knife,1.0,
3293,sickle,3.0,8.0
3294,short sword,10.0,30.0
3295,bright sword,6000.0,
3296,warlord sword,360.0,
3297,serpent sword,900.0,6000.0
3298,throwing knife,2.0,25.0
3299,poison dagger,50.0,
3300,katana,35.0,
3301,broadsword,500.0,
3302,dragon lance,9000.0,
3303,great axe,300.0,
3304,crowbar,50.0,260.0
3305,battle hammer,120.0,350.0
3306,golden sickle,1000.0,
3307,scimitar,150.0,
3308,machete,6.0,35.0
3309,thunder hammer,450.0,
3310,iron hammer,9.0,
3311,clerical mace,170.0,540.0
3312,silver mace,270.0,
