world,update_time,best_bid,best_ask,mid,quoted_spread_pct,bid_depth_tc,ask_depth_tc,n_buy_orders,n_sell_orders,date
Aethera,1785007296.1422925,38000,,,,12550,,14,0,2026-07-25
Aethera,1785698485.1699643,38703,43896.0,41299.5,12.574002106563034,75125,3000.0,21,9,2026-08-02
Antica,1785370885.6802742,39309,41990.0,40649.5,6.59540707757783,676125,39575.0,37,4,2026-07-30
Antica,1785802884.5674727,39902,40199.0,40050.5,0.7415637757331369,782350,236250.0,36,11,2026-08-04
Astera,1785383488.3781066,42010,43776.0,42893.0,4.1172219243233155,157800,36400.0,26,3,2026-07-30
Astera,1785727319.980316,42111,46000.0,44055.5,8.82750167402481,276025,19050.0,27,1,2026-08-03
Belobra,1785306089.2189891,43033,43795.0,43414.0,1.7551941769935964,848450,37600.0,55,5,2026-07-29
Belobra,1785651690.3326292,43777,44954.0,44365.5,2.6529623243285885,842350,61175.0,56,10,2026-08-02
Blumera,1785424849.6713114,38650,40649.0,39649.5,5.041677700853731,268075,30475.0,34,4,2026-07-30
Bona,1785241312.2772555,42400,43998.0,43199.0,3.699159702770898,378975,20975.0,26,2,2026-07-28
Bona,1785673305.274373,42229,43626.0,42927.5,3.2543241511851373,322950,80275.0,38,13,2026-08-02
Bravoria,1784917269.4047148,37151,38788.0,37969.5,4.311355166646914,58825,49650.0,22,11,2026-07-24
Bravoria,1785608483.5636024,38600,40100.0,39350.0,3.8119440914866582,35950,27850.0,19,3,2026-08-01
Calmera,1785158489.3882978,41570,42459.0,42014.5,2.115936164895453,472225,43250.0,31,8,2026-07-27
Calmera,1785591113.47212,43300,44219.0,43759.5,2.10011540351238,519000,31625.0,36,8,2026-08-01
Cantabra,1785338483.564314,39601,42996.0,41298.5,8.220637553422037,427100,8575.0,50,3,2026-07-29
Cantabra,1785338483.5643141,39601,42996.0,41298.5,8.220637553422037,427100,8575.0,50,3,2026-07-29
Celebra,1785151287.9257765,43176,44456.0,43816.0,2.921307285010042,308250,106825.0,42,7,2026-07-27
Celebra,1785498805.1891077,43463,44431.0,43947.0,2.2026531958950555,344975,43775.0,34,9,2026-07-31
Celesta,1785316927.2854416,42612,43498.0,43055.0,2.0578330042968296,115425,16575.0,17,5,2026-07-29
Celesta,1785662514.3335035,42301,44333.0,43317.0,4.690998914975645,164825,25750.0,30,14,2026-08-02
Citra,1785428481.9020915,37050,37876.0,37463.0,2.204842110882738,25425,8675.0,35,20,2026-07-30
Collabra,1785068476.1963542,39212,40000.0,39606.0,1.98959753572691,382250,142425.0,56,8,2026-07-26
Descubra,1785410495.715321,39903,40350.0,40126.5,1.113977047587006,648575,59700.0,61,9,2026-07-30
Descubra,1785756091.7334151,40701,41995.0,41348.0,3.1295346812421396,465450,59475.0,56,3,2026-08-03
Dia,1785244981.9811385,36010,37996.0,37003.0,5.367132394670702,139225,90275.0,20,23,2026-07-28
Dia,1785676986.2991543,37420,39302.0,38361.0,4.906024347644744,213900,65275.0,34,18,2026-08-02
Dracobra,1785076256.0853035,37020,39835.0,38427.5,7.325483052501464,23425,5150.0,142,11,2026-07-26
Dracobra,1785594333.446584,39012,41465.0,40238.5,6.096151695515489,22250,5625.0,122,31,2026-08-01
Eclipta,1784831225.6618807,34630,39996.0,37313.0,14.381046820143114,10600,23125.0,19,8,2026-07-23
Eclipta,1785522480.7993193,36122,38500.0,37311.0,6.373455549301814,16575,20725.0,27,6,2026-07-31
Epoca,1784827278.100923,38007,40698.0,39352.5,6.838193253287593,36125,5300.0,33,20,2026-07-23
Epoca,1785518475.1083994,36002,39300.0,37651.0,8.759395500783512,26625,12675.0,14,13,2026-07-31
Escura,1785181444.5394506,17014,26996.0,22005.0,45.36241763235628,5875,825.0,29,3,2026-07-27
Etebra,1785252099.528272,38906,40249.0,39577.5,3.3933421767418355,111225,53900.0,25,13,2026-07-28
Ferobra,1785219692.7381525,39307,40765.0,40036.0,3.641722449795184,304225,127200.0,65,15,2026-07-28
Ferobra,1785565264.1439457,39752,40741.0,40246.5,2.457356540320276,235275,119725.0,59,15,2026-08-01
Firmera,1784913665.092155,37205,39986.0,38595.5,7.205503232242101,80150,7125.0,40,5,2026-07-24
Firmera,1785604881.337021,38500,41800.0,40150.0,8.21917808219178,19200,19050.0,43,11,2026-08-01
Floribra,1785289983.3669543,16200,17988.0,17094.0,10.45981045981046,5200,3175.0,44,33,2026-07-29
