world,n_sell_orders,n_buy_orders,update_time,best_ask,ask_depth_tc,anon_sell,best_bid,bid_depth_tc,anon_buy,buy_orders_below_2000,buy_depth_below_2000,mid,quoted_spread_pct,order_count_ratio,depth_ratio
Aethera,9,21,1785698485.1699643,43896,3000,1.0,38703,75125,0.8571428571428571,1,63250,41299.5,12.574002106563034,2.3333333333333335,25.041666666666668
Antica,11,36,1785802884.5674727,40199,236250,0.8181818181818182,39902,782350,0.7777777777777778,18,277025,40050.5,0.7415637757331369,3.272727272727273,3.3115343915343916
Astera,1,27,1785727319.980316,46000,19050,1.0,42111,276025,0.7407407407407407,6,62200,44055.5,8.82750167402481,27.0,14.489501312335959
Belobra,10,56,1785651690.3326292,44954,61175,1.0,43777,842350,0.8035714285714286,23,558100,44365.5,2.6529623243285885,5.6,13.76951369023294
Blumera,4,34,1785424849.6713114,40649,30475,0.75,38650,268075,0.9117647058823529,6,47675,39649.5,5.041677700853731,8.5,8.796554552912223
Bona,13,38,1785673305.274373,43626,80275,1.0,42229,322950,0.9473684210526315,7,144675,42927.5,3.2543241511851373,2.923076923076923,4.023045780130801
Bravoria,3,19,1785608483.5636024,40100,27850,1.0,38600,35950,1.0,1,425,39350.0,3.8119440914866582,6.333333333333333,1.2908438061041292
Calmera,8,36,1785591113.47212,44219,31625,0.875,43300,519000,0.9166666666666666,9,300325,43759.5,2.10011540351238,4.5,16.41106719367589
Cantabra,3,50,1785338483.5643141,42996,8575,1.0,39601,427100,0.84,3,111250,41298.5,8.220637553422037,16.666666666666668,49.80758017492711
Celebra,9,34,1785498805.1891077,44431,43775,1.0,43463,344975,0.9705882352941176,2,54375,43947.0,2.2026531958950555,3.7777777777777777,7.880639634494575
Celesta,14,30,1785662514.3335035,44333,25750,1.0,42301,164825,0.9666666666666667,2,58675,43317.0,4.690998914975645,2.142857142857143,6.400970873786408
Citra,20,35,1785428481.9020915,37876,8675,1.0,37050,25425,1.0,1,25,37463.0,2.204842110882738,1.75,2.930835734870317
Collabra,8,56,1785068476.1963542,40000,142425,1.0,39212,382250,0.7678571428571429,2,47775,39606.0,1.98959753572691,7.0,2.683868702826049
Descubra,3,56,1785756091.7334151,41995,59475,0.6666666666666666,40701,465450,0.75,10,312325,41348.0,3.1295346812421396,18.666666666666668,7.825977301387137
Dia,18,34,1785676986.2991543,39302,65275,0.8888888888888888,37420,213900,0.9117647058823529,5,41725,38361.0,4.906024347644744,1.8888888888888888,3.276905400229797
Dracobra,31,122,1785594333.446584,41465,5625,1.0,39012,22250,0.9672131147540983,0,0,40238.5,6.096151695515489,3.935483870967742,3.9555555555555557
Eclipta,6,27,1785522480.7993193,38500,20725,0.3333333333333333,36122,16575,1.0,2,5825,37311.0,6.373455549301814,4.5,0.7997587454764777
Epoca,13,14,1785518475.1083994,39300,12675,1.0,36002,26625,0.9285714285714286,2,22850,37651.0,8.759395500783512,1.0769230769230769,2.100591715976331
Escura,3,29,1785181444.5394506,26996,825,1.0,17014,5875,0.9310344827586207,0,0,22005.0,45.36241763235628,9.666666666666666,7.121212121212121
