a,b,slope,r2_oos,mean_abs_gap,n_test
Antica,Astera,-0.11958657177476682,0.016370538154602987,0.12048389089599607,326
Antica,Belobra,-0.07748806379554707,-0.039789705631110506,0.1369814795517069,325
Antica,Calmera,-0.09620292369927887,0.015530940038135599,0.12330060214669473,323
Antica,Gladera,-0.10654771803440598,0.03223258162982079,0.1169290380025274,317
Antica,Harmonia,-0.11026715524969626,0.021160020115855938,0.11378303792089721,326
Antica,Inabra,-0.22589512943372544,0.04773243827014817,0.016791040967249857,323
Antica,Lobera,-0.610216716862171,0.18990657164890146,0.01282888058197804,324
Antica,Nefera,-0.09709504109978045,0.004427423322105772,0.12709148767309808,326
Antica,Peloria,-0.5086424952970815,0.10305353308046494,0.014294116707582126,315
Antica,Secura,-0.07011166456265733,-0.002724909286083932,0.13099973488424982,325
Antica,Vunira,-0.4938076587242477,0.05960364119633066,0.013159457087697661,323
Astera,Belobra,-0.4667597976067271,-0.15233682652182678,0.016785184957508838,325
Astera,Calmera,-0.5194277971990977,0.06909984014344428,0.016852924590772245,323
Astera,Gladera,-0.553471415795234,0.07620825568895018,0.021048877263170514,317
Astera,Harmonia,-0.5967531098758435,-0.017609083905095968,0.017335592137501302,326
Astera,Inabra,-0.14253065628323083,0.03886126412515867,0.10722221455855736,323
Astera,Lobera,-0.1614649509624749,0.035299553996246735,0.12355788292221946,324
Astera,Nefera,-0.57429628224011,0.11590274854013705,0.014013826829704989,326
Astera,Peloria,-0.14673299027301773,0.037204521249352474,0.12158664421429446,315
Astera,Secura,-0.5335765012509317,0.013568395861034754,0.013325082763939266,325
Astera,Vunira,-0.12335767309660532,0.024320211881394327,0.11954813360871387,323
Belobra,Calmera,-0.5073524880848533,-0.07127787486724735,0.019328767212204688,323
Belobra,Gladera,-0.37198264069409354,0.08368777328473254,0.02421960503603673,317
Belobra,Harmonia,-0.38800595025124457,0.06454373853125028,0.02069271567714561,325
Belobra,Inabra,-0.05881828786389744,-0.0011894673571331005,0.12380091849964038,322
Belobra,Lobera,-0.10514319391648573,-0.04532221620762322,0.1401363929688506,324
Belobra,Nefera,-0.4106741691352796,-0.08470976324939783,0.015879192789259006,325
Belobra,Peloria,-0.09107493110049224,-0.023359200820517678,0.1387366221850645,315
Belobra,Secura,-0.3616493688260627,-0.1268619959526145,0.013058337777977597,325
Belobra,Vunira,-0.0923879846780167,-0.057680994661754914,0.13612770579494765,323
Calmera,Gladera,-0.5475049539378318,0.09222706691229243,0.020616311747348025,317
Calmera,Harmonia,-0.6593725085074249,-0.03489889903627952,0.017484444998034532,323
Calmera,Inabra,-0.10383092478758998,0.03672520188930095,0.11037294272006304,320
Calmera,Lobera,-0.1291114472103103,0.019801080095862678,0.12639393558505324,323
Calmera,Nefera,-0.6470219046500156,0.06657655411210839,0.016408919120094692,323
Calmera,Peloria,-0.12357958857158835,0.03239244511347694,0.1249459032616142,314
Calmera,Secura,-0.5476192984310536,0.1320534597596532,0.016053917720426882,323
Calmera,Vunira,-0.10608713424394745,0.031902924751832096,0.12218221888664402,323
Gladera,Harmonia,-0.6055880633413006,0.06139375790666224,0.019099906087680873,317
Gladera,Inabra,-0.10546867749063704,0.028449816001976602,0.10436314061957408,314
Gladera,Lobera,-0.12781031000527843,0.041413685072700934,0.11995345823507887,317
Gladera,Nefera,-0.5935802377528642,0.12358069325213439,0.019643278097889804,317
Gladera,Peloria,-0.11914292957146334,0.03139943670950596,0.11881786077185409,308
Gladera,Secura,-0.4639211014008642,0.12220809387522269,0.020398754835253746,317
Gladera,Vunira,-0.09681811613035625,0.026317784620342843,0.11560199849480844,317
Harmonia,Inabra,-0.10281552473290237,0.03698166307326245,0.10050700698666683,323
Harmonia,Lobera,-0.12584785408958446,0.035271385839566016,0.1166798049600874,324
Harmonia,Nefera,-0.5372164353152502,0.05723344787126794,0.01653380393703216,326
Harmonia,Peloria,-0.12864275673919878,0.027347793761411276,0.11496112896489787,315
Harmonia,Secura,-0.5651967373687908,-0.1389091375813627,0.017115063973912457,325
Harmonia,Vunira,-0.10912765132409495,0.01966166029987393,0.112800167024117,323
Inabra,Lobera,-0.48749695671060567,0.19696610781833768,0.019610216572613616,321
Inabra,Nefera,-0.08472669528350898,0.03458663929982375,0.11442516885849201,323
Inabra,Peloria,-0.4069006857596658,0.07442474348701744,0.018986993453593247,312
Inabra,Secura,-0.06852136145085432,0.02733677894808062,0.11826278240527158,322
Inabra,Vunira,-0.4582949057131483,0.027891905881237578,0.017203891024105234,320
Lobera,Nefera,-0.13246946162847595,0.024860864055228915,0.13024557998671402,324
Lobera,Peloria,-0.5628229524857452,0.24027724335287715,0.01520850846982551,315
Lobera,Secura,-0.10642551352298359,0.025396387002129872,0.1341290154689587,324
Lobera,Vunira,-0.6623676509406183,0.2999849269810412,0.014425648212878792,323
Nefera,Peloria,-0.13035352410442305,0.019695122454436498,0.1288223894379552,315
Nefera,Secura,-0.6089778700956725,0.16698888630646191,0.012232803882383918,325
Nefera,Vunira,-0.1182744856954017,0.002967120787102928,0.1260664670392924,323
Peloria,Secura,-0.09664136244601762,0.013466327338537032,0.13265478852366067,315
Peloria,Vunira,-0.6216859412640551,0.2364566182781278,0.013214831842897956,314
Secura,Vunira,-0.07645104526740062,0.01722922079751399,0.12995753901628748,323
