world,adf_stat,adf_p,n
Antica,-1.4046730485383925,0.5800337611549373,834
Astera,-2.659459673969908,0.08132004282665611,779
Belobra,-2.5529637478993523,0.10311350518450108,808
Blumera,-2.3020439104571673,0.17130961708992587,266
Bona,-3.0664592721700883,0.029136996519980893,570
Calmera,-2.9788811209804353,0.03691426150775671,831
Celebra,-2.911444070495968,0.044033300778914646,327
Celesta,-4.120641938137912,0.0008951696227921894,576
Citra,-2.429945536608379,0.13346223854255385,259
Collabra,-0.24673071715161105,0.9327173461538132,333
Descubra,-1.4193568079235055,0.5729618503322093,576
Eclipta,-4.887671036767013,3.685354731144805e-05,259
Epoca,-3.2008480051393944,0.01993564579465607,322
Ferobra,-3.209826248671645,0.01942289654025256,334
Firmera,-3.8936895198773946,0.002081782736768145,324
Gentebra,-2.9584579120140244,0.03896026884923249,573
Gladera,-2.9506227979624984,0.03977003308877488,805
Gladibra,-3.1252781189021963,0.02473817687631632,325
Harmonia,-2.980583844854495,0.03674784078751078,779
Havera,-1.9374442136713168,0.31465628657200584,321
Honbra,-2.8056865070199484,0.05746607088911026,575
Inabra,-1.7899999482709783,0.3854376220928457,829
Issobra,-1.1025090265125144,0.7140702978655205,332
Jadebra,-3.11452235597389,0.02549696972341123,328
Kalanta,-4.005837813432112,0.0013802493555265978,264
Kalibra,-2.911515755748048,0.04402516642196029,329
Karmeya,-1.0706159566899045,0.7266465771766168,571
Lobera,-1.4455198524334367,0.5602694303323256,832
Luminera,-2.8220017685750607,0.055199050351556034,329
Lutabra,-2.8981142116125835,0.045567728880591206,311
Menera,-3.6882238432223207,0.0042818787022749745,328
Monstera,-4.093234646480285,0.0009937657863804909,258
Monza,-2.5496543991330065,0.10385539021387136,572
Nefera,-2.635940194768663,0.08579430506379221,834
Nevia,-2.0420777832210764,0.26843348557661734,574
Ombra,-6.536392571056452,9.585089415092942e-09,327
Ourobra,-1.6441594076000077,0.46008821796725163,561
Pacera,-2.2105976015732094,0.202421647504536,574
Peloria,-1.3940789639973368,0.5851114226747521,830
Quelibra,-3.3042347523283113,0.014690238881633969,329
Quidera,-2.3137929757500295,0.16755804352668446,574
Quintera,-4.464019570880284,0.00022826880407581578,330
Rasteibra,-2.642164184287701,0.08459208914737065,575
Refugia,-2.9273717855389827,0.042256365200636754,576
Retalia,-3.387777504759579,0.011382659726665464,322
Secura,-2.6797430196341914,0.07760968433593946,833
Serdebra,-1.7453779101529259,0.4078969695758471,576
Solidera,-1.3823760647213865,0.5906954865462738,576
Sombra,-3.326827266816953,0.013721062813229176,259
Talera,-4.383882231226315,0.0003169472858849125,574
Tempestera,-4.362893521943176,0.00034508088604083656,260
Terribra,-8.397776328746705,2.2743308161008957e-13,263
Thyria,-3.690590773546111,0.00424746686460078,573
Ustebra,-1.3828076344496028,0.5904900405917676,557
Venebra,-1.4613639959893905,0.5525301592261743,333
Vunira,-1.6280445896537403,0.46851441800921484,831
Wintera,-1.707535096456087,0.4272344100159038,563
Xyla,-2.6313315907137063,0.08669300550530162,575
Xymera,-6.056267070276328,1.243036384173585e-07,265
Yonabra,-3.022758711380267,0.03282299459114843,329
Yovera,-2.3073580518237478,0.16960583428952247,334
