world,status,year_max,year_min,all_max,all_min,d24_max,d24_min,month_max,month_min,week_max,week_min,region,snapshot_online,created,daily_avg_all,n_days_pop,pop_first_date,daily_avg_year,daily_avg_90d,bias_factor
Aethera,ok,54,9,256,9,78,0,90,0,91,0,North America,38,2024-10-16,32.6687306501548,646,2024-10-22,21.049586776859503,27.366666666666667,0.5539364941278816
Antica,ok,1024,336,1024,183,904,0,1150,0,904,0,Europe,738,1997-01-09,430.800339640951,4122,2014-12-17,496.60941828254846,492.8333333333333,0.6729124908977622
Astera,ok,478,185,517,37,448,0,608,39,458,0,North America,305,2005-01-25,230.2629028349891,4127,2014-12-17,276.8374655647383,282.5111111111111,0.9076638215237322
Belobra,ok,464,168,767,109,567,0,628,0,576,0,South America,330,2016-12-13,284.48805361305364,3432,2016-12-19,258.73553719008265,281.55555555555554,0.7840470823941899
Blumera,ok,274,88,274,88,197,0,306,0,220,0,North America,161,2025-11-06,136.85130111524163,269,2025-11-07,136.85130111524163,134.96666666666667,0.8500080814611282
Bona,ok,617,147,617,95,495,0,773,60,517,0,Europe,436,2005-05-24,228.75560081466395,2946,2018-04-24,262.0771349862259,264.81111111111113,0.6010943462986832
Bravoria,ok,90,21,311,21,94,0,123,8,105,0,Europe,83,2024-10-16,50.328173374613,646,2024-10-22,34.91184573002755,40.63333333333333,0.42062464734972954
Calmera,ok,306,111,511,40,337,0,374,0,337,0,North America,206,2003-04-17,181.1708262660528,4127,2014-12-17,161.45730027548208,172.1,0.7837733023081654
Cantabra,ok,181,18,521,18,203,0,232,0,203,0,South America,81,2024-10-16,92.23839009287926,646,2024-10-22,62.78512396694215,76.42222222222222,0.7751249872461994
Celebra,ok,296,102,574,62,404,0,421,0,404,0,South America,222,2018-10-29,185.65458499456324,2759,2018-10-30,165.5840220385675,178.98888888888888,0.7458739731467005
Celesta,ok,626,141,626,56,504,0,707,54,537,0,Europe,422,2004-11-24,179.22219529924885,4127,2014-12-17,243.0853994490358,241.38888888888889,0.5760317522489
Citra,ok,132,41,132,41,123,0,163,13,127,0,Europe,103,2025-11-06,59.60223048327138,269,2025-11-07,59.60223048327138,59.455555555555556,0.5786624318764212
Collabra,ok,320,91,378,75,412,0,420,0,412,0,South America,194,2019-09-25,158.03628792385484,1681,2021-12-08,154.12396694214877,169.9111111111111,0.7944534378461277
Descubra,ok,391,123,589,90,487,0,509,0,487,0,South America,236,2017-12-12,214.9059856864021,3074,2017-12-14,184.90358126721762,201.3,0.783489751132278
Dia,ok,428,86,766,66,377,31,562,22,388,26,Europe,324,2023-02-08,157.95348837209303,1247,2023-02-13,163.6611570247934,179.36666666666667,0.5051270278543006
Dracobra,ok,714,70,714,70,193,0,194,0,193,0,South America,118,2025-10-29,155.35740072202165,277,2025-10-30,155.35740072202165,95.76666666666667,1.316588141712048
Eclipta,ok,68,14,68,14,46,0,91,2,56,0,Europe,33,2025-11-06,28.617100371747213,269,2025-11-07,28.617100371747213,24.655555555555555,0.8671848597499155
Epoca,ok,94,16,187,13,92,0,117,0,92,0,Europe,55,2014-10-15,42.304141208418194,2946,2018-04-24,33.650137741046834,34.82222222222222,0.6118206862008515
Escura,ok,211,2,211,2,6,0,12,0,8,0,Europe,7,2025-08-27,19.01769911504425,339,2025-08-29,19.01769911504425,3.888888888888889,2.7168141592920354
