specification,window,horizon,coef,se,t,p,n,n_worlds,r2_within
cumulative 30d,30,30,0.019147749767841026,0.012376113989844352,1.547153636719359,0.12182620276800504,36446,93,0.003137191601756961
acceleration 30d,30,30,0.0009449638226327455,0.021242943246706024,0.04448365801566945,0.9645188780963294,35051,93,1.3321128863319487e-06
cumulative 30d,30,90,0.02560289827407034,0.030054418300857852,0.8518846719232476,0.39427810508619165,31106,85,0.002453643247821047
acceleration 30d,30,90,-0.07583413644177685,0.026919004984168292,-2.817122567731486,0.0048456029938366285,29831,85,0.004397952748739442
cumulative 30d,30,180,-0.002677522733844123,0.029330460819671552,-0.0912881236440835,0.9272636545440063,23540,81,2.3546919161510083e-05
acceleration 30d,30,180,-0.1123133794953855,0.032794531284770105,-3.4247594063813995,0.0006153440865983573,22325,81,0.01252960563322103
cumulative 30d,30,365,0.07354615843641993,0.02994970669340988,2.455655382181188,0.014062794297904135,11570,35,0.01754539359714835
acceleration 30d,30,365,-0.028418289650407196,0.024105619852711015,-1.1789072350782617,0.23843511644043258,11045,35,0.0011608330532185684
cumulative 90d,90,90,0.04514795577202053,0.029362179858420354,1.537622751093979,0.12414088135784218,28556,85,0.008616419491971339
acceleration 90d,90,90,-0.11342692209750396,0.028297097317128934,-4.008429586480725,6.112385763556993e-05,24755,81,0.025195229617615333
cumulative 90d,90,180,-0.00041639379769358754,0.023890667717967433,-0.01742914022367113,0.9860942621467834,21110,81,6.350112717878886e-07
acceleration 90d,90,180,-0.030500904178110896,0.043212043353919115,-0.7058426728007209,0.4802859814041267,17543,72,0.0016159116282888908
cumulative 90d,90,365,0.05041802113845571,0.024131183508451295,2.089330642270329,0.036677969876847794,10520,35,0.011516626766252647
acceleration 90d,90,365,-0.04231943202354789,0.039260968486089974,-1.077900868353299,0.2810779978792779,8945,35,0.0055066533907357496
cumulative 180d,180,90,0.012636572432195363,0.02008077034202251,0.6292872343523164,0.5291610272068374,24755,81,0.0008186347545762196
acceleration 180d,180,90,0.14709673786447833,0.03678975011279648,3.9983076105024717,6.379700590830595e-05,17543,72,0.0637159769387633
cumulative 180d,180,180,-0.11332140323802434,0.02391703548370392,-4.738104072941518,2.157270201585959e-06,17543,72,0.05000889286854482
acceleration 180d,180,180,0.1786420819343706,0.036510125037701374,4.892946319682548,9.933750795276808e-07,12270,35,0.088860735860266
cumulative 180d,180,365,0.031848698313883435,0.034313845424332134,0.9281588210250359,0.3533251914148543,8945,35,0.006421722692805609
acceleration 180d,180,365,-0.019587039332079347,0.04952760060506582,-0.39547725092250746,0.6924907073242703,5795,35,0.0016738882705015223
cumulative 365d,365,365,-0.0038853869107286308,0.033384225134787324,-0.11638391770489068,0.9073482805863897,5725,35,0.00013066760954172363
acceleration 365d,365,365,-0.03712024434143166,0.08839162753227782,-0.41995204045628104,0.6745204897115828,2510,14,0.010900194318038459
