series,window,horizon,coef,t_pooled,p_pooled,n,t_honest,independent_windows,mean_slope
direct_coin_gp,30,30,-9.40443202184086e-06,-0.044582073820256696,0.9644404314706594,36366,,,
direct_coin_gp,30,90,0.0002744910479836829,0.48852126828387266,0.625180664787268,31026,,,
direct_coin_gp,30,180,-0.00010610538508518016,-0.16406697954715282,0.8696784160305029,23460,,,
direct_coin_gp,30,365,0.0,,,11536,,,
direct_coin_gp,90,90,-3.809202558450115e-06,-0.0069998252060514314,0.9944149931484216,28476,,,
direct_coin_gp,90,180,-0.00027483151557294627,-0.4219138694744535,0.6730878861665202,21030,,,
direct_coin_gp,90,365,0.0,,,10486,,,
direct_coin_gp,180,90,-0.0013015193893047986,-2.9683027484115945,0.0029944922900351223,24675,-14.539304455920687,12.0,-0.05166285220313201
direct_coin_gp,180,180,-0.0020733716970760454,-3.3466937052658543,0.0008178151916409249,17472,-74.70979531870742,5.0,-0.10547718470511078
direct_coin_gp,180,365,0.0,,,8911,,,
direct_coin_gp,365,365,0.0,,,5691,,,
potential_total_gp_max,30,30,-1.2260234098141972e-07,-0.0006162914961562011,0.9995082705613907,36366,,,
potential_total_gp_max,30,90,0.0002840763999428485,0.5314623299556755,0.5950984387604494,31026,,,
potential_total_gp_max,30,180,-6.681093363529281e-05,-0.10991003644670842,0.9124807228373255,23460,,,
potential_total_gp_max,30,365,0.0,,,11536,,,
potential_total_gp_max,90,90,1.6189485509831127e-05,0.031307700059689254,0.9750241496599721,28476,,,
potential_total_gp_max,90,180,-0.00022221384938033386,-0.3640538667176684,0.7158177853882766,21030,,,
potential_total_gp_max,90,365,0.0,,,10486,,,
potential_total_gp_max,180,90,-0.00120636222228024,-2.897705190440719,0.0037590375413705246,24675,-14.197500511731665,12.0,-0.0665288840598592
potential_total_gp_max,180,180,-0.0019089560631511385,-3.2591513465284745,0.0011174603759513957,17472,-60.413335626500064,5.0,-0.13819441798694831
potential_total_gp_max,180,365,0.0,,,8911,,,
potential_total_gp_max,365,365,0.0,,,5691,,,
realized_estimate_gp_50,30,30,-1.0840541560148e-06,-0.005344495789221128,0.9957357296250249,36366,,,
realized_estimate_gp_50,30,90,0.0002864490035397662,0.5261209798939265,0.5988041526592225,31026,,,
realized_estimate_gp_50,30,180,-7.242629577286693e-05,-0.1167372607678044,0.9070682623051025,23460,,,
realized_estimate_gp_50,30,365,0.0,,,11536,,,
realized_estimate_gp_50,90,90,1.4153610371861147e-05,0.0268681687386998,0.978564882013925,28476,,,
realized_estimate_gp_50,90,180,-0.00023120603034589555,-0.37097730956390945,0.71065443208631,21030,,,
realized_estimate_gp_50,90,365,0.0,,,10486,,,
realized_estimate_gp_50,180,90,-0.001231796007561808,-2.9043187052796315,0.003680532916495949,24675,-14.08939080625523,12.0,-0.06434801713987674
realized_estimate_gp_50,180,180,-0.0019522689889718687,-3.2687969947759425,0.0010800576155105546,17472,-62.55302310632159,5.0,-0.13368479653238835
realized_estimate_gp_50,180,365,0.0,,,8911,,,
realized_estimate_gp_50,365,365,0.0,,,5691,,,
