horizon,activity,coef,se,t,p,n
30,below median,-0.0021847665203957177,0.01020777602912778,-0.2140296293885671,0.8305239515988079,19660
30,50-90th pct,0.006401666075496775,0.007839035448727584,0.8166395109918632,0.4141344685680992,14667
30,top decile,-0.05738844580086906,0.025018631703944215,-2.29382831483233,0.02180036232828675,3142
90,below median,-0.006885279071587203,0.019747532169951332,-0.34866529206439933,0.7273406038898149,18098
90,50-90th pct,0.018591885759156154,0.01329177541018573,1.3987511213068535,0.16188762838552684,11801
90,top decile,-0.04232767159434863,0.04644328418333296,-0.911384118040875,0.36209301877478706,2143
180,below median,0.0002544029000765653,0.018799973553455477,0.013532088189017983,0.9892032852706396,15599
180,50-90th pct,0.03774240050967105,0.019415904643458312,1.94389090813687,0.0519086078765949,7301
180,top decile,-0.04893874970184407,0.0627272587366856,-0.7801831402720392,0.43528308466472154,1534
365,below median,0.001054786366838559,0.012572183811682906,0.08389842072292815,0.9331371952156897,9503
365,50-90th pct,-0.0035732751904862525,0.015017311057184726,-0.23794374218390396,0.8119247282749427,2068
