world,gamma1,n,roll_spread_pct,ac1
Antica,-1.672781660452912e-05,1255,0.8179930709860351,-0.15142679703937253
Astera,-6.066682768173092e-05,786,1.5577782599809373,-0.27302542456279405
Belobra,-6.307872321318524e-05,861,1.5884422962536,-0.28950640780552084
Blumera,-4.001244708606087e-05,265,1.2651078544702956,-0.25902221130792197
Bona,6.000815772907004e-06,566,,0.07245205441602909
Calmera,-1.2489919405579905e-05,842,0.7068216014124046,-0.09952020653004169
Celebra,-7.109539608556202e-05,326,1.68636171784777,-0.31156229351879117
Celesta,-4.357018389215367e-06,575,0.4174694426764846,-0.053014876252633604
Citra,2.6015670595451128e-05,258,,0.14259933045898388
Collabra,-1.1180998914225724e-05,332,0.6687600141822393,-0.12733184689243907
Descubra,-4.125598183222757e-05,572,1.284616391491679,-0.2735848689808326
Eclipta,2.2441307348727405e-06,258,,0.020157483426794194
Epoca,-5.687639074200066e-05,321,1.5083287538464638,-0.15997423306618605
Ferobra,-8.143740677926416e-05,331,1.8048535317777357,-0.32347229286436624
Firmera,2.7560268159272738e-05,323,,0.12389537303180928
Gentebra,-3.284305311619706e-05,572,1.1461771785583075,-0.28256141417303593
Gladera,-4.2109692795771305e-05,856,1.2978396325551367,-0.15507827740443425
Gladibra,8.282085691654959e-06,324,,0.0475868609562198
Harmonia,-2.4194897612738113e-06,790,0.311094182605449,-0.02005996486368818
Havera,-1.2773276658309503e-05,320,0.7147944224267423,-0.12468492509271226
Honbra,-1.6607201772550144e-05,574,0.8150386928864211,-0.15041348690166967
Inabra,-0.00013900650752131063,878,2.3580204199396633,-0.3771079273414914
Issobra,-3.3455079489319645e-05,329,1.156807321714721,-0.1854249913608852
Jadebra,-2.4236650665842538e-05,327,0.9846146589573515,-0.21451167691595427
Kalanta,1.0002374885589333e-06,263,,0.0055311275941625675
Kalibra,-7.073957672167831e-05,328,1.682136459645035,-0.29493176612376715
Karmeya,-2.4664057071717976e-06,570,0.3140958902737696,-0.03418394314022887
Lobera,-3.0488217035987617e-06,900,0.34921750835825865,-0.023205774380645763
Luminera,-7.622642394028915e-05,328,1.7461549065336572,-0.3106414717950765
Lutabra,-0.00015203738513469372,306,2.466068816028407,-0.35767340707397777
Menera,-9.609709057188669e-05,327,1.960582470307094,-0.3479461035624314
Monstera,-7.077011363682166e-06,257,0.5320530561394105,-0.06901704811278135
Monza,4.741802123427219e-06,571,,0.06514555332294077
Nefera,3.6574155720415267e-06,928,,0.04159049380220501
Nevia,1.000651868805399e-06,573,,0.011100278138574124
Ombra,-4.842929883944663e-06,326,0.4401331563945013,-0.06368199647249988
Ourobra,-5.7061528069884025e-06,557,0.4777510986691042,-0.07652891296557422
Pacera,-1.4420886007649757e-05,567,0.7594968336378962,-0.09019722654935051
Peloria,-4.9228636631190004e-06,872,0.4437505453796761,-0.030578140333354296
Quelibra,-5.663490054438924e-06,328,0.4759617654576436,-0.07101414550588717
Quidera,-1.7656623482818273e-05,573,0.8403957040065894,-0.11221987231983895
Quintera,-5.859551086148776e-06,329,0.4841301926609732,-0.0861230903401458
Rasteibra,-4.953409473467371e-05,574,1.4076092459865943,-0.26866941647281095
Refugia,7.0433773316631195e-06,575,,0.08721566057303637
Retalia,-0.00015059103848506872,315,2.4543108074167685,-0.33562456292447884
Secura,-8.10438094215874e-06,907,0.5693638886391985,-0.121989387505633
Serdebra,-1.3391373320300349e-05,575,0.7318845078371409,-0.14724528437244822
Solidera,3.0604544937276523e-06,575,,0.030875245324916024
Sombra,1.6181905927858473e-05,258,,0.03811649953050948
Talera,3.657435705915213e-07,573,,0.0029779709542771746
Tempestera,3.4596355559094735e-06,259,,0.006085668994577558
Terribra,-0.0001359311590325085,260,2.331790376792121,-0.25282450829852954
Thyria,-1.758733233677889e-05,572,0.8387450706091546,-0.13721009541004603
Ustebra,-5.603875741933727e-06,553,0.47345013430914673,-0.053850669817344904
Venebra,-2.9678323908447918e-05,332,1.0895563116874303,-0.24621007561284267
Vunira,1.0215570323851364e-05,982,,0.08315118821070643
Wintera,-5.386044649953876e-05,559,1.467793534520966,-0.30308143974414076
Xyla,-5.8558927986097465e-06,574,0.483979040811056,-0.04182097334301389
Xymera,-1.094947499037798e-05,264,0.661799818385529,-0.07681439662835253
Yonabra,-5.6130351556163344e-05,328,1.4984038381713167,-0.3459765668300151
Yovera,3.204123696553381e-06,333,,0.03925023574016637
