start,end,n,coef,se,t
2024-04-06,2024-10-03,2037,-0.16270637002552035,0.022130233593921085,-7.3522210841106475
2024-05-06,2024-11-02,2107,-0.09776608775906195,0.013761500130427998,-7.10431906641426
2024-06-05,2024-12-02,2152,-0.08528529640686952,0.01298195726277159,-6.569525278860877
2024-07-05,2025-01-15,2379,-0.11800723999016188,0.01732704188503396,-6.810582023933891
2024-08-04,2025-02-14,2972,-0.20609331825189364,0.032269827923617565,-6.386563905444892
2024-09-03,2025-03-16,3572,-0.30404983878887204,0.03778291956634679,-8.04728280076294
2024-10-03,2025-04-15,4155,-0.34149159169889653,0.04059523372870989,-8.412110495064985
2024-11-02,2025-05-15,4754,-0.2639609646864919,0.028531964299101372,-9.25141227289442
2024-12-02,2025-06-14,5361,-0.17944776994667797,0.018838645216343583,-9.525513532735197
2025-01-15,2025-07-14,5717,-0.12562675718804459,0.011994841563676509,-10.4733986289969
2025-02-14,2025-08-13,5701,-0.12305331549412644,0.009065366888151547,-13.574002796837421
2025-03-16,2025-09-12,5868,-0.1510323923506906,0.011552703768964882,-13.073337235255972
2025-04-15,2025-10-12,6483,-0.17488040864958118,0.014697842707624231,-11.898372579457885
2025-05-15,2025-11-11,7111,-0.15154465415579066,0.015158644550762703,-9.997243068026537
2025-06-14,2025-12-11,7981,-0.1461321380005537,0.015835711978324445,-9.228011863348865
2025-07-14,2026-01-10,8868,-0.1746018012494007,0.020519435950838046,-8.509093606068138
2025-08-13,2026-02-09,9756,-0.1856920150271515,0.028336435636657633,-6.553118303521904
2025-09-12,2026-03-11,10456,-0.1805487875737222,0.02639005376085187,-6.841546789175395
2025-10-12,2026-04-10,10724,-0.16843453196637467,0.0286221619987294,-5.88475922866525
2025-11-11,2026-05-10,10967,-0.18253325963684247,0.02642047942991072,-6.908779233967871
2025-12-11,2026-06-09,10967,-0.20919030775832068,0.027007822990518928,-7.745544979014293
2026-01-10,2026-07-09,10968,-0.238081113663066,0.02189714298873821,-10.87270215048201
