feature,mean_abs_shap
ret_ew3,0.0020154889695699384
ret_ew7,0.000926426571660641
doy_sin,0.0007631208000205144
ret_lag1,0.0005686340474762976
px_z30,0.0003920232313942978
ret_mean7,0.0003294657430724564
mom7,0.0003140900594184301
rel_premium,0.0002490693127100525
month,0.00023795210788130923
rel_premium_z,0.00023135312087034437
log_kills_pp,0.0001986099073501486
xw_ret,0.00017790278848367448
rel_kills,0.0001686853466244037
dist_ma30,0.00016433914295401427
log_age,0.00014400510837138744
premium_x_disp,0.00014049191697319382
world_age,0.00013726658004415313
doy_cos,0.00011021858264431822
xw_kills,0.00010957085048491685
ret_sd7,0.00010488082534081465
death_ratio,0.00010427977072054002
dist_ma90,0.00010096846812859544
log_players_killed,9.596375811800547e-05
vol_x_breadth,9.433604767603296e-05
ret_skew30,9.350527913211065e-05
mom14,9.100045298481577e-05
breadth_up,8.372699204589911e-05
boss_share,7.938109712674164e-05
days_since_merge,7.84251936833242e-05
days_since_battleye,7.795509265439243e-05
xw_med_logp,7.58667594050298e-05
ret_mean14,7.530434215270005e-05
log_players_online_avg,7.284752584123543e-05
log_boss_kills,7.188356976456045e-05
ob_log_bid_depth,7.077067614011993e-05
ret_ew14,6.9389748762711e-05
turnover_7,6.59129539823419e-05
g30_boss_kills,6.510004741291498e-05
log_races_hunted,6.472029828243403e-05
g30_races_hunted,6.421889493275338e-05
deaths_pp,6.149998763613511e-05
g30_kills_pp,6.039819629607453e-05
log_day_sold,6.0176288832738476e-05
g7_boss_kills,5.7547781187493283e-05
ret_sd30,5.6622391790000996e-05
beta_gap,5.442512624439223e-05
g7_players_online_avg,5.2883912649468235e-05
xw_disp,5.2419302275825797e-05
g30_players_online_avg,4.9405223632388865e-05
ob_log_ask_depth,4.818871389556501e-05
pvp_optional,4.646332590944345e-05
w_pct_lvl100,4.6248299091331564e-05
ob_anon_buy,4.4493322100905724e-05
w_mean_level,4.230396628718015e-05
log_monsters_killed,4.130234802156853e-05
days_to_update,3.994026299094778e-05
pvp_open,3.968234129187374e-05
ret_sd14,3.967091794071754e-05
idx_premium_demand_7,3.775878520585831e-05
g7_players_killed,3.6370117629800166e-05
idx_activity,3.5818749663957805e-05
optional_pvp,3.53248422755665e-05
top10_share,3.4887565742739304e-05
mom30,3.4700905222723355e-05
w_log_population,3.329090924083137e-05
hunt_hhi,3.285971392684333e-05
vol_ew3,3.278065437049139e-05
region_north,3.249795991672449e-05
ret_mean30,3.2402310074961834e-05
kills_x_event,3.1805196625288376e-05
ret_lag2,3.071254274906094e-05
vol_ew14,3.04718720510811e-05
g30_monsters_killed,2.9548722640735204e-05
turnover_imb,2.9186467613589446e-05
log_day_bought,2.80678979226716e-05
post_update_14,2.793588719029131e-05
ob_quoted_spread_pct,2.7363121666150816e-05
ret_lag14,2.7327867677291745e-05
w_engagement,2.6711646864846422e-05
g7_monsters_killed,2.631413461821812e-05
ret_lag3,2.5142461363927454e-05
w_log_guilds,2.4887089971434414e-05
vol_ew7,2.4741037025354576e-05
ret_lag21,2.4088946161255908e-05
idx_inflation_pressure,2.39818213635766e-05
ob_depth_ratio,2.3865312250616666e-05
idx_premium_demand,2.3279595348385118e-05
g7_races_hunted,2.2878566814141166e-05
ret_lag7,2.2599702312442253e-05
g30_players_killed,2.2337253775546618e-05
n_events,2.0796600298584823e-05
w_log_ach_points,2.0757061891623945e-05
w_log_record_online,2.010440482178113e-05
ret_lag5,1.939424919266282e-05
ob_book_imb,1.891389655877857e-05
w_premium_share,1.831988897070542e-05
w_log_activity_year,1.823353438137823e-05
g7_kills_pp,1.758125970952046e-05
ob_oc_ratio,1.7163035838864457e-05
kills_x_pvp,1.6225930132112696e-05
w_log_people_in_guilds,1.5932430419984603e-05
w_log_premium_accounts,1.5917640556783116e-05
region_south,1.5321410070268877e-05
w_log_active_chars,1.4220320121198566e-05
log_active_traders,9.84810889044006e-06
dow_sin,8.252694005652668e-06
dow_cos,6.780342126920424e-06
post_update_30,6.310866974851038e-06
ev_any,5.904574540457619e-06
days_to_event,4.9688463911114086e-06
never_battleye,4.73579833871105e-06
ev_xp_skill,3.3115533295643753e-06
has_active_traders,3.0897918429746002e-06
region_europe,3.003095866068826e-06
pre_update_14,2.699344768922908e-06
never_merged,2.643127556587781e-06
is_weekend,1.9567710975351293e-06
is_merge_dest,1.8085023040091882e-06
pre_update_30,1.3976341384133471e-06
ev_double_reward,6.178492983622587e-07
event_soon,3.990003925492011e-07
ev_exaltation,3.5689715725411087e-07
pre_update_7,1.1736301371530037e-07
xfer_blocked,0.0
xfer_locked,0.0
xfer_regular,0.0
ev_loot,0.0
w_premium_only,0.0
merged_recently,0.0
update_release,0.0
ev_rapid_respawn,0.0
has_day_bought,0.0
pvp_retro,0.0
pvp_hardcore,0.0
has_day_sold,0.0
battleye,0.0
