world,hour_utc,rel,bias_factor
Aethera,0,1.3307518769945477,0.7514548859840512
Aethera,1,1.4090820327555462,0.7096818898786459
Aethera,2,1.4908552722862591,0.670755920168212
Aethera,3,1.5941477853776858,0.6272944134618484
Aethera,4,1.6879718181023982,0.592426952438217
Aethera,5,1.5717677408745434,0.6362263163917542
Aethera,6,1.3273087932248335,0.753404185299185
Aethera,7,0.9743927068291255,1.0262802594799851
Aethera,8,0.5025627087571762,1.9898014368654062
Aethera,9,0.3511945445108509,2.8474246414983897
Aethera,10,0.2840544110014235,3.5204522840343735
Aethera,11,0.2840544110014235,3.5204522840343735
Aethera,12,0.4200562199051353,2.380633716662589
Aethera,13,0.5095763979177051,1.9624142799515933
Aethera,14,0.6197550785485603,1.6135406301824213
Aethera,15,0.7970738926888429,1.2545888269236969
Aethera,16,0.8754040484498414,1.14232964968667
Aethera,17,0.984721958138268,1.0155150819329923
Aethera,18,1.0535836335325526,0.9491415471661301
Aethera,19,1.1344961021208368,0.8814485991891831
Aethera,20,1.2188516544788353,0.8204443882283499
Aethera,21,1.1697877107604078,0.8548559630105542
Aethera,22,1.1729438708826458,0.8525557145777958
Aethera,23,1.2240162801334067,0.8169825975607196
Antica,0,0.6335776853756183,1.5783384154496338
Antica,1,0.4832449155839842,2.0693440691280443
Antica,2,0.3912739612552654,2.55575402153481
Antica,3,0.3659914108472061,2.732304557872478
Antica,4,0.3845369942303633,2.600530027030204
Antica,5,0.43941678179276755,2.2757437618111
Antica,6,0.5737019447385677,1.7430653829414742
Antica,7,0.702158495763947,1.4241798768125737
Antica,8,0.7172528904631034,1.3942083932967317
Antica,9,0.9915452927999074,1.0085267987871924
Antica,10,1.025381520441831,0.9752467545632241
Antica,11,1.046349384103605,0.9557037211396537
Antica,12,1.0930539757256785,0.9148679042460827
Antica,13,1.142407936402489,0.8753440589261484
Antica,14,1.2227216668903662,0.8178476157564187
Antica,15,1.309166794333491,0.763844610425755
Antica,16,1.4145359864533071,0.7069456058925153
Antica,17,1.4950011094585978,0.6688958246740979
Antica,18,1.6149796795088194,0.6192028374648902
Antica,19,1.7094486103748614,0.5849839497548347
Antica,20,1.704074176006681,0.5868289151258632
Antica,21,1.5124112489611536,0.66119582268836
Antica,22,1.1750638631216146,0.851017575626444
Antica,23,0.8488578451376565,1.178053552462407
Astera,0,1.4077488116985282,0.7103540004366572
Astera,1,1.4673788430295613,0.6814872687787923
Astera,2,1.4512079870753831,0.6890811027131254
Astera,3,1.337885660583991,0.7474480289769284
Astera,4,1.1390346662724518,0.8779364049318624
Astera,5,0.9135270265989461,1.0946583635549263
Astera,6,0.7394376554672427,1.3523790580669182
Astera,7,0.5883412201453868,1.6996939288953559
Astera,8,0.3929106238959147,2.5451080708494875
Astera,9,0.4608693946940887,2.1698121235925636
Astera,10,0.4832306564432262,2.069405131206712
Astera,11,0.5849301802175523,1.7096057509429097
Astera,12,0.710127979050294,1.4081968736640584
Astera,13,0.8206709396745614,1.218515182707154
Astera,14,0.9516801398658361,1.0507732147704332
Astera,15,0.9754310845485359,1.0251877511806335
Astera,16,1.0104258275118754,0.9896817487954079
Astera,17,1.0542640073251563,0.9485290146034359
Astera,18,1.1127570253469117,0.8986687814334322
Astera,19,1.1498994601166654,0.8696412466343301
Astera,20,1.196896010233497,0.8354944719089795
Astera,21,1.2361861368096652,0.8089396654947032
Astera,22,1.3738115379034883,0.7279018791224121
Astera,23,1.433015774126932,0.6978290246729854
Belobra,0,1.7250804643084503,0.579683105043381
Belobra,1,1.6817336222876338,0.5946244915052105
Belobra,2,1.3780580319017968,0.7256588451648472
Belobra,3,0.9909088085958728,1.0091745994437262
Belobra,4,0.6752199505642668,1.4809988940112353
Belobra,5,0.4578664998598852,2.184042729280296
Belobra,6,0.3243582264357694,3.083011061530834
Belobra,7,0.25351710176174874,3.944507068954203
Belobra,8,0.2139728557234988,4.67348999301213
Belobra,9,0.38244299474366394,2.6147687727167273
Belobra,10,0.5246206365719431,1.9061392752949138
Belobra,11,0.6925586873725935,1.443920953174044
Belobra,12,0.8867525396258529,1.1277103310264323
Belobra,13,1.0581583377881685,0.9450381519369447
Belobra,14,1.1213208790185016,0.891805386585957
Belobra,15,1.083423354280302,0.9230002252113916
Belobra,16,1.0901111527635137,0.91733764714261
Belobra,17,1.169745493961757,0.8548868152619644
Belobra,18,1.2199039825858453,0.8197366467156603
Belobra,19,1.2199039825858453,0.8197366467156603
Belobra,20,1.312913920750512,0.7616645571313324
Belobra,21,1.4365143445698698,0.6961294913483278
Belobra,22,1.4978099900644917,0.6676414275731615
Belobra,23,1.5928106720849295,0.6278210069317512
Blumera,0,1.4298262662452892,0.6993856691596462
Blumera,1,1.4524724949721992,0.6884811956588137
Blumera,2,1.3536783221510535,0.7387279412223701
Blumera,3,1.2412964120937622,0.8056093534607465
Blumera,4,1.0881512903280324,0.9189898582011896
Blumera,5,0.9044337597809738,1.1056641674257819
Blumera,6,0.7297747207246793,1.370285886317057
