scope,scope_value,n_test,n_dates,n_worlds,general_rmse_pct,specific_rmse_pct,specific_improvement_pct,general_mae_pct,specific_mae_pct,general_r2_oos,specific_r2_oos,general_direction_accuracy,specific_direction_accuracy,dm_t_specific_vs_general,dm_p_specific_vs_general,better_model
all,All eligible worlds,7200,121,61,1.8673801868183706,1.8850309376177927,-0.945214634064179,1.3017017798782937,1.3142088964668868,0.08817843562515071,0.07085962896084375,0.6180555555555556,0.6173611111111111,-2.2103461244428013,0.027081149792171466,general
pvp_type,Open PvP,2739,121,23,1.4876693841489406,1.4902345428446964,-0.17242800874223405,1.0925929824223624,1.0919690455356856,0.11448924994207488,0.11143288008598529,0.6279664110989412,0.6308871851040526,-0.291742678888826,0.7704833749703865,general
pvp_type,Optional PvP,3327,121,28,1.6134987833162024,1.6198790578358442,-0.3954310090354313,1.1781595802068379,1.186512080123343,0.08307842930044496,0.0758125073555258,0.6092575894198978,0.6077547339945897,-1.2538114510752103,0.20991054604138815,general
pvp_type,Retro Hardcore PvP,342,118,3,2.575778940219154,2.8403129234593862,-10.270057694381366,1.7411518325095878,1.9895925765369964,0.054122543462571726,-0.15013833347589478,0.5847953216374269,0.5292397660818714,-3.141796362662236,0.001679147768217648,general
pvp_type,Retro Open PvP,792,117,7,3.200941252213231,3.1806257475290285,0.6346728378771682,2.354078012881864,2.3275687968350103,0.08249791720277722,0.09410723235000085,0.63510101010101,0.648989898989899,0.7144113127833125,0.4749728786747509,specific
model_group,open-pvp__green__all-regions,473,120,4,1.9797660524619183,1.980206091086699,-0.022226799183338565,1.3470193183107402,1.3411173005518204,0.10999208023289131,0.10959639571769164,0.6405919661733616,0.6807610993657506,-0.08050802343602276,0.93583321517165,general
model_group,open-pvp__green__south-america,597,120,5,1.2473355074637522,1.2429783821873115,0.34931461907151506,0.9516417217981863,0.9475550922487324,0.04526737355398025,0.051925765113788436,0.5963149078726968,0.6130653266331658,0.4528945346300711,0.6506246866179539,specific
model_group,open-pvp__yellow__all-regions,956,121,8,1.4603286854190458,1.4563306538892766,0.2737761416103285,1.1083104228030065,1.0970412652279378,0.08550754821157502,0.09050801808159026,0.6077405857740585,0.5972803347280334,0.1872010365930927,0.8515030121228859,specific
model_group,open-pvp__yellow__north-america,713,121,6,1.318956372879863,1.3388632677134447,-1.5092913793741414,1.0207533929602794,1.0408034963966761,0.20506151375345671,0.18088455382035973,0.6732117812061711,0.6577840112201964,-1.0503606819552256,0.2935523154724673,general
model_group,optional-pvp__green__all-regions,594,121,5,1.4740000921319698,1.5132805633900828,-2.66488933533906,1.0933785910458111,1.1261397879505892,0.13519729788456447,0.08849107659535682,0.6430976430976431,0.6043771043771043,-2.227977552848934,0.025882011914938996,general
model_group,optional-pvp__green__south-america,587,121,5,1.3882026971825117,1.4449458570546019,-4.087526986315175,1.092788989859107,1.1225455388566337,0.10125860160387368,0.0262844011489326,0.6098807495741057,0.5979557069846678,-2.8314102244700616,0.004634324122436029,general
model_group,optional-pvp__yellow__europe,717,121,6,1.3193680129762568,1.3582581998952663,-2.947637545894438,1.0479135700636102,1.0891288605421445,0.1464493323245113,0.09538855919213796,0.6052998605299861,0.596931659693166,-2.0786099924166157,0.03765321180111747,general
model_group,optional-pvp__yellow__north-america,833,121,7,2.011567233018973,2.000253233473265,0.5624469995331693,1.3889761206490034,1.3877742952472043,0.097411530476877,0.1075361409249912,0.6194477791116446,0.6374549819927972,0.3296555662954224,0.7416602314779996,specific
model_group,optional-pvp__yellow__south-america,596,120,5,1.6491303590334068,1.5804029113553872,4.167496359614798,1.2087781291668007,1.1455420205859554,-0.08164879447709494,0.006627943361686595,0.5654362416107382,0.5922818791946308,2.7046921379963096,0.006836771883650394,specific
model_group,retro-hardcore-pvp__all-battleye__all-regions,342,118,3,2.575778940219154,2.8403129234593862,-10.270057694381366,1.7411518325095878,1.9895925765369964,0.054122543462571726,-0.15013833347589478,0.5847953216374269,0.5292397660818714,-3.141796362662236,0.001679147768217648,general
model_group,retro-open-pvp__all-battleye__all-regions,792,117,7,3.200941252213231,3.1806257475290285,0.6346728378771682,2.354078012881864,2.3275687968350103,0.08249791720277722,0.09410723235000085,0.63510101010101,0.648989898989899,0.7144113127833125,0.4749728786747509,specific
