world,adf_stat,adf_p,kpss_stat,kpss_p,lb_stat,lb_p,ret_sd_pct,ret_ac1,n
Antica,-2.635416501273112,0.08589606244718567,0.7568996405921921,0.01,66.83118468195946,1.8066932231165786e-10,1.0554567686005951,-0.1544667587919779,1295
Astera,-1.7773154159250262,0.3917806865749483,1.1356107773570334,0.01,65.87897355440896,2.7511870969498337e-10,1.4867206918434104,-0.27046197338060035,795
Belobra,-1.70401907153672,0.4290429290744538,0.6794525092000244,0.015413408254543232,115.39823163103807,4.33192040536674e-20,1.4735758879477951,-0.28730913775778655,868
Blumera,-1.9707168989899582,0.2995584362915353,1.8746405959848254,0.01,27.653658886990645,0.002050574368034687,1.2438527944579287,-0.2590222113079384,266
Bona,-2.3163390620978337,0.16675243531756068,0.3929153587440744,0.08020889709307137,34.73946094323654,0.0001383120389426411,0.9066869143027352,0.07297899816159921,574
Calmera,-1.8518657939732557,0.3550324198873364,1.0597853435286506,0.01,42.462008335858485,6.204203064360237e-06,1.1190128895731344,-0.09734575632913092,848
Celebra,-1.3906621142664943,0.5867445407334794,1.0456009721369601,0.01,41.48833580869666,9.245058923855928e-06,1.5062124922155617,-0.31302142257944204,331
Celesta,-1.9476643773127216,0.30998092768848573,0.4896093276769327,0.04400690818087102,26.428747529648497,0.0032043874595778263,0.9289138909836878,-0.08156550152949645,580
Citra,-2.6013407305800667,0.09272048219052104,1.502589593356282,0.01,30.826014536343145,0.0006268228136470372,1.335953387592239,0.13872167825190795,266
Collabra,-1.087014058918623,0.7202226681638434,1.9859836532347195,0.01,22.838075366806986,0.011360309388919158,0.9376046587623912,-0.12733184689244312,333
Descubra,-1.7411122485618415,0.41006430021419604,0.5930547462428359,0.023267750341560367,51.279787962315744,1.5506023323622948e-07,1.226204836234238,-0.27418225682151626,579
Eclipta,-3.5512847713586275,0.006763637721553813,0.6998102057641142,0.013562708566898705,13.704341522473591,0.1869096259775453,1.0907313039016602,0.03152373294804402,267
Epoca,-3.574217875939376,0.006273493201762952,0.63444777602311,0.01950474763426273,13.267246818952275,0.20911123053810146,1.8873681807873341,-0.15053162383477894,330
Ferobra,-1.7187484779409845,0.42147950288513586,0.6542857573673402,0.017701294784787255,56.132703960811114,1.938689962360996e-08,1.5751748407174047,-0.32010577123291234,338
Firmera,-2.4487607188621494,0.1284441335309916,1.169493026222457,0.01,22.445452098607657,0.01298933950887921,1.48087597704952,0.1192908818561083,332
Gentebra,-1.9305631677975659,0.3178226091350859,0.508215928912994,0.039816232226803146,54.96716056438822,3.202984850421638e-08,1.0745384686031978,-0.2820086398524006,577
Gladera,-2.4387923163135645,0.13108548623979938,0.9142121190790125,0.01,58.75701154893955,6.224057205862785e-09,1.6425447078875506,-0.15313740626151143,868
Gladibra,-2.0576909230814584,0.2618638918315175,1.6906780300942403,0.01,8.186779461614721,0.6105982328467897,1.330626290460864,0.05526605063005793,333
Harmonia,-1.9921009400987961,0.2900472657788886,0.8259716608079891,0.01,34.57829694109994,0.0001473309246397314,1.099772667497115,-0.020059964863690792,791
Havera,-1.5458736484614555,0.5107086992938129,1.0293643073447627,0.01,24.531655747459347,0.0063075893683777135,0.9983194265433348,-0.12204474095397945,333
Honbra,-1.1851879949128605,0.6799347879623948,0.483276607685003,0.04543319646734167,31.65452447103176,0.00045710659982912185,1.0501014059647296,-0.15041348690167133,575
Inabra,-1.7222190308955583,0.419702449014676,1.6692021663510979,0.01,151.3557815679024,1.9607842143241984e-27,1.9462026851887027,-0.3621934715257529,888
Issobra,-1.160257646501587,0.6904540998782961,1.8808511201773461,0.01,36.63496095903587,6.54393550135985e-05,1.3296451670315255,-0.17904849789533073,339
Jadebra,-2.1516434287878106,0.22426155691268201,1.006668970219375,0.01,24.672869682741027,0.006001293054961513,1.0577702108166176,-0.2155956070556564,332
Kalanta,-2.104859922235573,0.2425648982859258,1.1426967689281207,0.01,28.5198318923882,0.0014895841741649825,1.342192444216238,0.005531127594154289,264
Kalibra,-1.4780301472451443,0.544350170208775,1.059977911228862,0.01,35.86625554325937,8.87486958159988e-05,1.5398220470810016,-0.2940357973420151,333
Karmeya,-2.073353948608537,0.2553631912362918,0.7142958092465465,0.01224583552304123,26.280008891032757,0.00338129217140865,0.8480109791777043,-0.030198087538015696,577
Lobera,-1.3325720174297087,0.614142008349995,1.6768517018618811,0.01,29.503856056523848,0.0010321637007015023,1.1435877073641811,-0.024038321735964378,907
Luminera,-1.750049650848839,0.4055271663425988,1.1309390092300962,0.01,89.83588553644134,5.772640789283066e-15,1.5641993021203018,-0.3106414717950773,329
Lutabra,-2.2726316207755337,0.18094677857089608,1.0646281150188552,0.01,62.00263326853515,1.5114909449511057e-09,2.0567164829219236,-0.3412581111229572,311
Menera,-3.284793247448599,0.015572052377098574,0.7331433108958856,0.010532426282192218,67.91899253483034,1.1164466460151458e-10,1.7384605367899093,-0.37100779123145006,334
Monstera,-2.5048798551096567,0.11429151363804596,2.0583776797117093,0.01,11.63265915340513,0.31039312272582376,1.0290578076534793,-0.07386593104119873,266
Monza,-2.0949776856571893,0.2465388891694854,0.50641759123581,0.04022126323517793,29.719966006282462,0.0009517845919527066,0.8533123309886472,0.06054134754178171,577
Nefera,-2.130982604704097,0.23224017599044222,0.973933733773722,0.01,49.640946067434186,3.1070678905491485e-07,0.9393332245092397,0.04274774055307841,940
Nevia,-1.7616768343043534,0.39964711414457194,0.6579914000767095,0.017364418174844586,49.66416049635966,3.07671151776736e-07,0.945917776371517,0.010691825029281267,580
Ombra,-1.8925398036682226,0.33557872026530433,1.0836116691887705,0.01,15.451229315943817,0.11645630849730397,0.8675822534666604,-0.052404302684613914,335
Ourobra,-0.8978996622858495,0.7886633020789666,0.5093392276353607,0.03956323701906292,26.077994677427885,0.0036366914932562675,0.8646469705309077,-0.06937199840913257,566
Pacera,-1.9458754469939175,0.3107969087063376,0.6550164342543165,0.01763486961324395,28.505467310160363,0.0014975391590567018,1.2550876749079014,-0.0935237171107289,578
Peloria,-1.339144894260401,0.6110787350569029,1.6706534798000496,0.01,39.684401217260465,1.925577966435258e-05,1.2728481309168642,-0.023315107761342314,881
Quelibra,-2.3076412530503103,0.16951535774683013,0.8257266624172047,0.01,16.536673417338402,0.08526577697587297,0.88889124516514,-0.06625749896903159,334
Quidera,-1.7574658605201259,0.4017736563573475,0.5452660549404654,0.03147160924764292,20.02432571463731,0.029023445432726978,1.2515061304625061,-0.10952145932487484,580
Quintera,-1.4334346604630988,0.5661463604069531,0.9035287601002495,0.01,16.596566689579557,0.08378134593908386,0.8326728299555062,-0.07565963846337044,334
Rasteibra,-0.986899571349824,0.7580123431442762,0.528087062158367,0.03534075176613356,63.02369509458665,9.662646210406028e-10,1.3579449017431513,-0.2730187887428504,581
Refugia,-2.089754444077436,0.24865429835179104,0.5916515161172498,0.023395316716613657,44.78581869325689,2.376981874356732e-06,0.8966307059682396,0.08825416159888855,580
Retalia,-3.0079693681858797,0.03415683435265351,1.2395967084539414,0.01,54.362208452542035,4.1538056209051956e-08,2.1366540145576836,-0.3415609510014185,330
Secura,-1.7527107709964371,0.40417910716453676,0.9944396441260229,0.01,51.5764640708408,1.3667242494252577e-07,0.8123371265295505,-0.1216363000078246,917
Serdebra,-1.3310910594561625,0.6148308394536697,0.5034723001404697,0.040884617085479795,32.26280404763285,0.0003619859577126497,0.9582944159824606,-0.14273544086808843,582
Solidera,-1.5254375069216237,0.5208923492934056,0.715236585242506,0.012160310432499453,18.74411704255882,0.04363576350928848,0.9997115568363926,0.024598135362012073,580
Sombra,-3.037116447849582,0.03157058951475931,0.21491342877320374,0.1,4.498570606568379,0.9220663113377936,2.03390212228646,0.036127328863563575,267
Talera,-1.5907866843273988,0.488220012163026,0.4681869820175689,0.048831760806853856,28.295539738639615,0.0016186046443285892,1.105418463624276,0.0024271931051846897,580
Tempestera,-6.324148396893708,3.01516234897659e-08,0.1308816894045073,0.1,10.585491203481082,0.3907097872467308,2.4365136283464297,0.012780903971022006,268
Terribra,-2.8762526814571863,0.04817999764456666,2.0882375142346157,0.01,38.78708914208649,2.7662839841385777e-05,2.5100146116199333,-0.22837063100437816,270
Thyria,-1.405013997173583,0.5798699986372116,0.6754871480674158,0.015773895630234923,24.284894825707514,0.006879056133224645,1.1284482208043654,-0.1377108523650242,577
Ustebra,-1.5649193917482687,0.5011876677590582,0.7719352269315527,0.01,30.8303336012984,0.0006257958221973423,1.0210374808849656,-0.05248637363542158,562
Venebra,-1.2077616619157878,0.6702479604110713,1.9324409199197339,0.01,30.545661516569005,0.0006971202008719533,1.1452345255618874,-0.27751988037017655,338
Vunira,-1.5388413627475763,0.5142171152325314,1.156120415529623,0.01,60.429502117086344,3.0054696696915815e-09,1.1196804035915484,0.0793366387116922,999
Wintera,-1.6246756379156357,0.4702789036652247,0.5199233903408312,0.037179416589902876,52.36224342038778,9.777615868688924e-08,1.3293110273389244,-0.2977147088478161,565
Xyla,-1.284017825919946,0.6364520912202309,0.7674077577353943,0.01,44.98508129703047,2.1882456960376136e-06,1.1823456158078716,-0.041820973343015766,575
Xymera,-2.618229809056958,0.08928776468693339,1.0341173605912144,0.01,9.11202192975995,0.5215063676166042,1.1810222680299725,-0.07713612491494562,270
Yonabra,-1.566135204098051,0.500579022612343,1.1270747418751381,0.01,46.95122879874825,9.637554584508091e-07,1.2691733501107942,-0.3418793096846721,333
Yovera,-1.635071778976918,0.46483707449314743,1.5469726116979348,0.01,13.27367372686809,0.20877039805366504,0.8987656126709496,0.04304348306378323,338
