world,episode,start,end,days,mean_dev,gross
Antica,1,2024-04-07,2024-08-27,129,0.11790965499020203,0.03997908172889489
Antica,2,2024-09-07,2024-09-18,6,0.09675547462761802,0.04207467789212919
Antica,3,2025-06-11,2025-07-23,19,0.09891763812619363,0.03490662385043779
Astera,1,2024-06-01,2024-08-08,37,0.10756070013723901,0.05244451968550676
Astera,2,2024-08-17,2024-08-20,4,0.09534791958792654,0.052560299004817956
Astera,3,2025-06-12,2025-07-17,25,0.10646612174113593,0.05217346362123848
Astera,4,2025-07-26,2025-07-29,4,0.10737229715427565,0.05515736902921908
Astera,5,2026-04-27,2026-04-27,1,0.09283756092026074,0.016256512447057503
Belobra,1,2024-04-07,2024-09-25,130,0.11163550868853338,0.03144060070700649
Belobra,2,2025-05-05,2025-05-06,2,0.10977004690898795,0.004279985776461714
Belobra,3,2025-05-14,2025-05-19,4,0.09983902153538704,0.01984807682330425
Belobra,4,2025-05-28,2025-08-05,50,0.10193935591970764,0.03967262275114898
Belobra,5,2025-09-20,2025-09-20,1,0.0921950610386606,-0.020938625441999648
Bona,1,2025-06-09,2025-07-07,23,0.10308340793349187,0.049481919023960194
Bona,2,2025-07-15,2025-07-29,5,0.10024282467096093,0.06566568794452046
Calmera,1,2024-04-07,2024-04-10,4,0.09926023809428797,-0.0008063089249334965
Calmera,2,2024-04-30,2024-06-17,36,0.1035121924277427,0.04235469355982641
Calmera,3,2024-06-28,2024-07-21,17,0.10536924650725217,0.06303150783698928
Calmera,4,2024-08-01,2024-08-02,2,0.10505415967005494,0.0841087008906154
Calmera,5,2025-05-06,2025-05-06,1,0.0953699130510941,0.015138865014804992
Calmera,6,2025-05-30,2025-06-02,4,0.10343410096847627,0.05798594878379282
Calmera,7,2025-06-15,2025-07-19,24,0.10096802418623334,0.041540005597432504
Calmera,8,2025-08-02,2025-08-02,1,0.09637363014079448,0.010870773026079306
Calmera,9,2025-10-22,2025-10-22,1,0.09440329535377145,0.0030902519259061734
Calmera,10,2025-12-04,2025-12-05,2,0.09632505909780242,0.006409978605549149
Celebra,1,2025-09-05,2025-09-14,6,0.09764836514829749,0.010269335373052968
Celebra,2,2026-04-09,2026-04-09,1,0.0941988815517405,-0.023002824564294144
Celesta,1,2025-05-17,2025-05-17,1,0.09263071245040777,0.021410331334042354
Celesta,2,2025-06-07,2025-06-16,9,0.09797277695120678,0.035204620241375134
Celesta,3,2025-06-25,2025-07-14,13,0.09644201047768174,0.040369321633360725
Celesta,4,2025-07-24,2025-07-25,2,0.10118933421987819,0.0660054601568163
Citra,1,2025-12-27,2025-12-28,2,0.10643677591861067,0.026368505947215404
Citra,2,2026-02-19,2026-02-20,2,0.09536646455891518,0.011149847726543705
Citra,3,2026-03-08,2026-03-25,9,0.11076528925641543,0.035811352932167945
Citra,4,2026-04-15,2026-04-16,2,0.09981593610087103,0.05746218986956286
Eclipta,1,2025-11-08,2025-11-15,3,0.11196229502693515,0.036654230061265856
Eclipta,2,2025-12-06,2025-12-20,8,0.10373007196194384,0.025160027910758886
Eclipta,3,2025-12-28,2025-12-31,3,0.09832403349802554,0.01844408567585572
Epoca,1,2025-09-09,2025-10-06,20,0.10385953862844284,0.0664544382401279
Epoca,2,2025-12-01,2025-12-11,10,0.11161221516621023,0.11631073641825349
Epoca,3,2025-12-25,2025-12-25,1,0.09691489288569954,0.052202849234475934
Ferobra,1,2025-09-29,2025-09-29,1,0.09364122678180031,0.0290473169132639
Firmera,1,2025-12-25,2025-12-26,2,0.09639253725653063,0.054296595014099225
Gentebra,1,2025-05-17,2025-05-17,1,0.09824361091334133,0.030828169217127055
Gentebra,2,2025-06-01,2025-08-01,48,0.10328999174858666,0.03867789257747093
Gladera,1,2024-04-13,2024-06-02,39,0.10172916603978781,0.039890066629536244
Gladera,2,2024-06-18,2024-07-10,12,0.10613757794436784,0.08214602656136005
Gladera,3,2024-08-11,2024-08-15,3,0.10065957397874688,0.05452266763566982
Gladera,4,2025-06-11,2025-06-15,5,0.09862412766558001,0.023363055519951104
Gladera,5,2025-07-02,2025-07-16,15,0.10474572532748189,0.05311478740259676
Gladera,6,2025-08-03,2025-08-03,1,0.09531305297743486,0.006644417916804812
Gladera,7,2026-03-27,2026-03-27,1,0.09327809191232639,0.009273402683810161
Gladibra,1,2026-02-22,2026-02-28,7,0.12523416660431128,0.05614150546188158
Gladibra,2,2026-03-26,2026-04-23,22,0.11161316194588283,0.020895487154606682
Harmonia,1,2024-06-01,2024-08-04,44,0.10678127393172222,0.06957614930618948
