period,horizon,dispersion,mean_disp_pct,n,net_pct,t_newey_west
train only,7,low,7.671132675477193,473,1.229765859670757,4.1930221631728495
train only,7,mid,10.463704475837412,470,0.018676293198677998,0.13886065781461684
train only,7,high,11.975112335867744,460,0.6717824808911288,4.382497353836276
train only,30,low,7.671132675477193,473,2.391508139161297,5.84769188714485
train only,30,mid,10.463704475837412,470,1.0779638621121996,4.008519157408054
train only,30,high,11.975112335867744,460,0.8532885352189762,2.762770885602985
holdout only,7,low,4.686484326561889,394,0.907663140147699,4.345980866857397
holdout only,7,mid,5.361350386431288,393,0.8905001290585234,3.77899194798891
holdout only,7,high,5.921915870988976,383,0.7228375910612871,4.254710784593367
holdout only,30,low,4.59147831975012,351,1.70794903012133,4.292767208264854
holdout only,30,mid,5.0942811798304515,348,2.2556230509212796,3.0943089978331715
holdout only,30,high,5.78878149745993,347,1.8816575452318358,7.247910524770639
