variable,coef,se,t,p,block
deaths_pp,-0.0013130623388649082,0.00015283027608417146,-8.591637550544878,0.0,supply
ret_lag1,-0.27930913181405226,0.01751502474367673,-15.94683055842604,0.0,behaviour
rel_premium,-0.10897650336171034,0.009884907854577315,-11.024534063941484,0.0,behaviour
breadth_up,0.0302437168034342,0.0020749791632806566,14.575431569933077,0.0,behaviour
w_engagement,4.30565891674929,0.6365500398830846,6.764054115117347,1.3418377520224567e-11,demand
x_dlog_kills_7,0.005136723974575615,0.0011314812681403159,4.539822371976383,5.630163874226213e-06,supply
g7_players_online_avg,-0.00459327149021006,0.0014268240894331674,-3.219227600814354,0.0012853641868315613,demand
ev_any,-0.0013644218078265585,0.0004467663603042869,-3.0539940538434185,0.0022581655659714706,demand
ret_sd14,0.17573670917486858,0.06261847264443329,2.8064675127538643,0.005008796287071293,behaviour
idx_premium_demand,0.004067296794872169,0.001899386165098757,2.1413743395675904,0.03224386254826905,demand
mom30,0.020490610205174755,0.013287217716441728,1.5421294843253364,0.1230421314007708,behaviour
boss_share,0.7020694423044403,0.5368639847132969,1.307723114783661,0.19096724031313062,supply
turnover_imb,0.0028886845764572898,0.002392445682688798,1.2074190847295576,0.22727078938817513,demand
log_active_traders,0.0001239328901861805,0.00010550180229709484,1.1746992704179917,0.24011505137063205,demand
