world,price,ma50,ma200,rsi14,bb_z,above_ma50,above_ma200,golden_cross
Aethera,38771.5,34470.56,25092.6525,78.57461245109207,1.470482767955985,True,True,True
Antica,39158.0,37360.57,37422.2075,65.81719014481851,1.428939703913564,True,True,False
Astera,43406.5,41766.75,41296.11,61.24656278643446,1.5551020407498868,True,True,True
Belobra,42843.5,41808.46,41251.84,65.45184696569922,1.2019931456015602,True,True,True
Blumera,38985.0,37324.14,37725.7675,78.21745562130178,1.4335177073722056,True,True,False
Bona,42475.5,41342.26,40872.0,57.22272317403066,2.02470467567219,True,True,True
Bravoria,37971.0,37368.79,37510.395,58.97320084311955,1.074727261737115,True,True,False
Calmera,42013.5,41216.72,40980.21,71.07323813910641,1.066974537233109,True,True,True
Cantabra,40534.5,37906.37,34904.24875,80.30071911091741,2.1048361302568406,True,True,True
Celebra,43811.5,42145.33,41625.9825,70.83902705657283,1.9597212787957556,True,True,True
Celesta,43167.5,41645.71,41173.855,77.3495085995086,1.5051655724954356,True,True,True
Citra,37526.0,36093.99,36279.355,72.6797385620915,0.8423400436648542,True,True,False
Collabra,40040.0,37645.54,38175.3625,75.2375366568915,2.3007602436106347,True,True,False
Descubra,40221.5,37889.14,40197.52416666666,70.02822405557967,1.9517937162077985,True,True,False
Dia,37868.5,37419.83,37560.755,52.32702837232454,-0.09233453452612488,True,True,False
Dracobra,38570.0,24038.62,,97.2676613338127,1.7633769349536144,True,False,False
Eclipta,38202.5,36916.73,36562.09,59.38234578908973,1.4117908168860056,True,True,True
Epoca,39284.0,35872.62,37528.8575,77.76789684304136,1.5870850002201113,True,True,False
Escura,25998.0,14824.33,13815.8775,62.58445496621801,,True,True,True
Etebra,39591.5,37970.01,38182.3175,87.51347854216088,1.663907796586574,True,True,False
Ferobra,39365.5,37501.65,37528.895,64.1298609889143,1.1484086897994321,True,True,False
Firmera,38347.5,36339.32,37379.1825,77.26118382496581,1.4814873627118539,True,True,False
Gentebra,42954.5,42112.71,41459.1275,57.68891826393479,1.7365540560963113,True,True,True
Gladera,42558.0,41214.64,40570.5175,58.904613122587755,1.2288407518813964,True,True,True
Gladibra,36948.5,35143.22,36096.0075,64.8932384341637,1.1700645936319423,True,True,False
Harmonia,43883.5,40733.32,40606.7775,74.29624031740033,3.250668352263773,True,True,True
Havera,39096.5,37421.33,37444.5975,68.06451612903226,1.128588626552508,True,True,False
Honbra,39958.0,37512.4,37640.7625,64.25549622026493,1.5258825727816452,True,True,False
Hostera,24457.5,18211.57,,69.11751381716046,0.7126041341056422,True,False,False
Idyllia,31017.5,23201.68,,91.43540323164989,1.5238479843317951,True,False,False
Ignitera,37671.5,32571.655,31542.47875,47.284584135129364,-0.03003530128345449,True,True,True
Inabra,39690.5,37870.57,37729.4225,73.33452722063038,2.0850314792255986,True,True,True
Issobra,39182.0,37585.08,38063.95,57.82428355957768,1.4607075378955112,True,True,False
Jadebra,39545.5,37631.73,37671.32,80.0593318715336,1.5179836160130973,True,True,False
Kalanta,37135.0,36896.35,36870.3375,56.623972471802716,-0.2651029205392248,True,True,True
Kalibra,43513.0,41973.96,41362.33,66.64161477345931,1.581579689961122,True,True,True
Kalimera,37101.0,27859.72,23467.14375,70.4467519922724,0.7417896010784255,True,True,True
Karmeya,38353.0,37245.62,37635.2525,97.70274010517575,1.45268149998067,True,True,False
Lobera,39114.5,37207.36,37290.7,81.17746957260118,1.2543797932477254,True,True,False
Luminera,43400.5,41934.95,41488.04,52.17008151575237,0.8133902794805062,True,True,True
Lutabra,38006.0,36450.09,37631.54625,57.57949760418179,1.1287671766705898,True,True,False
Luzibra,39649.5,31700.67,25164.035,79.13679590343818,1.7011523845735161,True,True,True
Menera,43492.0,42182.06,41495.935,92.68529297632907,0.9589750586371407,True,True,True
Monstera,36667.5,36241.9,37340.6375,52.26697061803445,0.34319031731812816,True,False,False
Monza,42392.5,41234.14,40980.33,80.40322580645162,1.074103295988246,True,True,True
Mystera,19128.0,18141.75,13394.05625,41.27606966243819,-0.8966045515727542,True,True,True
Nefera,43395.0,42031.13,41326.0375,93.36609336609337,1.4092459467437606,True,True,True
Nevia,39021.0,37234.26,37412.2075,77.23735408560312,1.612133172406673,True,True,False
Noctalia,36373.0,33035.97,26774.745,48.93759973125052,-1.3308149158783618,True,True,True
Oceanis,43448.0,41234.72,41017.845,70.25871439959417,1.4049562309528532,True,True,True
Ombra,39259.0,37626.56,37794.565,57.58984669514954,0.8020111742228224,True,True,False
Ourobra,39606.5,37770.11,37761.67,65.07259890768617,1.5976784017317978,True,True,True
Pacera,43248.5,41595.27,40768.0325,81.53614457831326,1.4683833423952604,True,True,True
Peloria,38073.5,36882.95,38479.9805,61.03353490929082,0.6214177722981657,True,False,False
Penumbra,22258.0,23292.96,22330.65,52.27285722454114,0.11236564334380035,False,False,True
Premia,38087.5,37346.8,,43.50369029383094,0.42944845768489814,True,False,False
Quelibra,40004.5,37693.1,37706.48,66.57580919931857,1.9724865468763415,True,True,False
Quidera,38838.0,36897.91,37269.6675,92.584360476864,1.5517478659934105,True,True,False
Quintera,39699.0,37987.78,37772.7075,73.10228233305156,0.9419230973719621,True,True,True
Rasteibra,40048.0,37763.58,37710.7025,93.41223760607414,1.664488344840042,True,True,True
Refugia,43080.0,41507.6,40973.3525,80.47169811320755,1.082410188147184,True,True,True
Retalia,36875.0,35765.67,36268.77625,64.62237892002227,0.9838839565491783,True,True,False
Secura,43343.0,42114.09,41497.55,80.16597510373444,1.1500029102604115,True,True,True
Serdebra,39380.0,37599.97,37702.4925,69.7019867549669,1.3714098575530442,True,True,False
Solidera,40784.0,37604.77,37470.52,88.30262423227248,3.092083967658444,True,True,True
Sombra,41976.5,38610.96,38831.71,85.21337760142522,1.0891427465923154,True,True,False
Sonira,39697.0,30662.7,27636.8925,94.94281629735525,1.3136644371508022,True,True,True
Stralis,39881.5,36591.71,27171.3925,82.09982788296041,1.298353745373711,True,True,True
Talera,38791.5,37005.02,37244.36,81.30866924351187,1.8342107291613423,True,True,False
Tempestera,36871.5,35378.65,35709.66,48.30434437296481,1.0463168938328862,True,True,False
Terribra,37459.0,37118.99,37449.93125,55.770565775772305,0.2222332992428748,True,True,False
Thyria,39195.5,37093.76,37252.4875,78.92439814163029,1.535875331142403,True,True,False
Tornabra,40357.0,37903.54,37788.1875,67.25749274895263,2.4738937249021467,True,True,True
Unebra,40526.5,37905.49,37936.595,89.49322848405417,2.2598978877482883,True,True,False
Ustebra,38822.0,37483.21,37960.2275,87.29313296556971,1.2725404322944163,True,True,False
Venebra,38730.0,37633.32,38092.11,60.80698633460015,1.3199373677049597,True,True,False
Victoris,36682.5,34435.23,19583.56375,64.56349206349206,2.853865615972529,True,True,True
Vunira,38889.0,37164.91,37367.7,76.25103220478942,2.0311047324930485,True,True,False
Wintera,39171.0,37607.14,37417.735,77.74613506916192,1.114880361012422,True,True,True
Xybra,39617.0,34706.91,34195.655,69.4037963040388,0.929115519503965,True,True,True
Xyla,39092.0,37247.89,37383.4,68.67201426024955,1.3154217890580429,True,True,False
Xymera,40431.0,37739.76,37489.5925,84.85007201780803,1.5007242313755842,True,True,True
Yonabra,43225.5,42102.99,41392.48,62.30131775573971,1.6312732807352337,True,True,True
Yovera,39311.5,37418.84,37593.02,80.50231328486451,1.7393406498114479,True,True,False
Yubra,38455.0,37831.69,38192.88,63.18496187267246,0.6540166832302422,True,True,False
