model,val_r2,min_samples_leaf,max_features,num_leaves,learning_rate,max_depth,depth
RandomForest,0.08328583859323524,20.0,0.4,,,,
RandomForest,0.0761173915359048,20.0,0.7,,,,
RandomForest,0.09227570801979279,50.0,0.4,,,,
RandomForest,0.08750599828065686,50.0,0.7,,,,
RandomForest,0.09564327371647574,120.0,0.4,,,,
RandomForest,0.09134662175648922,120.0,0.7,,,,
LightGBM,0.016447786486238125,,,15.0,0.02,,
LightGBM,-0.04314106725906508,,,15.0,0.05,,
LightGBM,-0.009456778628699869,,,31.0,0.02,,
LightGBM,-0.09232722820219186,,,31.0,0.05,,
XGBoost,0.06070524537126387,,,,0.02,3.0,
XGBoost,0.0014767342312403953,,,,0.05,3.0,
XGBoost,0.04525539657176458,,,,0.02,5.0,
XGBoost,-0.028683372042850097,,,,0.05,5.0,
CatBoost,0.08836570911950381,,,,0.02,,4.0
CatBoost,0.03927088303063919,,,,0.05,,4.0
CatBoost,0.08255534123165975,,,,0.02,,6.0
CatBoost,0.02719344690745762,,,,0.05,,6.0
