world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Antica,RandomWalk,378,0.015409573997053894,0.0,
Antica,ARIMA,378,0.15900776892271,-105.47690589806722,-15.666367279031554
Antica,StructuralTS,378,0.46014786990030176,-890.6893231865324,-12.034822993921406
Astera,RandomWalk,235,0.018044922739180364,0.0,
Astera,ARIMA,235,0.06655839025244348,-12.60490663388408,-11.538040307394404
Astera,StructuralTS,235,0.10057594066516516,-30.065486008593062,-11.893163712646357
Belobra,RandomWalk,257,0.019435022561889934,0.0,
Belobra,ARIMA,257,0.06215651443615181,-9.228294090220649,-8.296129060562759
Belobra,StructuralTS,257,0.07946923694558637,-15.719681021976875,-9.081028406899904
Blumera,RandomWalk,78,0.027608534882912823,0.0,
Blumera,ARIMA,78,0.028171669687329086,-0.04121029768616302,-0.11444550615895688
Blumera,StructuralTS,78,0.06072424598086319,-3.8376844949098414,-2.5365482945139206
Bona,RandomWalk,169,0.017882015605839106,0.0,
Bona,ARIMA,169,0.021100325088323,-0.39234017233684537,-1.2627408161236993
Bona,StructuralTS,169,0.02230805677190033,-0.556290057755155,-1.633457461903829
Calmera,RandomWalk,251,0.018710733992992484,0.0,
Calmera,ARIMA,251,0.08388918910247684,-19.10158690050846,-9.374519254075333
Calmera,StructuralTS,251,0.10950280256250286,-33.250650156996805,-9.81373882997639
Celebra,RandomWalk,96,0.018348366975755884,0.0,
Celebra,ARIMA,96,0.023878383811929117,-0.6936162886275268,-1.706129921067783
Celebra,StructuralTS,96,0.027594449641540845,-1.2617710352781248,-2.357382770016573
Celebra,Prophet,96,0.02438719801959973,-0.7665623655495479,-1.575347657135929
Celesta,RandomWalk,171,0.015026071659168505,0.0,
Celesta,ARIMA,171,0.017429557261357607,-0.3454941059556633,-1.002375640395743
Celesta,StructuralTS,171,0.021909466071734718,-1.1260460974723752,-1.9081167695664654
Citra,RandomWalk,76,0.027338863263738765,0.0,
Citra,ARIMA,76,0.026315350915510252,0.07347439512513998,0.22099669028182034
Citra,StructuralTS,76,0.05936046001247896,-3.714477962058303,-2.277276102252733
Collabra,RandomWalk,98,0.01727448520216651,0.0,
Collabra,ARIMA,98,0.02543830097435269,-1.1685326988411844,-2.611961724488748
Collabra,StructuralTS,98,0.024042366720672774,-0.9370650565636323,-1.445302427231539
Descubra,RandomWalk,171,0.019555148146292306,0.0,
Descubra,ARIMA,171,0.03232252745772184,-1.73204850287111,-4.22236135465926
Descubra,StructuralTS,171,0.02534057952633793,-0.6792326299735432,-2.6703349385617496
Eclipta,RandomWalk,76,0.026410348032795843,0.0,
Eclipta,ARIMA,76,0.03876587531205971,-1.154522036536223,-2.38711198274998
Eclipta,StructuralTS,76,0.03859682438863908,-1.1357720519303962,-2.361654234628034
Epoca,RandomWalk,95,0.04322409509259918,0.0,
Epoca,ARIMA,95,0.07470466335662897,-1.9870576606375603,-3.422306082810826
Epoca,StructuralTS,95,0.09447452180108037,-3.7772457718803683,-4.313750252515166
Ferobra,RandomWalk,98,0.020354778679772246,0.0,
Ferobra,ARIMA,98,0.025998849420891645,-0.6314564610457913,-1.9465686357620477
Ferobra,StructuralTS,98,0.025748642373764105,-0.6002060256394783,-1.8757502655933516
Firmera,RandomWalk,96,0.04860702997464898,0.0,
Firmera,ARIMA,96,0.0936979679379963,-2.7158842224600717,-4.5923030556892845
Firmera,StructuralTS,96,0.11478169296541146,-4.576312213079862,-6.274783767010566
Gentebra,RandomWalk,170,0.014402421872473098,0.0,
Gentebra,ARIMA,170,0.0185452856437637,-0.6580437955705574,-2.2316226191555857
Gentebra,StructuralTS,170,0.020139328790250023,-0.955324888523462,-2.661756278644085
Gladera,RandomWalk,256,0.03518346955018658,0.0,
Gladera,ARIMA,256,0.07830780101907345,-3.9537345234901977,-7.96611158874855
Gladera,StructuralTS,256,0.1065782834802514,-8.176141754112653,-9.935435062169347
Gladibra,RandomWalk,96,0.0385662984844741,0.0,
Gladibra,ARIMA,96,0.036340216492817844,0.11211012377111884,0.31125167279406135
Gladibra,StructuralTS,96,0.0951770019661631,-5.090432367875222,-3.474353670058009
Harmonia,RandomWalk,235,0.021922165035433785,0.0,
Harmonia,ARIMA,235,0.07402463006320681,-10.402119952997527,-13.132646881030633
Harmonia,StructuralTS,235,0.10184238922798028,-20.581929666137192,-12.61588135678526
Havera,RandomWalk,95,0.01768474397042843,0.0,
Havera,ARIMA,95,0.02203114371152362,-0.5519457409880293,-1.279436520369452
Havera,StructuralTS,95,0.02505222659459004,-1.006758489538818,-1.3627231010596073
Honbra,RandomWalk,171,0.017370595158924994,0.0,
Honbra,ARIMA,171,0.03280181102570945,-2.5658760841287074,-3.7126313717722494
Honbra,StructuralTS,171,0.04085966844646351,-4.532995017449092,-4.753412197267923
Inabra,RandomWalk,263,0.016798619381612586,0.0,
Inabra,ARIMA,263,0.06556725124234632,-14.234449808481447,-8.102917915393952
Inabra,StructuralTS,263,0.3771336009335054,-503.0147839505229,-7.870218979048172
Inabra,Prophet,263,0.3255062238370205,-374.4666896322273,-7.783802008125623
Issobra,RandomWalk,98,0.021169245486340995,0.0,
Issobra,ARIMA,98,0.024206353694549765,-0.30751894784137335,-1.3541094801151001
Issobra,StructuralTS,98,0.12021812688325696,-31.249958160006265,-5.692418445236607
Jadebra,RandomWalk,97,0.02024079296857258,0.0,
Jadebra,ARIMA,97,0.022708058588713227,-0.25864996086718883,-0.9356132281945911
Jadebra,StructuralTS,97,0.02619223155391353,-0.6745185289732403,-1.0908803262461966
Kalanta,RandomWalk,78,0.020175686019786896,0.0,
Kalanta,ARIMA,78,0.02493105564145521,-0.5269496425257907,-1.6687350668968841
Kalanta,StructuralTS,78,0.03936638096109176,-2.8071006677085095,-3.4966722639248577
Kalibra,RandomWalk,97,0.019431955538889642,0.0,
Kalibra,ARIMA,97,0.022267731138632646,-0.3131638595915045,-0.8505316309419995
Kalibra,StructuralTS,97,0.035870376902091425,-2.407523532135096,-3.8264104367231937
Kalibra,Prophet,97,0.02220972795514031,-0.30633168771910957,-0.7867500279862865
Karmeya,RandomWalk,170,0.015596148877731671,0.0,
Karmeya,ARIMA,170,0.029348292417902495,-2.5410408002082856,-4.291725749927621
Karmeya,StructuralTS,170,0.015823446335858252,-0.029360295359512456,-0.15729860620474578
Karmeya,Prophet,170,0.07397963215480487,-21.500366419763445,-3.885874248058939
Lobera,RandomWalk,268,0.01936481211525346,0.0,
Lobera,ARIMA,268,0.056183301152782014,-7.417593158215871,-6.69075700929914
Lobera,StructuralTS,268,0.08862274784265703,-19.944203455118974,-7.746889503363574
Luminera,RandomWalk,97,0.03162812617533334,0.0,
Luminera,ARIMA,97,0.024938233613664578,0.37829486771293463,1.4804719897378007
Luminera,StructuralTS,97,0.02486475156776647,0.3819532550843292,1.4338147289197725
Luminera,Prophet,97,0.03114071723115679,0.03058374721121948,0.14279320864329612
Lutabra,RandomWalk,91,0.033101732132052426,0.0,
Lutabra,ARIMA,91,0.04277987799149199,-0.670235243247296,-1.2852036238330664
Lutabra,StructuralTS,91,0.04653783879558684,-0.9765644589192781,-1.5338014792467511
Menera,RandomWalk,97,0.026534280007629942,0.0,
Menera,ARIMA,97,0.04036915650641797,-1.3146468254610189,-2.173930852928584
Menera,StructuralTS,97,0.05811200743286667,-3.7964192853832976,-3.25184010229992
Menera,Prophet,97,0.05534382673253684,-3.3503455488238316,-2.731331517930196
Monstera,RandomWalk,76,0.017647432167409133,0.0,
Monstera,ARIMA,76,0.022842144949372808,-0.675369958501808,-1.386109448016211
Monstera,StructuralTS,76,0.0156252888109732,0.21604151618457046,0.6875563499533148
Monza,RandomWalk,170,0.01760998398557886,0.0,
Monza,ARIMA,170,0.01744046269342351,0.019160193422074534,0.09557543814622846
Monza,StructuralTS,170,0.017675505676286837,-0.0074552690626457085,-0.03636348559788027
Nefera,RandomWalk,278,0.0169042270742937,0.0,
Nefera,ARIMA,278,0.03238536488538769,-2.670345548647643,-5.058813313365066
Nefera,StructuralTS,278,0.04356872400386744,-5.642920362184359,-8.43477078316367
Nevia,RandomWalk,171,0.015835992615331102,0.0,
