world,n,vr2,z2,vr5,z5,vr10,z10,vr20,z20
Antica,1255,0.8498672355327291,-3.7344610071189663,0.6524755693774781,-4.324184413595742,0.6838458481191675,-2.695873141119045,0.836104784190466,-1.0033787334633815
Astera,786,0.7278578277985994,-2.387193695406403,0.457448567140894,-2.7939108920705547,0.2864764537558998,-3.076790427777684,0.2393992247712095,-2.8586219133738715
Belobra,861,0.7115209850025143,-4.930817345739639,0.35347838932006576,-5.710838089914297,0.2372732421824389,-4.713714291518707,0.21285604199082134,-3.5176152953008444
Bona,566,1.0711981781906383,0.9473054780105429,0.8036535013325994,-1.3379499143144098,0.5792291571358575,-2.172835622067536,0.4101953462419131,-2.3835601402668374
Calmera,842,0.9026022892944872,-1.741958302722234,0.6824495831768685,-2.708105101095957,0.4941912697174549,-3.0528509172816873,0.4533744422400534,-2.5004714632982705
Celebra,326,0.6921896173329889,-2.373353771710379,0.39972884510366263,-2.7311716405657176,0.24963211309078245,-2.684446149230167,0.2038834975131784,-2.222862443013204
Celesta,575,0.9499862496099856,-0.6970718044842098,0.6737784528127237,-2.396219993038906,0.48149218606509836,-2.800734984486274,0.37450427440584305,-2.5139271085010315
Collabra,332,0.8743056678141023,-1.8396473628330214,0.6454428783707241,-2.460042448168789,0.5571628452982921,-2.0524216176728305,0.6308738174545209,-1.188036635452683
Descubra,572,0.7286045649754624,-3.60000389565348,0.4997869990671532,-3.717094929552301,0.36238296372183687,-3.633646109454591,0.34944010217711974,-2.830127829829812
Epoca,321,0.8388732651772374,-2.223800671860642,0.5820347783908935,-2.9308003905301985,0.4653408026351997,-2.6365092084831585,0.29969181222212127,-2.415447331340393
Ferobra,331,0.6801174734776846,-4.930565662769885,0.3893624792678452,-4.841581883808326,0.2769534697927065,-3.8431819788811246,0.2726855295620527,-2.5976284731061554
Firmera,323,1.1296972502340685,1.3428392768019015,0.9751759298653174,-0.11304506009320021,0.912145757584753,-0.29898469787483956,0.6640631788486049,-0.8836839629150638
Gentebra,572,0.7191755330212329,-2.8065331225010843,0.4283657759902869,-3.2056086569265956,0.2751547252177147,-3.1324522230104535,0.23196362642827692,-2.659660740183808
Gladera,856,0.8467007931233701,-2.3299701070452272,0.5746355782647591,-3.3649799336827613,0.393961317188262,-3.4756576190038544,0.3331337731528507,-2.8845459026533513
Gladibra,324,1.0537764583361902,0.7143706158654559,0.963374063716613,-0.24438471470620177,0.8853778584328751,-0.520313844168397,0.7429946793066151,-0.8412767691157957
Harmonia,790,0.9784555138080768,-0.33454329516178744,0.6999749394187379,-2.360416537264676,0.4606013159989033,-3.1579043750281723,0.3596784328890659,-2.80828485227188
Havera,320,0.880536885934833,-1.0899291101826574,0.6042693580207604,-2.071389442656641,0.5143226227508609,-1.8942469948057947,0.47745784973403566,-1.4596812853583625
Honbra,574,0.8521422349932503,-2.1601339040702263,0.5536958652496813,-3.3810391202963634,0.4534914932609887,-3.0314510510106984,0.43668489597286647,-2.330597309341623
Inabra,878,0.6242555803340004,-4.515453294170769,0.35227638203747064,-4.250491163427088,0.27439909371795473,-3.3169751599036137,0.29101870461820906,-2.243025567798027
Issobra,329,0.8186432450489375,-2.324922525630697,0.5174758786310922,-3.164924565670567,0.3726626460286959,-2.915484413050755,0.3552391481703095,-2.1773889593550506
Jadebra,327,0.7901333930226467,-2.0728399061915708,0.47646425339885023,-2.9182396941674713,0.42069595034319957,-2.461501780805859,0.33655355340928883,-2.0892149826068613
Kalibra,328,0.7080107235105298,-1.945887095663386,0.3854546964833234,-2.3612843719323378,0.2585980513623593,-2.382961522210576,0.21974074344285596,-2.1230173694001384
Karmeya,570,0.9691556233404836,-0.5765222888539595,0.7861618355197446,-1.9273347915647734,0.6917011786340971,-1.9178930785812343,0.6340691005769146,-1.6117088192612665
Lobera,900,0.9789375555568184,-0.46368669654667805,0.8399636211120215,-1.6240651802255082,0.6159565237687573,-2.6209601018516877,0.6335740092592367,-1.7810869161284335
Luminera,328,0.6934794776854504,-1.372720356920455,0.4046271001087514,-1.5357322857667035,0.32644246706619884,-1.2117299699456339,0.21486784538280074,-1.11033987772578
Lutabra,306,0.6464998801601981,-4.022079834631508,0.43232150499546135,-3.103303851936694,0.34180465138244004,-2.450492362830903,0.3274078408537915,-1.775037163225051
Menera,327,0.6549372570217252,-1.964055299793527,0.44596990638921447,-1.8987871801264542,0.31503002094823146,-1.8265645969671178,0.23035870323823504,-1.7151599485092688
Monza,571,1.0683190032228351,1.4152311284563452,0.8832072858822698,-1.1700971192624658,0.67273131956721,-2.257780938416957,0.5436644917509649,-2.1751063092000558
Nefera,928,1.0431054832350017,1.1231834182809683,0.7668205582375845,-2.8773938727759867,0.5763621777412476,-3.45432373346112,0.524441996423796,-2.6701521071417775
Nevia,573,1.014612056287928,0.29877339320584084,0.7215610900777557,-2.492489265223634,0.5027817647260399,-2.9980462670995713,0.5105389224607151,-2.0501824732031593
Ombra,326,0.9404273146490129,-0.7752717890727048,0.6753520774553677,-2.0927687898662923,0.5382120023870298,-2.116919511791497,0.5619854171244915,-1.4466117421486626
Ourobra,557,0.9245580104000163,-1.3501276745716793,0.6991676219733917,-2.6344197646549725,0.5480212268116629,-2.810263659785155,0.5729861688624759,-1.895503959313908
Pacera,567,0.913013259118773,-0.8260803700520517,0.616094269491321,-2.1228820552264516,0.4528152087459496,-2.4493875738120385,0.31590393111299225,-2.4655935316097386
Peloria,872,0.9716435976177635,-0.6327862832010566,0.703334103843953,-3.11985069712631,0.5559255386247902,-3.0846340140839192,0.5265768598165171,-2.350148730725231
Quelibra,328,0.9329868633742904,-1.2111521267193168,0.7198638976169722,-2.2370077557405947,0.5534098472442722,-2.29728747891214,0.5774574519606158,-1.4955000653727852
Quidera,573,0.8908182597832333,-0.6607261459830123,0.6300714358071273,-1.3691303039572882,0.45131697677048893,-1.7375811886440502,0.40012378596327114,-1.6891294252988043
Quintera,329,0.9193543474593916,-0.7677972682950525,0.7433657100277521,-1.3158124658164545,0.6779470329115934,-1.2499797545826643,0.6474849595640287,-1.074820269444479
Rasteibra,574,0.7333148067964447,-1.9199904006979984,0.39682466003079603,-2.588703622482259,0.29394171349206527,-2.5443411686558792,0.2737001314234573,-2.2467839396905407
Refugia,575,1.0894226048444313,1.4981551608539083,0.7741293382758269,-1.9154179752105618,0.5416075746789776,-2.728021718071669,0.4425202322852352,-2.4367916776131624
Retalia,315,0.6673613369045925,-3.1087623319460365,0.40312159623306815,-3.023323554235528,0.3039922931431038,-2.5873095361512206,0.21810961067796042,-2.144073265020689
Secura,907,0.8799269825010121,-2.283602864922557,0.6281283662559353,-3.4237131351265626,0.5335699665382462,-3.042314503192326,0.5952593662585218,-1.905923730556209
Serdebra,575,0.8536022476083784,-1.7149352568937621,0.6306100383736876,-2.380366622848017,0.49397663753440774,-2.4511688220380474,0.4992544225260548,-1.85866887994429
Solidera,575,1.0223071146278584,0.35939653379509184,0.8209424878022498,-1.329046031974968,0.6672127897044215,-1.731458741936574,0.5620699371236213,-1.7488815561561029
Talera,573,1.0053631794062419,0.10138341774472483,0.7128700999267945,-2.5105308968271944,0.580132943436919,-2.4176188332539947,0.5092167903336449,-2.033334275986553
Thyria,572,0.8643935353133152,-0.957977020659291,0.5905167517737674,-1.736789219120597,0.5088109104673332,-1.7502930756618207,0.48339636462497043,-1.6051262644082824
Ustebra,553,0.9494897737593354,-1.1011206058568503,0.6385168370573143,-3.4899517261752506,0.5067862715698693,-3.029878801151894,0.4952429658525144,-2.1149379962213986
