target,horizon,model,expanding,rolling,rolling_minus_expanding
rel,1,CatBoost,0.01212754526518591,0.013816265711252718,0.001688720446066808
rel,1,OLS,-0.013388873903314558,-0.021545396778724524,-0.008156522875409966
rel,1,RandomForest,0.01766055009427679,0.015203128362675492,-0.0024574217316012965
rel,7,CatBoost,0.02818475935464071,0.01084268357876759,-0.01734207577587312
rel,7,OLS,-37.77167950187824,-37.75497902711723,0.016700474761009332
rel,7,RandomForest,0.04955490336230759,0.04216650039642115,-0.0073884029658864425
rel,30,CatBoost,0.01986998196481371,0.013753286331243309,-0.006116695633570401
rel,30,OLS,-459.13877495829155,-458.3513521680123,0.7874227902792654
rel,30,RandomForest,0.07893854219998282,0.07863490112086646,-0.0003036410791163596
ret,1,CatBoost,-0.02194773605684121,-0.014617229008148528,0.0073305070486926836
ret,1,OLS,-0.13052745181152248,-0.15884415384721237,-0.028316702035689895
ret,1,RandomForest,-0.025231791371194207,-0.01759842758064012,0.007633363790554088
ret,7,CatBoost,-0.2851844447955675,-0.25957258111335285,0.02561186368221463
ret,7,OLS,-0.7599323720734922,-0.7680302994326071,-0.008097927359114965
ret,7,RandomForest,-0.3674107229401953,-0.2355848957739489,0.13182582716624638
ret,30,CatBoost,-0.5566839385147925,-0.4589866073707444,0.09769733114404805
ret,30,OLS,-4178.636835375799,-4178.491498297393,0.14533707840564603
ret,30,RandomForest,-0.582925193386667,-0.49143798406761385,0.09148720931905319
