world,cities_total,vocations_total,voc_knight,voc_paladin,voc_elite_knight,voc_monk,voc_royal_paladin,voc_elder_druid,voc_sorcerer,voc_druid,voc_master_sorcerer,voc_exalted_monk,voc_none,gender_total,female,male,account_total,free_accounts,premium_accounts,levels_total,mean_level,median_level,chars_level_100plus,chars_level_400plus,vocgrp_druid,vocgrp_paladin,vocgrp_sorcerer,vocgrp_knight,vocgrp_monk,population,premium_share,pct_level_100plus
Aethera,2738,2738,793,378,292,247,207,188,182,180,167,85,19,2738,483,2255,2738,1317,1421,2738,131.2436084733382,50.0,893,252,368,585,349,1085,332,2738,0.5189919649379109,0.32615047479912346
Antica,12663,12663,1937,1366,1710,374,1367,1234,1359,1435,1144,485,252,12663,2447,10216,12663,5793,6870,12663,255.88320303245678,157.0,8129,2847,2669,2733,2503,3647,859,12663,0.5425254678986022,0.6419489852325673
Astera,7637,7637,1365,783,1402,263,844,659,617,677,548,449,30,7637,1815,5822,7637,3391,4246,7637,301.7299986905853,197.0,5369,2219,1336,1627,1165,2767,712,7637,0.5559774780673039,0.7030247479376719
Belobra,5776,5776,1227,533,1120,260,697,468,348,367,356,350,50,5776,1356,4420,5776,2414,3362,5776,345.8431440443213,247.0,4173,1929,835,1230,704,2347,610,5776,0.5820637119113573,0.722472299168975
Blumera,4200,4200,899,354,868,275,480,310,229,211,252,314,8,4200,1037,3163,4200,1350,2850,4200,234.63833333333332,130.0,2393,884,521,834,481,1767,589,4200,0.6785714285714286,0.5697619047619048
Bona,5884,5884,1089,528,1157,208,783,447,443,502,341,359,27,5884,1191,4693,5884,2433,3451,5884,312.7805914343984,231.0,4244,1885,949,1311,784,2246,567,5884,0.586505778382053,0.7212780421481985
Bravoria,3193,3193,1040,393,343,362,270,122,188,154,166,135,20,3193,677,2516,3193,1540,1653,3193,108.98528030065769,47.0,896,183,276,663,354,1383,497,3193,0.5176949577200125,0.28061384278108364
Calmera,8016,8016,1815,958,1116,247,722,562,777,879,425,350,165,8016,1955,6061,8016,4342,3674,8016,234.82060878243513,145.0,5046,1516,1441,1680,1202,2931,597,8016,0.4583333333333333,0.6294910179640718
Cantabra,3386,3386,980,297,498,373,302,246,189,164,198,130,9,3386,633,2753,3386,1432,1954,3386,193.26491435321913,63.0,1380,477,410,599,387,1478,503,3386,0.577082102776137,0.4075605434140579
Celebra,4336,4336,1022,405,855,236,476,313,214,256,245,298,16,4335,997,3338,4336,1857,2479,4336,359.5846402214022,275.0,3169,1572,569,881,459,1877,534,4336,0.5717250922509225,0.7308579335793358
Celesta,5046,5046,886,344,1081,201,687,427,345,347,330,372,26,5046,984,4062,5046,1834,3212,5046,376.36424891002775,276.0,3792,1909,774,1031,675,1967,573,5046,0.6365437970669837,0.751486325802616
Citra,3603,3603,1039,378,505,336,325,261,190,178,210,167,14,3603,626,2977,3603,1390,2213,3603,160.30446849847348,62.0,1440,421,439,703,400,1544,503,3603,0.61421038023869,0.3996669442131557
Collabra,4672,4672,1196,505,819,284,453,315,273,313,229,273,12,4672,1011,3661,4672,2168,2504,4672,285.3120719178082,165.0,2997,1115,628,958,502,2015,557,4672,0.535958904109589,0.6414811643835616
Descubra,5146,5146,1243,548,902,248,502,346,362,373,308,300,14,5146,1166,3980,5146,2368,2778,5146,265.59385930820054,161.0,3285,1166,719,1050,670,2145,548,5146,0.5398367664205208,0.6383598911776137
Dia,4011,4011,848,289,855,221,576,296,146,145,262,362,11,4011,826,3185,4011,1160,2851,4011,277.808526551982,178.0,2569,1014,441,865,408,1703,583,4011,0.7107953128895538,0.6404886561954625
Dracobra,4370,4370,1126,490,494,398,313,278,396,336,318,195,26,4370,835,3535,4370,1720,2650,4370,104.2162471395881,50.0,1332,231,614,803,714,1620,593,4370,0.6064073226544623,0.30480549199084667
Eclipta,4595,4595,1267,523,507,231,361,369,423,379,420,101,14,4595,755,3840,4595,2315,2280,4595,152.39695321001088,87.0,2124,377,748,884,843,1774,332,4595,0.4961915125136017,0.46224156692056584
Epoca,4630,4630,1373,512,473,160,367,385,431,423,374,94,38,4630,782,3848,4630,2511,2119,4630,182.13952483801296,106.0,2431,580,808,879,805,1846,254,4630,0.45766738660907125,0.5250539956803456
Escura,2094,2094,533,384,78,212,98,142,215,165,187,61,19,2094,315,1779,2094,1020,1074,2094,54.550143266475644,31.0,310,10,307,482,402,611,273,2094,0.5128939828080229,0.14804202483285578
Etebra,3768,3768,1115,400,604,312,312,171,252,210,178,207,7,3768,794,2974,3768,1752,2016,3768,196.52653927813162,98.0,1882,533,381,712,430,1719,519,3768,0.535031847133758,0.4994692144373673
Ferobra,7828,7828,1069,411,929,234,686,1430,775,950,1009,309,26,7828,1488,6340,7828,2967,4861,7828,301.9155595298927,201.0,5406,2007,2380,1097,1784,1998,543,7828,0.6209759836484415,0.6905978538579458
Firmera,4616,4616,1435,508,478,157,410,454,326,426,316,89,17,4616,906,3710,4616,2497,2119,4616,184.42742634315425,106.0,2413,613,880,918,642,1913,246,4616,0.45905545927209707,0.5227469670710572
Floribra,3445,3445,991,347,507,326,300,239,134,111,262,222,6,3445,812,2633,3445,552,2893,3445,74.5465892597968,36.0,761,54,350,647,396,1498,548,3445,0.8397677793904209,0.22089985486211902
Gentebra,5308,5308,1097,490,1004,218,612,448,305,366,373,352,43,5308,1184,4124,5308,2131,3177,5308,364.1145440844009,255.0,3958,1836,814,1102,678,2101,570,5308,0.5985305199698568,0.7456669178598342
Gladera,8201,8201,1828,1172,1030,264,691,446,843,986,352,287,302,8201,2013,6188,8201,4958,3243,8201,216.19436654066578,148.0,5345,1359,1432,1863,1195,2858,551,8201,0.39543958053895867,0.6517497866113888
Gladibra,5849,5849,1398,663,575,375,437,534,557,675,502,119,14,5849,996,4853,5849,3194,2655,5849,169.4841853308258,111.0,3144,604,1209,1100,1059,1973,494,5849,0.4539237476491708,0.5375277825269277
Harmonia,5775,5775,1349,521,960,213,675,402,419,505,325,355,51,5775,1479,4296,5775,2656,3119,5775,278.6995670995671,190.0,3840,1538,907,1196,744,2309,568,5775,0.5400865800865801,0.6649350649350649
