merge_world,merge_date,region,predecessor,predecessor_created
Kenora,2014-07-24,Europe,Kyra,2005-04-01
Kenora,2014-07-24,Europe,Nebula,2005-12-01
Kenora,2014-07-24,Europe,Thoria,2005-07-01
Kronera,2014-08-14,North America,Empera,2005-04-01
Kronera,2014-08-14,North America,Ocera,2005-12-01
Kronera,2014-08-14,North America,Lucera,2004-10-01
Garnera,2014-08-14,North America,Jamera,2004-12-01
Garnera,2014-08-14,North America,Shanera,2005-04-01
Garnera,2014-08-14,North America,Balera,2005-07-01
Thera,2014-08-14,North America,Samera,2004-08-01
Thera,2014-08-14,North America,Trimera,2003-02-01
Thera,2014-08-14,North America,Keltera,2006-02-01
Rowana,2014-08-14,Europe,Hiberna,2003-12-01
Rowana,2014-08-14,Europe,Isara,2003-07-01
Rowana,2014-08-14,Europe,Eternia,2003-02-01
Nika,2014-08-14,Europe,Aldora,2004-05-01
Nika,2014-08-14,Europe,Arcania,2004-12-01
Nika,2014-08-14,Europe,Xerena,2006-02-01
Umera,2014-11-10,North America,Libera,2002-11-01
Umera,2014-11-10,North America,Mythera,2004-05-01
Umera,2014-11-10,North America,Rubera,2003-07-01
Justera,2014-11-10,North America,Chimera,2004-03-01
Justera,2014-11-10,North America,Grimera,2005-04-30
Justera,2014-11-10,North America,Malvera,2005-08-01
Iona,2014-11-10,Europe,Lunara,2002-12-01
Iona,2014-11-10,Europe,Nova,2001-12-01
Iona,2014-11-10,Europe,Titania,2004-03-01
Efidia,2014-11-10,Europe,Azura,2004-03-01
Efidia,2014-11-10,Europe,Danubia,2003-04-01
Efidia,2014-11-10,Europe,Galana,2004-09-01
Irmada,2014-11-10,Europe,Berylia,2005-05-01
Irmada,2014-11-10,Europe,Iridia,2005-02-01
Irmada,2014-11-10,Europe,Morgana,2005-03-01
Bellona,2014-11-10,Europe,Furora,2005-07-01
Bellona,2014-11-10,Europe,Obsidia,2005-08-01
Bellona,2014-11-10,Europe,Selena,2005-03-01
Yanara,2014-11-10,Europe,Askara,2005-08-01
Yanara,2014-11-10,Europe,Pandoria,2005-01-01
Yanara,2014-11-10,Europe,Saphira,2005-04-01
Zeluna,2016-05-02,Europe,Aurea,2004-08-10
Zeluna,2016-05-02,Europe,Elysia,2004-06-29
Zeluna,2016-05-02,Europe,Valoria,2003-11-05
Laudera,2016-05-02,North America,Elera,2005-02-16
Laudera,2016-05-02,North America,Tenebra,
Laudera,2016-05-02,North America,Vinera,2005-08-11
Estela,2017-10-19,Europe,Bellona,2014-11-10
Estela,2017-10-19,Europe,Irmada,2014-11-10
Estela,2017-10-19,Europe,Verlana,2016-11-22
Estela,2017-10-19,Europe,Xylana,2016-05-06
Peloria,2017-10-19,Europe,Efidia,2014-11-10
Peloria,2017-10-19,Europe,Iona,2014-11-10
Peloria,2017-10-19,Europe,Nika,2014-08-14
Peloria,2017-10-19,Europe,Quilia,2014-08-28
Vunira,2017-10-19,Europe,Rowana,2014-08-14
Vunira,2017-10-19,Europe,Yanara,2014-11-10
Vunira,2017-10-19,Europe,Zeluna,2016-05-02
Impera,2017-10-19,North America,Kronera,2014-08-14
Impera,2017-10-19,North America,Osera,2016-05-06
Impera,2017-10-19,North America,Pythera,2004-11-24
Quintera,2017-10-19,North America,Danera,2005-10-20
Quintera,2017-10-19,North America,Hydera,2014-08-28
Quintera,2017-10-19,North America,Neptera,2005-07-06
Zuna,2017-10-26,Europe,Calva,2013-06-04
Zuna,2017-10-26,Europe,Inferna,2004-06-29
Zuna,2017-10-26,Europe,Aurora,2012-06-13
Zunera,2017-10-26,North America,Calvera,2013-06-04
Zunera,2017-10-26,North America,Dolera,2004-06-29
Zunera,2017-10-26,North America,Aurera,2012-06-13
Bona,2018-04-19,Europe,Guardia,2005-05-24
Bona,2018-04-19,Europe,Nerana,2007-01-25
Bona,2018-04-19,Europe,Tavara,2016-12-13
Epoca,2018-04-19,Europe,Morta,2014-10-15
