world,status,snapshot_online,region,pvp_type,premium_only,transfer_type,battleye_protected,battleye_date,game_world_type,tournament_world_type,snapshot_ts_utc,created,record_online,record_date,guilds,people_in_guilds,ach_points,is_merge_destination,merge_date,predecessor_worlds,n_predecessors,first_obs,last_obs,n_world_days,created_in_window,launch_in_window,age_at_first_obs_days,age_years_at_window_end
Aethera,online,38,North America,Open PvP,False,regular,True,release,regular,,04:45,2024-10-16,376.0,2024-10-26 03:01:00,9,382,69223,False,,,,2025-09-04,2026-08-02,333,True,True,323,1.7987679671457906
Antica,online,738,Europe,Open PvP,False,regular,True,2017-08-29,regular,,04:45,1997-01-09,1100.0,2026-03-15 20:36:00,119,9641,1240835,False,,,,2023-01-11,2026-08-04,1280,False,False,9498,29.56605065023956
Astera,online,305,North America,Optional PvP,False,regular,True,2017-09-12,regular,,04:45,2005-01-25,1051.0,2009-05-31 19:40:00,82,4833,867292,False,,,,2024-05-31,2026-08-03,795,False,False,7066,21.522245037645447
Belobra,online,330,South America,Optional PvP,False,regular,True,2017-06-22,regular,,04:45,2016-12-13,1050.0,2020-05-04 02:14:00,65,2995,727117,False,,,,2024-02-09,2026-08-02,867,False,False,2614,9.639972621492129
Blumera,online,161,North America,Optional PvP,False,regular,True,release,regular,,04:45,2025-11-06,345.0,2026-03-07 23:54:00,42,1247,171161,True,2025-11-06,Esmera; Ulera; Vitera,3.0,2025-11-07,2026-07-30,266,True,False,1,0.7419575633127995
Bona,online,436,Europe,Optional PvP,False,regular,True,2018-04-19,regular,,04:45,2005-05-24,952.0,2020-05-01 20:30:00,56,2419,513284,True,2018-04-19,Guardia; Nerana; Tavara,3.0,2025-01-01,2026-08-02,573,False,False,7162,21.196440793976727
Bravoria,online,83,Europe,Optional PvP,False,regular,True,release,regular,,04:45,2024-10-16,479.0,2024-10-16 14:49:00,9,130,25564,False,,,,2025-08-28,2026-08-01,339,True,True,316,1.7987679671457906
Calmera,online,206,North America,Optional PvP,False,regular,True,2017-09-12,regular,,04:45,2003-04-17,1051.0,2009-05-30 20:40:00,64,5353,776725,False,,,,2024-04-06,2026-08-01,848,False,False,7660,23.299110198494184
Cantabra,online,81,South America,Open PvP,False,regular,True,release,regular,,04:45,2024-10-16,795.0,2024-10-28 02:35:00,9,766,189146,False,,,,2025-09-03,2026-07-29,330,True,True,322,1.7987679671457906
Celebra,online,222,South America,Optional PvP,False,regular,True,2018-10-29,regular,,04:45,2018-10-29,863.0,2020-05-04 02:53:00,35,1697,509150,False,,,,2025-09-04,2026-07-31,331,False,False,2502,7.7645448323066395
Celesta,online,422,Europe,Optional PvP,False,regular,True,2017-09-05,regular,,04:45,2004-11-24,1051.0,2009-05-27 20:20:00,64,1898,506476,False,,,,2024-12-31,2026-08-02,580,False,False,7342,21.691991786447637
