world,n_obs,first,last,px_first,px_last,px_med,px_min,px_max,vol,sold,bought,lots_sold,region,pvp_type,battleye_protected,battleye_date,transfer_type,created,is_merge_destination,launch_in_window,premium_only,record_online,guilds,people_in_guilds,ach_points,converged,activity_year,active_chars,premium_accounts,free_accounts,premium_share,mean_level,median_level,chars_level_100plus,pct_level_100plus,vip_total,vip_guilds,population,active_share,guilded_share,total_ret_pct
Aethera,318,2025-09-04,2026-07-25,22461.5,38771.5,27828.5,12577.0,38771.5,4.857590129795622,400.0,525.0,16.0,North America,Open PvP,True,release,regular,2024-10-16,False,True,False,376.0,9,382,69223,False,20.738292011019283,2738,1421,1317,0.5189919649379109,131.2436084733382,50.0,893,0.3261504747991234,6421,9,6421,0.4264133312568136,0.05949229092041738,72.61313803619527
Antica,1273,2023-01-11,2026-07-30,28486.0,39158.0,36832.0,28049.0,41006.5,1.0506558858500155,7575.0,11425.0,303.0,Europe,Open PvP,True,2017-08-29,regular,1997-01-09,False,False,False,1100.0,119,9641,1240835,True,495.6398891966759,12663,6870,5793,0.5425254678986022,255.8832030324568,157.0,8129,0.6419489852325673,306646,120,306646,0.04129517424000313,0.03144016227180527,37.46401741206207
Astera,789,2024-05-31,2026-07-30,39119.0,43406.5,41069.5,34518.0,45170.5,1.4906884261942306,4400.0,2975.0,176.0,North America,Optional PvP,True,2017-09-12,regular,2005-01-25,False,False,False,1051.0,82,4833,867292,True,276.59504132231405,7637,4246,3391,0.5559774780673039,301.7299986905853,197.0,5369,0.7030247479376719,99687,84,99687,0.07660978863843831,0.048481747870835715,10.960147243027695
Belobra,863,2024-02-09,2026-07-29,41698.5,42843.5,41249.5,35428.0,45866.0,1.4758802228399714,4250.0,2775.0,170.0,South America,Optional PvP,True,2017-06-22,regular,2016-12-13,False,False,False,1050.0,65,2995,727117,True,258.2947658402204,5776,3362,2414,0.5820637119113573,345.8431440443213,247.0,4173,0.722472299168975,108233,64,108233,0.05336634852586549,0.027671782173643897,2.745902130772082
Blumera,266,2025-11-07,2026-07-30,41327.0,38985.0,38223.5,34739.0,43915.5,1.2438527944579045,2450.0,2025.0,98.0,North America,Optional PvP,True,release,regular,2025-11-06,True,False,False,345.0,42,1247,171161,True,137.0568181818182,4200,2850,1350,0.6785714285714286,234.63833333333332,130.0,2393,0.5697619047619048,30034,42,30034,0.13984151295198774,0.0415196111074116,-5.666997362499093
Bona,568,2025-01-01,2026-07-28,40789.0,42475.5,40949.0,36561.5,45166.0,0.9114198522736316,2325.0,3412.5,93.0,Europe,Optional PvP,True,2018-04-19,regular,2005-05-24,True,False,False,952.0,56,2419,513284,True,261.43250688705234,5884,3451,2433,0.586505778382053,312.7805914343984,231.0,4244,0.7212780421481985,119205,56,119205,0.04936034562308628,0.020292772954154607,4.1346931770820605
Bravoria,331,2025-08-28,2026-07-24,24279.0,37971.0,37573.5,24279.0,41893.0,1.5695802971409447,475.0,550.0,19.0,Europe,Optional PvP,True,release,regular,2024-10-16,False,True,False,479.0,9,130,25564,False,34.8099173553719,3193,1653,1540,0.5176949577200125,108.98528030065768,47.0,896,0.2806138427810836,7809,9,7809,0.40888718145729286,0.016647458061211422,56.394414926479676
Calmera,843,2024-04-06,2026-07-27,40832.0,42013.5,40745.0,34524.5,46542.0,1.1196209275146785,2075.0,1625.0,83.0,North America,Optional PvP,True,2017-09-12,regular,2003-04-17,False,False,False,1051.0,64,5353,776725,True,160.90633608815426,8016,3674,4342,0.4583333333333333,234.82060878243513,145.0,5046,0.6294910179640718,80680,64,80680,0.09935547843331681,0.06634853743182945,2.893563871473348
Cantabra,328,2025-09-03,2026-07-29,29207.0,40534.5,32357.75,22028.5,40534.5,2.7716267870953817,875.0,1287.5,35.0,South America,Open PvP,True,release,regular,2024-10-16,False,True,False,795.0,9,766,189146,False,62.97796143250689,3386,1954,1432,0.577082102776137,193.26491435321913,63.0,1380,0.4075605434140579,13420,9,13420,0.25230998509687036,0.05707898658718331,38.783510802204944
Celebra,327,2025-09-04,2026-07-27,42151.0,43811.5,42122.0,38324.0,45904.0,1.5088159595838286,3325.0,1550.0,133.0,South America,Optional PvP,True,2018-10-29,regular,2018-10-29,False,False,False,863.0,35,1697,509150,True,165.33608815426996,4336,2479,1857,0.5717250922509225,359.5846402214022,275.0,3169,0.7308579335793358,48905,37,48905,0.08866169103363664,0.034699928432675595,3.9394083177148875
Celesta,576,2024-12-31,2026-07-29,41590.5,43167.5,41121.5,37690.0,45416.0,0.9059138290156101,2925.0,3525.0,117.0,Europe,Optional PvP,True,2017-09-05,regular,2004-11-24,False,False,False,1051.0,64,1898,506476,True,242.55922865013775,5046,3212,1834,0.6365437970669837,376.36424891002775,276.0,3792,0.751486325802616,82158,64,82158,0.06141824289783101,0.023101828184717253,3.791731284788602
Citra,259,2025-11-07,2026-07-23,41005.5,37526.0,36506.5,32757.0,42416.0,1.3482418953234037,950.0,1225.0,38.0,Europe,Open PvP,True,release,regular,2025-11-06,True,False,False,170.0,16,642,99261,True,59.64772727272727,3603,2213,1390,0.61421038023869,160.30446849847348,62.0,1440,0.3996669442131557,14849,16,14849,0.24264260219543404,0.04323523469593912,-8.485447074172981
Collabra,333,2025-08-28,2026-07-26,38784.0,40040.0,39278.0,36021.0,44599.0,0.9376046587623887,3200.0,1825.0,128.0,South America,Optional PvP,True,release,regular,2019-09-25,True,False,False,544.0,23,1902,391275,True,153.7520661157025,4672,2504,2168,0.535958904109589,285.3120719178082,165.0,2997,0.6414811643835616,60768,23,60768,0.07688256977356503,0.031299368088467616,3.2384488448844895
Descubra,574,2025-01-01,2026-07-30,40239.5,40221.5,38754.75,35715.5,44100.5,1.2272255872021665,2750.0,2200.0,110.0,South America,Optional PvP,True,release,regular,2017-12-12,False,False,False,900.0,32,2163,416981,True,184.44628099173553,5146,2778,2368,0.5398367664205208,265.59385930820054,161.0,3285,0.6383598911776137,90578,32,90578,0.05681291262779041,0.02387997085384972,-0.04473216615514808
Dia,998,2023-10-14,2026-07-28,20388.0,37868.5,36485.0,15274.5,43492.0,1.8420394272702483,1725.0,2400.0,69.0,Europe,Optional PvP,True,release,regular,2023-02-08,False,True,False,1055.0,34,822,154365,False,162.89256198347107,4011,2851,1160,0.7107953128895538,277.808526551982,178.0,2569,0.6404886561954625,34911,32,34911,0.11489215433530979,0.02354558735069176,85.73916029036688
Dracobra,176,2026-02-01,2026-07-26,11175.5,38570.0,19449.0,10682.5,38570.0,3.1685384247286015,2412.5,3675.0,96.5,South America,Open PvP,True,release,blocked,2025-10-29,False,True,False,791.0,8,1870,92150,False,156.67279411764707,4370,2650,1720,0.6064073226544623,104.2162471395881,50.0,1332,0.3048054919908466,13525,8,13525,0.3231053604436229,0.13826247689463955,245.12997181334168
Eclipta,259,2025-11-07,2026-07-23,35568.0,38202.5,36906.5,35117.5,40034.0,1.0965076087163605,350.0,725.0,14.0,Europe,Retro Open PvP,True,release,regular,2025-11-06,True,False,False,146.0,5,954,100935,True,28.742424242424242,4595,2280,2315,0.4961915125136017,152.39695321001088,87.0,2124,0.4622415669205658,45285,5,45285,0.10146847742077951,0.021066578337197748,7.406938821412501
Epoca,322,2025-09-05,2026-07-23,36227.5,39284.0,38239.5,32163.0,41095.5,1.8898633980842787,400.0,650.0,16.0,Europe,Retro Open PvP,True,2018-04-19,regular,2014-10-15,True,False,False,335.0,12,1524,245817,True,33.48209366391185,4630,2119,2511,0.4576673866090712,182.13952483801296,106.0,2431,0.5250539956803456,50348,12,50348,0.09195995868753476,0.030269325494557877,8.436960872265553
Escura,323,2025-09-03,2026-07-27,1427.0,25998.0,12879.0,1387.0,25998.0,7.554883484182929,175.0,400.0,7.0,Europe,Retro Open PvP,True,release,blocked,2025-08-27,False,True,False,388.0,1,409,9415,False,19.266467065868262,2094,1074,1020,0.5128939828080229,54.55014326647565,31.0,310,0.1480420248328557,2856,1,2856,0.7331932773109243,0.14320728291316526,1721.8640504555012
Etebra,335,2025-08-28,2026-07-28,38829.5,39591.5,39057.0,36487.0,44766.0,1.016611604947195,1625.0,1425.0,65.0,South America,Optional PvP,True,release,regular,2023-02-08,False,True,False,1054.0,10,549,138141,False,91.38567493112947,3768,2016,1752,0.535031847133758,196.5265392781316,98.0,1882,0.4994692144373673,30835,10,30835,0.12219880006486136,0.017804443003080914,1.962425475476115
Ferobra,333,2025-08-29,2026-07-28,36173.5,39365.5,37790.5,35002.0,41340.0,1.5848978776357825,4725.0,2875.0,189.0,South America,Open PvP,True,2017-07-04,regular,2016-11-22,False,False,False,1054.0,46,5417,935086,True,204.14325068870522,7828,4861,2967,0.6209759836484415,301.9155595298927,201.0,5406,0.6905978538579458,106511,46,106511,0.07349475641013604,0.050858596764653416,8.82413921793579
Firmera,324,2025-09-04,2026-07-24,36466.5,38347.5,38259.75,30955.0,43359.0,1.4899450522344162,700.0,750.0,28.0,North America,Retro Open PvP,True,2018-04-19,regular,2014-10-15,True,False,False,1051.0,17,1282,205283,True,33.6831955922865,4616,2119,2497,0.459055459272097,184.42742634315425,106.0,2413,0.5227469670710572,70458,17,70458,0.06551420704533197,0.018195236878707884,5.158158858130069
Floribra,65,2026-05-24,2026-07-29,1390.5,13232.0,10377.0,1390.5,13535.5,7.366821891339935,2750.0,7375.0,110.0,South America,Optional PvP,True,release,blocked,2026-05-20,False,True,False,200.0,8,1261,55999,False,181.32394366197184,3445,2893,552,0.8397677793904209,74.5465892597968,36.0,761,0.220899854862119,7404,8,7404,0.4652890329551594,0.17031334413830362,851.6001438331535
Gentebra,573,2025-01-01,2026-07-27,41625.5,42954.5,41393.5,38789.0,45195.0,1.0777581646433256,4200.0,2350.0,168.0,South America,Optional PvP,True,2017-12-12,regular,2017-12-12,False,False,False,1052.0,49,2778,752674,True,209.81542699724517,5308,3177,2131,0.5985305199698568,364.1145440844009,255.0,3958,0.7456669178598342,86329,49,86329,0.061485711638035886,0.03217922135087862,3.1927544413880904
Gladera,859,2024-02-09,2026-07-24,39879.5,42558.0,40569.5,32967.0,45190.0,1.6470724935739183,2350.0,1800.0,94.0,North America,Optional PvP,True,2018-04-19,regular,2009-11-24,True,False,False,961.0,33,4615,595209,True,127.78512396694215,8201,3243,4958,0.3954395805389586,216.19436654066575,148.0,5345,0.6517497866113888,110738,33,110738,0.07405768570860952,0.04167494446350846,6.716483406261364
Gladibra,325,2025-09-05,2026-07-26,35181.5,36948.5,36885.5,31938.5,42052.5,1.3174029565885366,775.0,1125.0,31.0,South America,Retro Open PvP,True,release,regular,2024-09-09,True,False,False,552.0,4,1187,92593,True,47.38567493112948,5849,2655,3194,0.4539237476491708,169.4841853308258,111.0,3144,0.5375277825269277,163058,3,163058,0.03587067178549964,0.007279618295330496,5.022526043517184
Harmonia,791,2024-05-31,2026-07-30,39263.0,43883.5,40697.0,33275.5,44480.5,1.0997726674971058,1800.0,1875.0,72.0,Europe,Optional PvP,True,2017-09-05,regular,2004-03-30,False,False,False,1051.0,57,2385,441967,True,184.80716253443526,5775,3119,2656,0.5400865800865801,278.6995670995671,190.0,3840,0.6649350649350649,81408,57,81408,0.07093897405660378,0.029296875,11.768076815322303
Havera,321,2025-09-04,2026-07-21,36301.0,39096.5,37728.0,35472.5,41479.0,1.0107240393816002,3825.0,3750.0,153.0,North America,Open PvP,True,2021-12-06,regular,2004-10-20,True,False,False,585.0,66,8670,900461,True,200.41046831955921,11659,5697,5962,0.4886353889698945,200.5898447551248,111.0,6278,0.5384681362037911,184245,66,184245,0.06327987190968547,0.047056907921517545,7.700889782650622
Honbra,575,2025-01-01,2026-07-29,39630.0,39958.0,37678.5,32506.5,41430.5,1.0501014059647285,3850.0,3675.0,154.0,South America,Open PvP,True,release,regular,2017-04-17,False,False,False,1051.0,29,1787,348696,True,216.58677685950414,4874,2814,2060,0.5773491998358637,283.088223225277,178.0,3259,0.6686499794829709,99565,29,99565,0.04895294531210767,0.017948074122432583,0.8276558163007763
Hostera,170,2026-02-01,2026-07-24,10897.0,24457.5,17874.0,10651.5,26905.5,3.767245592962408,937.5,2037.5,37.5,North America,Open PvP,True,release,blocked,2025-10-29,False,True,False,443.0,9,334,23126,False,72.7720588235294,2713,1551,1162,0.5716918540361223,87.25875414670107,46.0,732,0.2698120162182086,4771,9,4771,0.5686438901697757,0.07000628798993921,124.44250711204919
Idyllia,176,2026-02-01,2026-07-27,13430.5,31017.5,20660.25,12721.0,31017.5,2.912061503527146,600.0,937.5,24.0,Europe,Optional PvP,True,release,blocked,2025-10-29,False,True,False,482.0,5,153,10565,False,58.919117647058826,2730,1476,1254,0.5406593406593406,75.43956043956044,37.0,586,0.2146520146520146,4959,5,4959,0.5505142165759226,0.030852994555353903,130.94821488403264
Ignibra,80,2026-05-07,2026-07-26,12420.0,22502.0,14333.5,10443.0,22502.0,4.1454907204185085,537.5,737.5,21.5,South America,Retro Open PvP,True,release,blocked,2026-02-18,False,True,False,389.0,1,899,17022,False,43.07453416149068,2542,1433,1109,0.5637293469708891,49.590086546026754,28.0,270,0.1062155782848151,3595,1,3595,0.7070931849791376,0.25006954102920725,81.17552334943639
Ignitera,322,2025-09-04,2026-07-25,16154.0,37671.5,28856.5,14827.0,39186.5,2.9034647147546324,1212.5,1462.5,48.5,North America,Open PvP,True,release,regular,2025-02-19,False,True,False,553.0,4,269,37091,False,53.24517906336088,3044,1516,1528,0.4980289093298292,105.5607752956636,53.0,975,0.3203022339027595,6834,4,6834,0.4454199590283875,0.03936201346210126,133.20230283521107
