name,level,vocation,former_world,current_world,change_date
Waguinho The Legend Check at Tibia.com Compare character,2316,EDElder Druid,Ferobra,Quelibra,2026-07-26
Murillaao Check at Tibia.com Compare character,2204,MSMaster Sorcerer,Ferobra,Quelibra,2026-07-26
Acoviin Check at Tibia.com Compare character,2086,MSMaster Sorcerer,Ourobra,Citra,2026-07-29
Axbin Check at Tibia.com Compare character,2077,MSMaster Sorcerer,Astera,Nefera,2026-07-30
Playfor Food Check at Tibia.com Compare character,1852,RPRoyal Paladin,Serdebra,Quelibra,2026-07-26
Ndetarovazz Check at Tibia.com Compare character,1838,RPRoyal Paladin,Honbra,Cantabra,2026-07-23
Brutus Insane Check at Tibia.com Compare character,1777,MSMaster Sorcerer,Unebra,Rasteibra,2026-07-22
Don Kamizi Check at Tibia.com Compare character,1742,EKElite Knight,Dia,Descubra,2026-07-26
Venoxd Check at Tibia.com Compare character,1740,RPRoyal Paladin,Pacera,Luminera,2026-07-30
Rhuanziin Poderoso Check at Tibia.com Compare character,1724,EDElder Druid,Gladibra,Sombra,2026-07-23
Bautz in Slowmotion Check at Tibia.com Compare character,1693,EDElder Druid,Cantabra,Honbra,2026-07-30
Rampage Insane Check at Tibia.com Compare character,1678,RPRoyal Paladin,Unebra,Rasteibra,2026-07-22
Malenzera Check at Tibia.com Compare character,1675,EDElder Druid,Unebra,Rasteibra,2026-07-22
Dad Glon Check at Tibia.com Compare character,1652,RPRoyal Paladin,Karmeya,Karmeya,2026-07-26
Se Le Check at Tibia.com Compare character,1651,RPRoyal Paladin,Luminera,Nefera,2026-07-26
Filip Szponciciel Check at Tibia.com Compare character,1587,MSMaster Sorcerer,Eclipta,Eclipta,2026-07-25
Theuziikat Check at Tibia.com Compare character,1576,RPRoyal Paladin,Xymera,Aethera,2026-07-27
Franco Parabellum Check at Tibia.com Compare character,1576,EDElder Druid,Unebra,Cantabra,2026-07-27
Closed Tortex Check at Tibia.com Compare character,1521,RPRoyal Paladin,Tornabra,Unebra,2026-07-25
Evokek Check at Tibia.com Compare character,1516,EKElite Knight,Unebra,Rasteibra,2026-07-22
Pepeziinho Check at Tibia.com Compare character,1504,EKElite Knight,Nefera,Luminera,2026-07-30
Dropzikat Check at Tibia.com Compare character,1491,EDElder Druid,Xymera,Aethera,2026-07-27
Rapa Dura Check at Tibia.com Compare character,1478,EKElite Knight,Dia,Collabra,2026-07-28
Tenorio Click Clack Check at Tibia.com Compare character,1477,EKElite Knight,Xymera,Aethera,2026-07-27
Bloody Vitim Check at Tibia.com Compare character,1473,MSMaster Sorcerer,Honbra,Unebra,2026-07-25
Gatillo Alegrexd Check at Tibia.com Compare character,1473,EKElite Knight,Nefera,Pacera,2026-07-26
Blessed Pancho Check at Tibia.com Compare character,1469,EDElder Druid,Solidera,Ferobra,2026-07-30
Brincou Check at Tibia.com Compare character,1456,RPRoyal Paladin,Unebra,Yubra,2026-07-22
Nelson Bolas Check at Tibia.com Compare character,1443,MSMaster Sorcerer,Gladibra,Sombra,2026-07-23
Gitdus Check at Tibia.com Compare character,1422,MSMaster Sorcerer,Honbra,Antica,2026-07-23
Closedfriends Faelzika Check at Tibia.com Compare character,1420,MSMaster Sorcerer,Ombra,Unebra,2026-07-25
Lil Daadi Check at Tibia.com Compare character,1418,MSMaster Sorcerer,Premia,Talera,2026-07-24
Peches tokes Check at Tibia.com Compare character,1416,RPRoyal Paladin,Unebra,Blumera,2026-07-29
Trup Tu Tupta Check at Tibia.com Compare character,1414,RPRoyal Paladin,Tempestera,Eclipta,2026-07-27
Sassh Check at Tibia.com Compare character,1414,EKElite Knight,Gladera,Gentebra,2026-07-30
Munros Check at Tibia.com Compare character,1386,EKElite Knight,Astera,Secura,2026-07-25
Inkarrow Check at Tibia.com Compare character,1385,RPRoyal Paladin,Quintera,Firmera,2026-07-28
Kina Patrao Check at Tibia.com Compare character,1384,EKElite Knight,Ombra,Cantabra,2026-07-27
Goat Sprzedito Check at Tibia.com Compare character,1374,EKElite Knight,Tempestera,Eclipta,2026-07-27
