Antica	177	306646	120	Europe	Battleye Open PvP
Lobera	369	226116	84	North America	Battleye Open PvP
Havera	265	184245	66	North America	Battleye Open PvP
Vunira	98	177901	64	Europe	Battleye Open PvP
Secura	168	176645	97	Europe	Battleye Optional PvP
Talera	483	175960	76	North America	Battleye Open PvP
Peloria	83	171995	67	Europe	Battleye Open PvP
Thyria	56	167626	64	Europe	Battleye Open PvP
Gladibra	18	163058	3	South America	Battleye Retro Open PvP
Ustebra	260	149725	49	South America	Battleye Optional PvP
Solidera	368	144288	85	North America	Battleye Open PvP
Wintera	271	141201	80	North America	Battleye Open PvP
Nevia	92	123731	63	Europe	Battleye Optional PvP
Nefera	297	122315	88	North America	Battleye Optional PvP
Bona	87	119205	56	Europe	Battleye Optional PvP
Gladera	136	110738	33	North America	Battleye Optional PvP
Belobra	190	108233	64	South America	Battleye Optional PvP
Ferobra	175	106511	46	South America	Battleye Open PvP
Quidera	258	105545	49	North America	Battleye Open PvP
Monza	63	102978	44	Europe	Battleye Optional PvP
Xyla	35	100804	38	Europe	Battleye Open PvP
Astera	345	99687	84	North America	Battleye Optional PvP
Honbra	105	99565	29	South America	Battleye Open PvP
Terribra	59	99103	13	South America	Battleye Retro Hardcore PvP
Descubra	122	90578	32	South America	Battleye Optional PvP
Jadebra	127	89991	17	South America	Battleye Open PvP
Rasteibra	121	88533	28	South America	Battleye Open PvP
Quintera	191	88055	35	North America	Battleye Open PvP
Karmeya	46	86601	31	Europe	Battleye Optional PvP
Gentebra	140	86329	49	South America	Battleye Optional PvP
Lutabra	12	85440	3	South America	Battleye Retro Open PvP
Celesta	81	82158	64	Europe	Battleye Optional PvP
Harmonia	71	81408	57	Europe	Battleye Optional PvP
Calmera	187	80680	64	North America	Battleye Optional PvP
Pacera	224	80219	88	North America	Battleye Optional PvP
Serdebra	148	79856	45	South America	Battleye Open PvP
Inabra	197	79644	69	South America	Battleye Open PvP
Quelibra	149	74316	50	South America	Battleye Open PvP
Yovera	273	74141	58	North America	Battleye Optional PvP
Luminera	200	73895	46	North America	Battleye Optional PvP
Refugia	77	72450	51	Europe	Battleye Optional PvP
Kalibra	136	71635	31	South America	Battleye Optional PvP
Firmera	47	70458	17	North America	Battleye Retro Open PvP
Ombra	105	69760	28	South America	Battleye Open PvP
Menera	151	62718	48	North America	Battleye Optional PvP
Ourobra	143	61655	39	South America	Battleye Open PvP
Zunera	9	61528	2	North America	Battleye Hardcore PvP
Collabra	93	60768	23	South America	Battleye Optional PvP
Venebra	99	57545	27	South America	Battleye Optional PvP
Zuna	6	54812	1	Europe	Battleye Hardcore PvP
Monstera	25	52201	8	North America	Battleye Retro Hardcore PvP
Epoca	14	50348	12	Europe	Battleye Retro Open PvP
Celebra	117	48905	37	South America	Battleye Optional PvP
Eclipta	12	45285	5	Europe	Battleye Retro Open PvP
Retalia	14	45023	7	Europe	Battleye Retro Hardcore PvP
Tempestera	42	36867	12	North America	Battleye Retro Open PvP
Dia	37	34911	32	Europe	Battleye Optional PvP
Yonabra	102	33361	38	South America	Battleye Optional PvP
Premia	57	31031	43	Europe	Battleye Open PvP
Etebra	50	30835	10	South America	Battleye Optional PvP
Blumera	134	30034	42	North America	Battleye Optional PvP
Yubra	59	25600	8	South America	Battleye Optional PvP
Issobra	49	24527	13	South America	Battleye Optional PvP
Tornabra	79	24294	13	South America	Battleye Open PvP
Kalanta	32	21758	24	Europe	Battleye Optional PvP
Xymera	111	19465	21	North America	Battleye Open PvP
Sombra	19	19105	1	South America	Battleye Retro Open PvP
Citra	22	14849	16	Europe	Battleye Open PvP
Unebra	63	14501	9	South America	Battleye Open PvP
Dracobra	60	13525	8	South America	Battleye Open PvP
Cantabra	54	13420	9	South America	Battleye Open PvP
Luzibra	42	12032	4	South America	Battleye Optional PvP
Xybra	48	11423	3	South America	Battleye Open PvP
Kanda	34	11374	18	Europe	Battleye Optional PvP
Victoris	36	8860	20	Oceania	Battleye Open PvP
Sonira	14	8243	9	Europe	Battleye Optional PvP
Bravoria	20	7809	9	Europe	Battleye Optional PvP
Penumbra	3	7409	2	South America	Battleye Retro Open PvP
Floribra	82	7404	8	South America	Battleye Optional PvP
Ignitera	33	6834	4	North America	Battleye Open PvP
Noctalia	11	6776	8	Europe	Battleye Open PvP
Aethera	75	6421	9	North America	Battleye Open PvP
Oceanis	27	6114	14	Oceania	Battleye Optional PvP
Opulera	109	5895	16	North America	Battleye Open PvP
Kalimera	51	5717	6	North America	Battleye Optional PvP
Stralis	22	5024	3	Oceania	Battleye Optional PvP
Idyllia	4	4959	5	Europe	Battleye Optional PvP
Hostera	30	4771	9	North America	Battleye Open PvP
Maligna	29	4319	11	Europe	Battleye Open PvP
Junera	88	3601	14	North America	Battleye Optional PvP
Ignibra	6	3595	1	South America	Battleye Retro Open PvP
Escura	0	2856	1	Europe	Battleye Retro Open PvP
Mystera	12	2320	2	North America	Battleye Retro Open PvP
